,texts,track
10,"b'Food security is a prominent health challenge faced by the increasing global population, which is exacerbated by high loss of crop yields to pests and diseases. Applying synthetic biology approaches, we aim to produce proof of concept, sentinel plants that will diagnose the presence of two pathogens, Xanthomonas oryzae and Xanthomonas campestris. The plant sentinels will produce a chromoprotein output, observable by the human eye, within 48 hours of pathogen infection. The sentinels would allow growers to apply appropriate agrochemical application before the diseases progress to symptomatic pathogenesis in neighbouring crops. This approach will reduce crop losses whilst decreasing the necessity for continual use of agrochemicals. Furthermore, we are constructing a series of BioBricks that will allow Golden Gate assembly to assist cloning of transcriptional units within the iGEM standard. These important developments will aid future iGEM teams to work with plant chassis as well as utilise Golden Gate technology.'","['Food & Energy', 'Food & Nutrition', 'Energy']"
11,"b'Due to environmental concerns and fuel prices, much research has been invested in alternative sources of fuels. Development of biofuels, in particular, is beneficial in the sense that it provides a renewable source of energy with a wide range of energy densities. Clostridium acetobutylicum has great potential for producing biofuels due to its native ABE (acetone, butanol, ethanol) fermentation pathways and its ability to metabolize a variety of carbon substrates. In addition to C. acetobutylicums native pathways, the introduction of non-native genes makes it possible to expand the types of alcohols produced. The goal of this research endeavor was to develop an iGEM compliant Clostridial shuttle vector to introduce genes for the production of branched and longer chain alcohols within Clostridial species. We are in the process of testing our shuttle vector and plan to compare alcohol production efficiency between anaerobes and aerobes.'","['Food & Energy', 'Food & Nutrition', 'Energy']"
12,"b'More than 870 million people are malnourished according to the United Nations World Food Program, and the World Health Organization states that iron deficiency is one of the most common and widespread nutritional disorders in the world. A solution is presented by utilizing synthetic biology to engineer Bacillus subtilis to increase plants ability to uptake iron, through production of plant phytosiderophores. Phytosiderophores are small, high-affinity iron chelating molecules that many microorganisms and plants use to increase bioavailable iron by reducing Fe3+ to Fe2+. Our genetically engineered system combines five corn genes to produce these phytosiderophores: SAMS, NAS1, NAATI, DMAS, and TOM1. We are using corn and rice to confirm that plants grown with our engineered bacteria will have higher iron content than plants grown with wild-type Bacillus or with no Bacillus at all. Mass spectrometry, chlorophyll readings, and height measurements were used to determine the effectiveness of our engineered system.'","['Food & Energy', 'Food & Nutrition', 'Energy']"
13,"b'Photovoltaics are one of the main sources of renewable energy and are likely to become more widely used in the future, but their production is expensive and involves toxic materials. Biological photovoltaics (BPVs) have the potential to provide a cheaper and more sustainable alternative, especially where energy demand is lower. They could power the social, welfare and economic growth for the 1.2 billion people without access to electricity. BPVs take advantage of photosynthetic organisms by harnessing the electrons they produce from water and sunlight. We aim to increase their output by redirecting electron flow in the cyanobacteria Synechocystis sp. PCC 6803. To achieve this we have targeted areas in the photosynthetic electron transport chain to increase electrons, and pilus production to improve transfer to the anode.'","['Food & Energy', 'Food & Nutrition', 'Energy']"
14,"b'In view of rapid depletion of traditional energy resources and increasing demand of desalination of seawater for fresh water, we aimed to enhance the electrogenic capacity of microbial fuel cells (MFC) by genetically modified bacteria and optimize the traditional microbial desalination cells (MDC) device. We knocked out the arcA gene, over-expressed the nadE gene and incorporated the porin OprF in cell membrane in E. coli. These modifications released the inhibition of metabolic enzymes in anaerobic condition of ArcA protein, also boosted up intracellular NAD+(H) level for higher electron transferring rate and provided membrane channels for electron exchange, by which the electrogenic capacity of the MFC was collectively enhanced resulting in a high efficient seawater desalination in MDC system.'","['Food & Energy', 'Food & Nutrition', 'Energy']"
15,"b'Edible coli is a nutrition source of high quality emerging from a yet untapped food resource: Escherichia coli (E.coli). Through genetical modification, an odorless E. coli strain will be able to overproduce a self-designed wonder protein, containing the exact ratio of essential amino acids needed in the daily diet. Furthermore, the Edible coli will be able to produce essential fatty acids, 3 and 6. Neither of these products can be synthesized by the human body. This amazing nutrition-combo will be obtained from the degradation of otherwise non-degradable material for humans, such as cellulose. Edible coli is thus a bacteria containing some of the optimal quantity of nutrition a person needs, and will at the same time be tasty  with a touch of lemon.'","['Food & Energy', 'Food & Nutrition', 'Energy']"
16,"b""Our project is named as Ldagunr, whose chinese meaning is a kind of traditional snacks from China. Aflatoxin is a highly toxic substance which exists on grains. The most poisonous kind of aflatoxin is Aflatoxin B1 (AFB1). Since it is difficult to degrade the toxin, we decided to use ScFv (single chain variable region fragments), an antibody, to neutralize it. We used ScFv to neutralize AFB1 because it has been used before and its molecular modification is easy. We used ScFv, SH3 ligand and 6*his-tag to construct fusion protein so that it can combine with SH3 domain. In this way we can use cells to recover the ScFv that have been expressed out to reduce the antibody-antigen complex that exists on grains. We anchored SH3 domain on E.coli's cell membrane LGT to recover the ScFv. Keywords: AflatoxinB1(AFB1),ScFv, SH3 ligand, SH3 domain, LGT""","['Food & Energy', 'Food & Nutrition', 'Energy']"
17,"b'Our project is to create an E. coli Plant-sitter that achieves smart maintenance of healthy plant growth through the application of synthetic biology to temperature moderation. We hope that our toolkit will simplify the process of plant cultivation and make synthetic biology accessible to peoples daily life. Hothouse plants whose preferential temperature ranges from 25~30 are exposed to the threat of low productivity and unhealthy growth in overly cold environments. Therefore, we came up with a system that aids the healthy growth of these plants by protecting them from overly low temperatures through smart temperature control. Our system of temperature moderation, including temperature sensing and temperature regulating, is able to produce heat once the temperature drops below 27 and stops heating when the temperature reaches 27~28. In this way, the temperature is to be kept at 27, ensuring the healthy growth and high productivity of hothouse plants.'","['Food & Energy', 'Food & Nutrition', 'Energy']"
18,"b'Microfungi that produce harmful mycotoxins flourish on improperly-stored nuts, grains, meat, and dairy. They especially thrive in developing countries, where the lack of advanced food storage and mycotoxin exposure causes 40% of the diseases. To lessen the problem, our team engineered E. coli strains using synthetic biology tools to produce chimeric mycotoxin-degrading fungal enzymes, Aflatoxin-Detoxifizyme (ADTZ) and Zearalenone Hydrolase (ZHD101), which are designed to be secreted to extra-cellular space by fusing with secretion signal peptides from alpha-amylase and beta-lactamase. In this study, we have successfully generated synthetic genetic materials to produce four chimeric mycotoxin-detoxifying enzymes. The levels of extracellular secretion is also characterized and analyzed. The project will allow a mass production of detoxification enzymes in cost effective way, preventing the squandering of harvested crops, and limiting mycotoxin-related diseases. Increased access to these proteins will have an immense commercial, industrial, agricultural, and health impact.'","['Food & Energy', 'Food & Nutrition', 'Energy']"
19,"b'This year the team aims to achieve victory in the championship of synthetic biology by investigating a new approach to produce a plant pigment called Anthocyanin in Escherichia coli (E. coli). This class of pigment not only stains blossoms in blue, violet or red but also is enclosed in fruits and is valued for its antioxidant effect as well as the ability to lower the risks for cancer. In the teams technological approach, the anthocyanin dye can be utilised to build so-called Grtzel cells. These electrochemical dye-sensitized solar cells use the produced dye instead of a semiconductor material for the absorption of light. The objective is to investigate an innovative approach for a sustainable energy source; wherever and whenever needed. In the course of the project phase, the team will construct a Grtzel cell testing their dye that was produced in E. coli.'","['Food & Energy', 'Food & Nutrition', 'Energy']"
20,"b'The UC-Santa Cruz-BioE team is working to design a self-sustaining microbial fuel cell (MFC) that can run on waste water. Microbial fuel cells use bacteria to metabolize organic compounds from waste water and generate electricity under anaerobic conditions through electron transfer to an anode. For our project we plan on engineering Shewanella oneidensis as our electrogenic host. Our first goal is to increase the coulombic efficiency that is lost by Shewanellas preference to turn acetyl-CoA into acetate, as opposed to metabolizing it through the citric acid cycle[2]. Our second goal is to increase the efficiency of the MFC by altering growth patterns of the bacteria. Current density has been shown to be dependent on biofilm formation by the electrogenic bacteria within the MFC[8]. Therefore we plan to increase current density by increasing biofilm growth.'","['Food & Energy', 'Food & Nutrition', 'Energy']"
21,"b'Today our energy needs are met by burning ancient fuels, accumulated from historic, decayed organic carbon, and stored deep in the earth. Every atom of this ancient carbon was once present as a simpler molecule, synthesized to more complex carbon molecules by plants using solar power and through our burning, returned to the atmosphere in a multi-thousand year cycle. Today, we are burning more of this slow-solar petroleum than is being made and we accumulate CO2 as a greenhouse gas. We intend to directly address global CO2 accumulation through a fast-solar strategy that relies on rapid conversion of cellulose from plants to an energy-rich liquid fuel. For 2014, Team UCSC will focus on production of butanol fermented by a salt-loving microbe.'","['Food & Energy', 'Food & Nutrition', 'Energy']"
22,"b'Olive oil is one of the most common, healthiest and yet widely mislabeled every day diet products. Recent studies found that more than 69% of the extra virgin oil sold in US supermarkets is rancid, while no inexpensive testing method is currently available to consumers. Our team has developed a rapid, inexpensive and accurate technique to measure oil quality. We have built an electrochemical sensor that incorporates engineered enzymes to detect a spectrum of aldehydes that serve as a proxy of rancidity. Computational analysis and custom hardware that includes signal filtering, processing and optimization of chemical kinetics allows us to perform multi-compound detection and hence olive oil quality control in a highly reproducible manner. Current and future collaboration with olive oil producers and distributors will pave the way for a widely-applicable platform with far-fetching consumer applications.'","['Food & Energy', 'Food & Nutrition', 'Energy']"
23,"b'The stimulant theobromine is an alkaloid found naturally in cocoa trees and chocolate. Due to metabolic inefficiencies, canines cannot digest theobromine as quickly as humans can, thus leading to an excess of the stimulant in the gastointestinal tract. Even small amounts of chocolate can induce toxic side effects such as nausea and even death in canines. However, by manipulating theobromine via N-demethylases, it can be metabolized into xanthine, which is much safer for animal digestion. By repurposing a previously characterized caffeine degradation operon into Lactobacillus plantarum, we aim to create a probiotic that can sustain theobromine N-demethylation while simultaneously colonizing canine guts. We will also incorporate modeling with our experimental data to determine the feasibility of our novel probiotic strategy.'","['Food & Energy', 'Food & Nutrition', 'Energy']"
24,"b'Fusarium species are known to infect a wide range of crops and cause large losses in agriculture. Our project aims to use an engineered strain of the native soil bacterium Pseudomonas putida to protect banana plants against Fusarium oxysporum infection. Upon sensing of fusaric acid excreted by F. oxysporum, fungal growth inhibitors will be produced by P. putida to prevent infection of the banana plants. To minimize the environmental impact of the fungal inhibitors to the soil microbiome, the bacteria will contain a kill switch that will cause it to terminate once the threat of F. oxysporum to the bananas has been alleviated. Furthermore, a double dependent plasmid system will be used to prevent the spread of artificial genetic material to surrounding soil bacteria. In summary, we hope to develop a showcase for the use of synthetic biology in agriculture in a safe and sustainable way.'","['Food & Energy', 'Food & Nutrition', 'Energy']"
25,"b'In parts of the world suitable land to raise grazing animals is limited so these animals are either not raised or are malnourished. Animals can get more nourishment from a smaller amount of land if they increase digestion efficiency by converting more sugar polymers (cellulose) from plants into usable sugars. We aim to construct an Escherichia coli strain capable of secreting cellulose-degrading enzymes in an animals gut. This strain will contain a plasmid that expresses the bglS, yesZ, and xynA genes from Bacillus subtilis that code for three enzymes that cleave different bonds in cellulose. These enzymes will be secreted from the well-studied probiotic Escherichia coli Nissle 1917 cell by a Type I secretion system whose genes are also engineered into the plasmid. In raising animals with this engineered bacterium, we hope to increase the amount of available calories for nutrient-deprived populations while having minimal effects on established cultural practices.'","['Food & Energy', 'Food & Nutrition', 'Energy']"
26,"b'Climate change is argued to be one of the greatest challenges faced by mankind. Its primary cause is believed to be man-made CO2 emissions from transportation and electricity production. To tackle the issue of transportation emissions, we want to produce sustainable propane in Escherichia coli using cellulosic feedstock. The pathway is a patchwork of 10 different enzymes from different organisms, such as Mycobacterium marinum and Bacillus subtilis. We built a model of the pathway to identify its bottlenecks and concentrate our engineering efforts on them. To elevate our propane from a food crop -based first generation biofuel to the second generation, we are integrating a secretion system for cellulose hydrolysing enzymes. To innovatively enhance our production system, we are bringing the two final enzymes of our pathway into close proximity by fusing them with micelle-forming amphiphilic proteins. This increases theoretical yield, bringing us one step closer to commercially viable biopropane.'","['Food & Energy', 'Food & Nutrition', 'Energy']"
27,"b""Acyl Phenylethanoid GlycosidesAPeGsplays a very important role in various plants that can bring benefits to human beings through their physiological activity. However, in natural plants, APeGs' low production and great difference have led to great disparity of food quality, making it hard to be effectively used. In order to control and ensure the quality of products more effectively, we have used biotechnology to look into physiological metabolic pathways of APeGs, and influences on the products exerted by the regulation and control of different key enzymes. Thus plants whcih contain more stable APeGs can be gained to benifit human beings in a better way.""","['Food & Energy', 'Food & Nutrition', 'Energy']"
28,"b'Researchers are starting to recognize that synthetic ecosystems, consortia of multiple bacterial species, can be used for higher yields, robustness and more diverse purposes. Our goal is to tap into this potential by creating a self-sustaining bio-factory of cyanobacteria - little fellows that need only CO2 and light - and product-producing E. coli, the general workhorse of the synthetic biology world. The cyanobacteria will create sugars from CO2 and sunlight, which it will release and feed to E. coli as a result of our applied synthetic genetic circuits. E. coli will then be engineered to use these sugars to create a product. In our proof-of-concept bio-factory, this product will be fuel. This platform, however, can be expanded to produce any product E. coli can make - medicine, plastics, commodity chemicals - as long as it is fueled by the cyanobacteria that only needs light and CO2.'","['Food & Energy', 'Food & Nutrition', 'Energy']"
29,"b""The magical bacterium-magnetotactic bacterium(MTBwith the property of magnetotaxis has attracted many scientists'interest to explore its application value.But most of MTB are anaerobic.The hard culture condition and complex operation in molecular level makes it difficult to be put into use. Our project is to create a magnetotactic E.coli (MTE) through synthetic biology methods.The previous researches have confirmed that the four main operons are essential for the magnetosome formation in other organisms! Firstly,we clone the relevant genes from genome-wide of Ms. gryphiswaldense strain MSR-1.Then we construct two plasmids containing the four operons. Finally co-transforming them into E.coli lead to magnetotaxis.The magnetotactic E.coli has a variety of applacations, such as targeted therapy,dealing with environmental pollution and so on.We focus on the application of microbial fuel cell(MFC).Fixing the laccase protein on the MTE membrane can make the laccase adhere to cathode stronger.Therefore we can replace the conventional platinum anode with biology catalyst.""","['Food & Energy', 'Food & Nutrition', 'Energy']"
30,"b'Microbial consortia plays an essential role in nature - being involved in processes ranging from biogeochemical cycling to immune system development. The shared characteristic these consortia is the specialization of individual populations of microbes within the community. Given the specialization and regulatory controls available, a greater range of tasks and durability is made available. After all, cooperation and division of labor is the driving force behind emergent properties. Here, we present a method to engineer a synthetic consortia of probiotics, namely, Escherichia coli ""Nissle"" and Lactobacillus reuteri, to express PYY, Ghrelin, and GLP1 - gut hormones involved in regulating appetite and insulin production. Such an undertaking involves establishing a secretion system via signal peptides and an intra- and inter- species communication mechanism via AHL-based quorum sensing. It is to be noted that such a system is designed to be versatile with a gut consortia being one of many potential uses.'","['Food & Energy', 'Food & Nutrition', 'Energy']"
31,"b'IGEM Groningen 2015 wants to harvest the energy of salt water, also known as Blue Energy. Blue energy uses ion exchange membranes to separate the sodium and chloride ions found in sea water. The currently used ion exchange membranes are expensive and their efficiency degrades over time . We aim to overcome these disadvantages by replacing those membranes with a bacterial biofilm. The biofilm completely consists of our modified Bacillus Subtilis. One of the two types of currently used ion membranes, the cation exchange membrane, only allows passage of positively charged sodium ions. A characteristics of this membrane is its negative charge. In order to generate blue bio energy, we aimed to overexpress genes whose encoding extracellular proteins provide the biofilm with an negative charge and increased rigidity. In result, our biofilm resembling the cation exchange membrane should be able to generate blue energy.'","['Food & Energy', 'Food & Nutrition', 'Energy']"
32,"b'Problems like food spoilage are a major concern in our lives mainly because they have a direct impact on the health of a person. Food spoilage renders a product undesirable for consumption and is the outcome of the biochemical activity of a microbial community. It is known that bacteria often communicate with each other through quorum sensing, where the communication is through certain signal molecules (auto-inducers) that freely diffuse into the environment.The enzymatic activities that account for quality degradation of food products are regulated by quorum sensing activity. Our engineered organism can be used as a marker of freshness in different kinds of food (dairy and other packaged products) by detecting the presence of Acyl Homoserine Lactones using the Lux operon system in E. coli and rendering a visible colour change (through lycopene production), thus preventing the consumption of such food and aiding healthy living.'","['Food & Energy', 'Food & Nutrition', 'Energy']"
33,"b'Free fatty acids are biofuel precursors. We focused on using zeaxanthin to counter the toxic effects of increased free fatty acids in an altered Synechococcus elongatus 7942 strain. Zeaxanthin acts as an antioxidant, stabilizes the membrane, and is needed for electron transport chain function. To increase the concentration of zeaxanthin and its precursors, we introduced a circuit containing parts of the zeaxanthin synthesis pathway. The La Caada subset of our team focused on tocopherol, a metabolite that has similar properties to zeaxanthin in cyanobacteria. Tocopherol acts as an antioxidant, protects the cell from lipid peroxidation, and enhances photosynthesis. A circuit was made with the gene p-hydroxyphenylpyruvate dioxygenase to catalyze the formation of homogenistic acid, the rate limiting step of tocopherol synthesis. In an attempt to further increase the production of fatty acids, both zeaxanthin and tocopherol circuits are dynamically regulated, utilizing a fatty acid-sensitive promoter-repressor system, pLR and FadR.'","['Food & Energy', 'Food & Nutrition', 'Energy']"
34,"b'Fusarium head blight (FHB) is a fungal disease that reduces grain yields and seed quality across the world. Fusariums airborne spores land on spikelets of flowering crops, producing trichothecene mycotoxins that inhibit cell processes. Gastrointestinal problems and feed refusal in livestock also occur if ingested. However pesticides controlling diseases like FHB have numerous economic and environmental costs. Our project represents a species specific and widely applicable solution to global agriculture problems using the synthesis of highly pure dsRNA as a topical fungicide. It has been shown that insect midgut cells taking up double-stranded RNA (dsRNA) are processed into small interfering RNAs (siRNAs) by the Dicer enzyme. If the siRNA is complementary to a certain gene, RNAi can silence its expression. This project will target and silence essential Fusarium genes. Our design involves a scaffold where any dsRNA sequence of interest may be inserted for gene targeting within a specific species.'","['Food & Energy', 'Food & Nutrition', 'Energy']"
35,"b'Photosynthesis is a key biological pathway utilized by plants and algae to generate useable energy from sunlight. Chlorophyll is a green pigment in photosynthetic organisms that aids in the manufacture of energy. Our aim is to engineer and express 13 genes of the chlorophyll-a biosynthetic pathway from Chlamydomonas reinhardtii in E. coli. While this pathway has been well characterised, reproduction of this process in non-photosynthetic organisms has not been successful. Our second goal is to synthetically engineer Photosystem II in E. coli, which consists of 17 genes. Photosystem II is a multi-subunit protein complex that generates oxygen and electrons, by oxidation of water molecules. Transferring these electrons to a hydrogenase would potentially lead to production of hydrogen on an industrial scale. Our goals are the first step towards clean and sustainable hydrogen production as a viable future energy source.'","['Food & Energy', 'Food & Nutrition', 'Energy']"
36,"b'To tackle malnutrition and overconsumption of food represent one of the major challenges of humankind. The iGEM Team Marburg addresses these issues in a holistic approach by developing modular tools. Engineered, cell-based particles produce dietary supplements to alleviate malnutrition. A cell-free protein matrix with a functionalized surface targets specific nutrients to lower their concentration in the human gut. Furthermore, we engineer a contact-dependent delivery system that modifies the human gut microbial community. Taken together, we provide innovative solutions for improving and balancing nutrition at the interface of the human microbiome and gut.'","['Food & Energy', 'Food & Nutrition', 'Energy']"
37,"b'People with celiac disease have to consume gluten free food because gluten creates an auto-immune response in their body. However, gluten free food is a lot more expensive than normal food. That is why, we decided to find a solution to this problem by taking kumamolisin and putting it in a vector of yeast that has alpha secretion factor then putting the plasmid in yeast. The yeast will produce and secrete kumamolisin enzyme to its external environment and will destroys gluten while the bread continues to be fermented. We also prepared a gluten detection kit using green fluroscent protein in PQLP aminoacid sequence. If kumamolisin cuts the gluten it will have cut GFP as well so there will be no colour but if it does not cut the gluten than it also has not cut GFP so green color will be observed.'","['Food & Energy', 'Food & Nutrition', 'Energy']"
38,"b'Food preservation is an important factor of the food problem. We considered a new food preservation method ""Flavorator"" to solve the food problem. ""Flavorator"" is a method of preserving food in an antimicrobial volatile substances (terpenoid :geraniol and farnesol) derived from plants .E. coli has a non-mevalonate pathway. therefore, The E. coli, there are metabolic pathway for synthesizing a precursor of farnesol and geraniol. E. coli can synthesize ""geraniol"" by introducing Ocimum basilicum geraniol synthase (ObGES). E. coli can synthesize ""farunesol"" by introducing the enzyme reaction rate-limiting step (ispDF, idi, dxs, ispA). A non-mevalonate pathway device is the enzyme reaction rate-limiting step operon. Gene involved in the enzyme reaction rate-limiting step to be introduced towards the E. coli. MarA is introduced towards E. coli in order to increase the antibacterial substance resistance. ""Flavorator"" is a way to solve food storage problem.'","['Food & Energy', 'Food & Nutrition', 'Energy']"
39,"b'Yogurt gets bacteria contamination more easily when stored with improper approaches. In this case, shelf-life is not that reliable. Considering the adverse effect that may be caused by bad yogurt, our team aims to create a handy detector for pathogenic bacteria in yogurt. Autoinducer2 (AI-2), a signal molecule in quorum sensing system, serves as the key of our project. We constructed the AI-2 response pathway of Salmonella in Lactobacillus. Produced by pathogenic bacteria, the extracellular AI-2 will enter the cytoplasm of our engineered bacteria, and then lead to the expression of the report gene. As pathogenic bacteria produce AI-2 constantly, our engineered bacteria will make the existence of pathogenic bacteria visible to naked eyes. Furthermore, our genetically engineered Lactobacillus can be used directly in yogurt fermentation, which will make the detecting process even more convenient.'","['Food & Energy', 'Food & Nutrition', 'Energy']"
40,"b'Colon cancer is the second most common cause of cancer deaths with 30,000 cases diagnosed every year in the United Kingdom. Studies suggest that resistant starches may reduce colon cancer by enabling colonic bacteria to produce short-chain fatty acids, including butyrate. Our project took two approaches to increase colonic butyrate. The first approach was to develop a screen for enzymes that could transfer acyl/butyryl groups to alpha 1,4 carbohydrates in bacteria and plants. To support this we modelled and modified carbohydrate branching. Enzymatic modification of carbohydrates could also provide environmentally-friendly methods for the production of modified starches used in a wide range of industries. The second approach aimed to transfer the butyrate biosynthetic pathway to Escherichia coli. Our work could be applied to the production of butyrylated starches for consumption as prebiotics or butyrate-producing probiotics. We also investigated and compared the feasibility of testing these products for efficacy in humans.'","['Food & Energy', 'Food & Nutrition', 'Energy']"
