,topic0,topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9,topic10,topic11,topic12,topic13,topic14,topic15
14,assistance oda,per capita,gini,fossil fuel,potable,zero hunger,preventable,developed country,reduce inequalities,manufacturing,urban areas,inaction,acidification,extinction,illegal unreported,environmentally sound
15,net oda,slum,labour market,modern energy,transboundary waters,agricultural markets,communicable diseases,secondary school,non discriminatory,manufacturing value,population using,polluting,overfishing,combat desertification,all levels,polluting
16,landlocked developing,disadvantaged,global economy,hydropower,water borne,undernourished,poverty eradication,schoolchildren,discrimination against,globally,per capita,greenhouse gas,coastal waters,illicit wildlife,victims detected,recycle
17,ending poverty,income inequality,ending poverty,environmentally,total oda,hunger,malaria cases,inclusion,inequality within,industrial revolution,cities,acidification,reef,desertification,each country,energy consumption
18,poverty eradication,gini,productivity,labour productivity,handwashing facilities,export subsidies,death among,gini,equal,advanced economies,poverty eradication,global unemployment,seas,forest area,fgm,sustainably manage
19,developed,poorer,labourers,export subsidies,integrated water,sustainably manage,these deaths,teacher training,equality,developing states,residents,ocean acidification,eutrophication,freshwater ecosystems,reported having,sustainable tourism
20,advanced economies,malnourished,be unemployed,solar,seawater,extreme poverty,deaths,poverty eradication,discriminatory laws,economic growth,billion people,irreversible,large marine,mountain ecosystems,inclusive societies,environmental
21,world bank,people died,workers,modern renewable,eutrophication,sustainably,communicable,minimum proficiency,genital,agricultural productivity,populations,global partnership,ecosystem,poaching,absolute number,consumption
22,global unemployment,slum dwellers,underemployment,sustainable consumption,billion people,billion people,eradication,least developed,developed country,without electricity,inhabitants,environmentally sound,oceans,extinct,trafficking,eco
23,malaria,billion people,informal employment,billion people,freshwater ecosystems,farming,epidemics,proficiency levels,progress has,textile,worlda population,greenhouse,wastewater,forestry,ending poverty,recycled
24,billion people,socioeconomic,forced labour,fuels,basin,food producers,measles,ending poverty,inequality,developed regions,population used,global,landlocked developing,marine ecosystems,violence,recycling
25,developing states,populations,working poor,biofuels,waters,severe food,epidemic,literate,marginalized,real gdp,sprawl,environmental,landlocked,wildlife products,inequality within,wasteful
26,countries,malaria control,income inequality,clean fuels,basic handwashing,malaria control,birth rate,proficiency standards,womens,global partnership,ending poverty,mitigation actions,environmentally,environmental degradation,developing countries,waste generated
27,income inequality,inequality within,creates jobs,sustainably,latrines,global unemployment,sids,oceania excluding,individual treatment,exports,population,ecosystem,ecosystems,forest management,prevalence,natural resources
28,malaria control,welfare,employed,global unemployment,toilets,food prices,disease,ensure equal,developed countries,world bank,worlds population,nationally determined,ocean,coastal eutrophication,births registered,developed country
29,global economy,worlds population,workforce,per capita,freshwater,scarcity,per capita,developed countries,against,us billion,pollutants,united nations,polluting,reforestation,zero hunger,unsustainable
30,malaria cases,mortality rates,productive,sustainable,wetlands,crops,handwashing,disadvantaged,each country,development assistance,people died,coastal ecosystems,maritime,land degradation,killings,material footprint
31,internationally reported,malaria,developed country,ecological,hydropower,farmed,diseases,poorest,prevalence,least developed,environmentally,million inhabitants,shore,fauna,crime,natural resource
32,export subsidies,developed country,average worker,wasteful,coastal waters,worlda population,billion annually,child labourers,equal access,developing regions,extreme poverty,natural disasters,endangered,forest,crimes,ecosystem
33,inequality within,marginalized,unemployment,biologically sustainable,floods,per capita,non communicable,child labour,social norms,reached billion,environmental degradation,extreme weather,sea,sustainably,people died,developed countries
34,poorest,their populations,per capita,greenhouse gases,coastal eutrophication,impoverished,covid pandemic,pedagogical,consensual,gini,covid pandemic,emissions intensity,freshwater,eutrophication,marginalized,tonnes
35,developed regions,developed countries,extreme poverty,greenhouse gas,amphibians,food security,immunization,lower secondary,ensure equal,export subsidies,million people,global economy,unregulated fishing,million hectares,everywhere,metric tons
36,globally,suffering,youth employment,reached billion,handwashing,gini,billion people,malnutrition,reducing inequalities,ending poverty,populated,adverse impacts,marine,conservation,child labour,resource use
37,products exported,inequality,globalization,sustainably manage,oda disbursements,total oda,ending poverty,pre primary,reported having,developed,polluting,determined contribution,coastal,sustainably manage,consensual,industrialized
38,indicators,quintile,reduce inequalities,coal,oda,poverty,births registered,teachers,gini,sustainable development,impoverished,per capita,biodiversity loss,natural habitats,trafficked,developing states
39,african countries,victims detected,developed countries,biomass,ecosystem,poverty reduction,sanitation services,all levels,had ratified,economies,overcrowded,meteorological,desalination,totalled billion,extreme poverty,renewable
40,seychelles,reduce inequalities,inequality within,polluting,landlocked developing,farmers,billions,amphibians,within biologically,industry,their populations,hurricanes,environmental impact,environmental impact,slum,global unemployment
41,sustainable development,reducing inequalities,inequality,resource efficiency,contaminated,worlds population,their populations,effective learning,violence against,million inhabitants,municipalities,unprecedented,fishery,biomass,rights institutions,developing countries
42,product gdp,under mortality,worker,billion annually,environmentally,malaria,population living,learners,progress towards,ldcs,waste generated,reefs,open ocean,conservation efforts,female genital,exported
43,globalization,eradication,poverty,environmentally sound,poverty eradication,reached billion,basic handwashing,lower middle,discriminatory,landlocked developing,designated,sendai framework,transboundary waters,biologically sustainable,social protection,renewables
44,developing regions,global economy,employment,cooking fuels,fresh water,populations,leading cause,numeracy,transnational,billion,developed country,emissions,molluscs,environmentally,inequality,billion tons
45,global partnership,households,workplaces,sustainable use,malaria control,biologically sustainable,internationally reported,unreported,arabia,worldwide,hazardous wastes,ozone,coral,afforestation,billion people,exports
46,achieve universal,humanity,birth rate,textiles,irrigation,family farmers,universal health,developing states,non communicable,communications technology,public transport,developed country,unclos,habitats,prisoners held,coastal ecosystems
47,slums,world bank,growth rates,global partnership,hygiene,desertification,total oda,learning outcomes,empowerment,progress has,housing census,disasters,ipcc,eradication,million children,pollutants
48,impoverished,subsistence,child labourers,electrification,assistance oda,sustainable development,sanitation management,inclusive societies,gender,products exported,pollution,landlocked developing,sustainably,malaria,detention without,textiles
49,amphibians,victims,eradication,ipcc,people died,million children,safely managed,poverty,harmonized,fdi,city,billion tons,wetlands,biological diversity,institutions,pollution
