,topic0,topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9,topic10,topic11,topic12,topic13,topic14
36,proteins,pandemic,world trade,mitigation,prisoners,secondary school,municipal,diets,million hectares,reforms,biodiversity,waters,greenhouse,electricity,conservation efforts
37,ph optimum,hiv aids,agricultural sector,prosperity,legal framework,developed countries,reliable sustainable,livelihood,sustainable use,marriage,sea,poverty reduction,environmentally,biologically sustainable,resource efficiency
38,amino,aids,developed regions,governments,child labour,teaching,per capita,family farmers,sustainable,prevalence,reefs,droughts,united nations,fossil fuel,co emissions
39,physiology,vaccinations,worlda workers,developing regions,victims,global population,reduce poverty,subsistence,biological diversity,reproductive age,fish,resilient agricultural,emissions intensity,electrification,fossil fuels
40,peptide,disease,industries,migrants,sentencing,developing,hazardous wastes,zero hunger,freshwater ecosystems,fertility,open ocean,pollution,eco,cooking fuels,fossil fuel
41,phosphoglyceric,prevalence,poverty reduction,economic infrastructure,national legislation,income countries,population living,food prices,species,women aged,environmentally,global population,renewables,environmental degradation,energy efficiency
42,transpeptidase,global population,sustainable use,world bank,terrorism,minimum proficiency,global population,harvesting,habitats,individual rights,fishing,filtration,multilateral agencies,pollution,ecosystem services
43,electrophoresis,illness,economics,income,developed countries,youth employment,settlements,food price,landlocked developing,trafficking victims,conservation efforts,environmental,mitigation actions,material consumption,pollutants
44,deacetylase,vaccination,reduce poverty,pensions,discriminatory,children,conservation efforts,nutrients,sustainability,predominated,sustainable use,rainwater,resilient agricultural,natural resource,water scarcity
45,oxidase,life expectancy,sustainable consumption,economies,saharan,sustainable development,resilient infrastructure,genetic resources,sustainable development,mutilation cutting,sustainable,water borne,stakeholders,agricultural productivity,ecological
46,cancerostatics,birth rate,incomes,countries landlocked,legal frameworks,poverty line,local disaster,landlocked developing,agriculture,forced labour,transboundary waters,reliable sustainable,initiatives,global population,greenhouse gas
47,diphosphate,malaria cases,labour,real gdp,humanitarian,african countries,basic sanitation,undernourished,neglected tropical,human trafficking,environmental,per capita,land degradation,climate change,expenditure on
48,phosphate,epidemics,employment,deprivation,homicides,classroom,public spaces,diet,grasslands,social protection,sustainability,hygiene,global economy,per capita,export measures
49,acidification,incidence rate,prosperity,middle income,safeguard,among children,developing countries,cultivated,environmentally,adolescent girls,water resources,sustainable consumption,renewable energy,natural resources,clean energy
