,topic0,topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9,topic10,topic11,topic12,topic13,topic14,topic15,topic16
10,ph values,premature deaths,inclusive societies,livelihoods,real gdp,environmental degradation,reduce poverty,growth rates,food security,conservation,discriminatory laws,marine fish,water sector,green climate,sustainable development,environmentally,migrants
11,adenylate cyclase,universal health,african countries,livelihood,child labourers,improved sanitation,school age,growth rate,agriculturea,ecosystem services,human rights,fisheries subsidies,wastewater,greenhouse gases,sustainability,consumption,per capita
12,metabolism,reproductive health,violence against,welfare,unemployment rate,urban dwellers,primary school,developed country,food insecurity,wildlife,poverty reduction,coastal waters,integrated water,sustainability,modern energy,hazardous wastes,developed country
13,metabolites,health care,rights violations,economic development,child labour,urban residents,schools,industrialized,agricultural products,ecosystems,equal rights,oceans,water supply,national policies,clean fuels,biologically sustainable,globalization
14,proteinase,health,countries landlocked,resilient agricultural,economies,sanitation management,learning outcomes,income countries,undernutrition,natural resource,gender sensitive,unregulated fishing,sustainable use,conservation efforts,reliable sustainable,pollution,export subsidies
15,acidity,health systems,safeguarding,disaster risk,economy,environmental impact,schoolchildren,developing regions,dietary,forestry,womena,ecosystem,environmental degradation,disaster risk,emissions,recycling,reduce poverty
16,peptides,malaria control,crime,low income,growth rates,sanitation,disadvantaged,infrastructure,hunger,natural resources,child marriage,seawater,water sources,warming,global economy,global carbon,african countries
17,biosynthesis,health services,detention,impoverished,employment opportunities,waste generation,development assistance,agricultural productivity,reduce poverty,natural habitats,child labour,fish stocks,handwashing facilities,sustainable,energy,emissions,economies
18,metabolic,diseases,sexual violence,deprivation,per capita,public transport,teacher training,economic,agricultural markets,forests wetlands,national legislation,ecosystem services,desalination,reliable sustainable,resource efficiency,natural resource,economic growth
19,cytochrome,maternal deaths,refugees,sustainable development,employment,pollution,trained teachers,sustainable use,poverty reduction,vegetation,young women,marine technology,sustainable development,national adaptation,global carbon,polluting,global unemployment
20,acids,covid pandemic,sexual exploitation,per capita,labour,managed sanitation,early childhood,developed regions,end hunger,wildlife products,discriminatory,aquaculture,drinking water,policy frameworks,waste generation,waste generated,national policies
21,atp,healthcare,discriminatory laws,working poor,productive employment,sustainable use,poverty,economy,developing countries,biologically sustainable,discrimination against,freshwater ecosystems,fresh water,environmental degradation,consumption,global economy,economic infrastructure
22,acidosis,under mortality,unrest,development assistance,labour organization,local governments,inclusive societies,real gdp,farmers,extinction,women,overfishing,waste generation,sustainable use,greenhouse gas,natural resources,tariffs
23,cyproheptadine,illnesses,governance,socioeconomic,worlda workers,sustainable,extreme poverty,industries,ending poverty,forests,sexual relations,ecological,developing countries,paris agreement,environmental impact,renewables,developing regions
24,phospholipids,infectious diseases,individual rights,global unemployment,growth rate,cities,ending poverty,globalization,nutritional,mountain ecosystems,womens,oceanographic,freshwater,mitigation,developing countries,environmental,product gdp
25,phospholipid,healthy lives,violence,inclusive societies,global population,land degradation,learners,global population,agricultural export,environmental impact,discrimination,biodiversity loss,freshwater ecosystems,emissions,fossil fuels,conserve,responsible migration
26,proteins,communicable diseases,social protection,global population,developed countries,scarcity,teachers,labour productivity,income countries,forest loss,reduce poverty,environmental impact,sustainability,conserve,environmentally,energy consumption,direct economic
27,ph optimum,essential health,internationally reported,income inequality,informal employment,sustainability,developing regions,sustainability,livestock,environmental degradation,empowerment,eutrophication,environmental impact,co emissions,fuels,sustainable tourism,world trade
28,phosphoglyceric,developing countries,victims detected,natural disasters,poverty reduction,urban,development goals,growth,food producers,marine biodiversity,developing countries,biologically sustainable,drought,natural disasters,global warming,renewable,international agreements
29,amino,prevention,governments,incomes,be unemployed,million inhabitants,economic development,industrys,livelihoods,conserve,disadvantaged,ecosystems,ecosystem services,international cooperation,efficiency,sustainably use,exports
30,peptide,pandemic has,prisoners,crises,working poor,sanitation services,youth aged,per capita,ending hunger,resilient agricultural,reforms,environmental degradation,environmentally,dioxide emissions,co emissions,dioxide emissions,world bank
31,physiology,skilled health,corruption,disasters,income,air pollution,socioeconomic,industry,extreme poverty,illicit wildlife,marriage,reef,sustainable,development goals,use efficiency,clean fuels,real gdp
32,transpeptidase,through prevention,sentencing,mitigation,economic,poverty reduction,students,environmental impact,farming,fauna,fertility,key biodiversity,conservation efforts,international agreements,conserve,developing countries,sustainable development
33,electrophoresis,malaria,victims,pensions,incomes,water scarcity,million children,sustainable consumption,poverty,grassland,prevalence,ocean,disposal,developing regions,biofuels,renewable energy,migrant workers
34,deacetylase,health organization,legal framework,refugees,reduce poverty,disaster risk,children aged,global unemployment,diets,million hectares,reproductive age,seas,waters,national legislation,dioxide emissions,product gdp,government expenditure
35,diphosphate,hiv,international community,prosperity,product gdp,municipal,secondary school,world trade,livelihood,sustainable use,female,biodiversity,poverty reduction,risk reduction,electricity,conservation efforts,developing states
36,phosphate,pandemic,terrorism,risk reduction,socioeconomic,reliable sustainable,developed countries,direct economic,family farmers,sustainable,individual rights,sea,droughts,greenhouse,biologically sustainable,resource efficiency,international monetary
37,acidification,hiv aids,sub saharan,resilience,agricultural productivity,per capita,teaching,technological,subsistence,biological diversity,mutilation cutting,reefs,resilient agricultural,environmentally,fossil fuel,co emissions,countries
38,purification,aids,global population,resilient infrastructure,migrant workers,reduce poverty,global population,technologies,zero hunger,freshwater ecosystems,trafficking victims,fish,pollution,united nations,electrification,fossil fuels,global population
39,protein,vaccinations,homicides,scarcity,workforce,hazardous wastes,developing,productivity,food prices,species,women aged,open ocean,global population,emissions intensity,cooking fuels,fossil fuel,economic
40,reductase,global population,national legislation,mortality rates,subsistence,population living,income countries,resilient infrastructure,harvesting,habitats,forced labour,environmentally,filtration,renewables,environmental degradation,energy efficiency,economy
41,glucose,prevalence,national policies,poorer,sustainable development,global population,minimum proficiency,waste generation,food price,landlocked developing,social protection,fishing,environmental,multilateral agencies,pollution,ecosystem services,low income
42,aminotyrosyl,disease,discriminatory,covid crisis,labourers,settlements,youth employment,scarcity,nutrients,sustainability,international law,conservation efforts,water borne,mitigation actions,material consumption,pollutants,international cooperation
43,erythrocyte,illness,child labour,their livelihoods,extreme poverty,conservation efforts,children,sustainable,genetic resources,sustainable development,human trafficking,sustainable use,reliable sustainable,resilient agricultural,natural resource,water scarcity,livelihoods
44,adenylate,birth rate,legal frameworks,african countries,direct economic,resilient infrastructure,sustainable development,reliable sustainable,landlocked developing,agriculture,marrying,sustainable,per capita,stakeholders,agricultural productivity,ecological,agricultural export
45,inhibitor,life expectancy,prisoners held,landlocked developing,creates jobs,local disaster,poverty line,technology,undernourished,neglected tropical,modern contraceptive,transboundary waters,hygiene,initiatives,global population,greenhouse gas,governments
46,phallolysin,vaccination,safeguard,most vulnerable,wages,basic sanitation,african countries,agricultural sector,cultivated,grasslands,legislation,environmental,sustainable consumption,land degradation,climate change,expenditure on,poverty
47,acetylcoa carboxylase,malaria cases,saharan,global economy,globalization,public spaces,classroom,emissions,economic development,environmentally,age worldwide,sustainability,reduce poverty,global economy,per capita,export measures,development assistance
48,nutritional,incidence rate,developed countries,income,world bank,developing countries,among children,agricultural export,global population,marine ecosystems,child labourers,water resources,public health,renewable energy,natural resources,clean energy,exports from
49,inhibitors,family planning,national circumstances,land degradation,income inequality,developing regions,development goal,global carbon,nutrient,forest,national policies,renewables,water,governments,economic infrastructure,scarcity,subsidy
