,topic0,topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9,topic10,topic11,topic12,topic13,topic14,topic15
18,developed,per capita,labourers,labour productivity,handwashing facilities,global unemployment,export subsidies,death among,gini,equal,agricultural productivity,billion people,seas,forest area,fgm,sustainably manage
19,advanced economies,poorer,workers,export subsidies,integrated water,ocean acidification,sustainably manage,these deaths,teacher training,equality,economic growth,cities,eutrophication,freshwater ecosystems,reported having,sustainable tourism
20,poverty eradication,malnourished,productivity,solar,seawater,irreversible,extreme poverty,deaths,poverty eradication,discriminatory laws,advanced economies,residents,large marine,mountain ecosystems,inclusive societies,environmental
21,world bank,slum dwellers,be unemployed,modern renewable,eutrophication,global partnership,sustainably,communicable,minimum proficiency,genital,textile,populations,ecosystem,poaching,absolute number,consumption
22,malaria,socioeconomic,underemployment,sustainable consumption,billion people,environmentally sound,billion people,eradication,least developed,developed country,developed regions,worlda population,oceans,extinct,trafficking,eco
23,developing states,people died,income inequality,billion people,freshwater ecosystems,greenhouse,farming,epidemics,proficiency levels,progress has,developing states,inhabitants,wastewater,forestry,ending poverty,recycled
24,global unemployment,billion people,working poor,fuels,basin,global,food producers,measles,ending poverty,inequality,global partnership,population used,landlocked developing,marine ecosystems,violence,recycling
25,countries,populations,informal employment,biofuels,waters,environmental,severe food,epidemic,literate,marginalized,without electricity,ending poverty,landlocked,wildlife products,inequality within,wasteful
26,malaria cases,inequality within,forced labour,clean fuels,basic handwashing,mitigation actions,malaria control,birth rate,proficiency standards,womens,exports,sprawl,environmentally,environmental degradation,developing countries,waste generated
27,malaria control,malaria control,creates jobs,sustainably,latrines,ecosystem,global unemployment,sids,oceania excluding,individual treatment,us billion,people died,ecosystems,forest management,prevalence,natural resources
28,global economy,mortality rates,workforce,global unemployment,toilets,nationally determined,food prices,disease,ensure equal,developed countries,real gdp,population,ocean,coastal eutrophication,births registered,developed country
29,billion people,welfare,developed country,per capita,freshwater,united nations,scarcity,per capita,developed countries,against,world bank,environmentally,polluting,reforestation,zero hunger,unsustainable
30,internationally reported,worlds population,extreme poverty,sustainable,wetlands,coastal ecosystems,crops,handwashing,disadvantaged,each country,industry,pollutants,maritime,land degradation,killings,material footprint
31,export subsidies,malaria,employed,ecological,hydropower,million inhabitants,farmed,diseases,poorest,prevalence,developing regions,worlds population,shore,fauna,crime,natural resource
32,income inequality,developed country,globalization,wasteful,coastal waters,natural disasters,worlda population,billion annually,child labourers,equal access,reached billion,million people,endangered,forest,crimes,ecosystem
33,developed regions,developed countries,per capita,biologically sustainable,floods,extreme weather,per capita,non communicable,child labour,social norms,economies,extreme poverty,sea,sustainably,people died,developed countries
34,globally,marginalized,productive,greenhouse gases,coastal eutrophication,emissions intensity,impoverished,covid pandemic,pedagogical,consensual,ending poverty,environmental degradation,freshwater,eutrophication,marginalized,tonnes
35,poorest,inequality,average worker,greenhouse gas,amphibians,global economy,food security,immunization,lower secondary,ensure equal,least developed,covid pandemic,unregulated fishing,million hectares,everywhere,metric tons
36,inequality within,suffering,reduce inequalities,reached billion,handwashing,adverse impacts,gini,billion people,malnutrition,reducing inequalities,development assistance,waste generated,marine,conservation,child labour,resource use
37,products exported,their populations,unemployment,sustainably manage,oda disbursements,determined contribution,total oda,ending poverty,pre primary,reported having,gini,polluting,coastal,sustainably manage,consensual,industrialized
38,african countries,quintile,inequality within,coal,oda,per capita,poverty,births registered,teachers,gini,worldwide,municipalities,biodiversity loss,natural habitats,trafficked,developing states
39,developing regions,reduce inequalities,developed countries,biomass,ecosystem,meteorological,poverty reduction,sanitation services,all levels,had ratified,export subsidies,impoverished,desalination,totalled billion,extreme poverty,renewable
40,seychelles,reducing inequalities,inequality,polluting,landlocked developing,hurricanes,farmers,billions,amphibians,within biologically,developed,their populations,environmental impact,environmental impact,slum,global unemployment
41,sustainable development,under mortality,youth employment,resource efficiency,contaminated,unprecedented,worlds population,their populations,effective learning,violence against,productive employment,populated,fishery,biomass,rights institutions,developing countries
42,global partnership,subsistence,poverty,billion annually,environmentally,reefs,malaria,population living,learners,progress towards,billion,designated,open ocean,conservation efforts,female genital,exported
43,developing,victims detected,birth rate,environmentally sound,poverty eradication,sendai framework,reached billion,basic handwashing,lower middle,discriminatory,agricultural export,hazardous wastes,transboundary waters,biologically sustainable,social protection,renewables
44,globalization,eradication,worker,cooking fuels,fresh water,emissions,populations,leading cause,numeracy,transnational,agricultural sector,overcrowded,molluscs,environmentally,inequality,billion tons
45,achieve universal,households,prosperity,sustainable use,malaria control,ozone,biologically sustainable,internationally reported,unreported,arabia,sustainable development,developed country,coral,afforestation,billion people,exports
46,indicators,mortality rate,world bank,textiles,irrigation,developed country,family farmers,universal health,developing states,non communicable,products exported,city,unclos,habitats,prisoners held,coastal ecosystems
47,product gdp,humanity,growth rates,global partnership,hygiene,disasters,desertification,total oda,learning outcomes,empowerment,indicators,public transport,ipcc,eradication,million children,pollutants
48,oceania excluding,mortality,workplaces,electrification,assistance oda,landlocked developing,sustainable development,sanitation management,inclusive societies,gender,achieve universal,pollution,sustainably,malaria,detention without,textiles
49,slums,struggled,eradication,ipcc,people died,billion tons,million children,safely managed,poverty,harmonized,productivity,housing census,wetlands,biological diversity,institutions,pollution
