,topic0,topic1,topic2,topic3,topic4,topic5,topic6,topic7,topic8,topic9,topic10,topic11,topic12,topic13
27,productive employment,economic growth,healthy lives,internationally reported,economic development,endangered,livestock,discrimination,ecosystems,environmentally,sustainability,natural disasters,global warming,renewable
28,growth,inclusive societies,birth rate,victims detected,development goals,conserve,ending hunger,empowerment,environmental degradation,sustainable,urban,international cooperation,efficiency,sustainably use
29,youth employment,working poor,malaria cases,governments,graders,resilient agricultural,extreme poverty,female,reef,conservation efforts,sanitation services,development goals,co emissions,clean fuels
30,productivity,national policies,essential health,prisoners,students,illicit wildlife,livelihoods,developing countries,key biodiversity,disposal,million inhabitants,international agreements,use efficiency,developing countries
31,efficiencies,socioeconomic,vaccination,corruption,socioeconomic,fauna,farming,disadvantaged,ocean,waters,air pollution,developing regions,conserve,renewable energy
32,socioeconomic,globalization,prevention,sentencing,youth aged,grassland,feeding,minorities,seas,poverty reduction,water scarcity,risk reduction,biofuels,product gdp
33,world trade,refugees,pandemic,victims,million children,million hectares,poverty,reforms,biodiversity,droughts,disaster risk,greenhouse,electricity,conservation efforts
34,agricultural sector,prosperity,epidemics,legal framework,secondary school,sustainable use,malnourished,marriage,sea,resilient agricultural,municipal,environmentally,biologically sustainable,resource efficiency
35,developed regions,developing regions,through prevention,international community,minimum proficiency,sustainable,zero hunger,prevalence,reefs,pollution,poverty reduction,united nations,fossil fuel,co emissions
36,industries,mitigation,disease,terrorism,teaching,biological diversity,livelihood,reproductive age,fish,environmental,per capita,emissions intensity,electrification,fossil fuels
37,poverty reduction,world bank,epidemic,sub saharan,developed countries,freshwater ecosystems,family farmers,fertility,open ocean,rainwater,hazardous wastes,eco,cooking fuels,fossil fuel
38,sustainable use,migrants,fertility,homicides,income countries,species,food prices,women aged,environmentally,water borne,population living,renewables,environmental degradation,energy efficiency
39,sustainable consumption,governments,live births,national policies,developing,habitats,subsistence,individual rights,fishing,per capita,settlements,multilateral agencies,pollution,pollutants
40,incomes,income,sanitation,discriminatory,youth employment,landlocked developing,food price,trafficking victims,conservation efforts,hygiene,conservation efforts,mitigation actions,material consumption,water scarcity
41,labour,pensions,prevalence,child labour,sustainable development,sustainability,harvesting,predominated,sustainable use,sustainable consumption,resilient infrastructure,resilient agricultural,natural resource,ecological
42,employment,economies,covid crisis,legal frameworks,poverty line,sustainable development,nutrients,mutilation cutting,sustainable,water,local disaster,stakeholders,agricultural productivity,greenhouse gas
43,prosperity,real gdp,skilled health,prisoners held,children,agriculture,undernourished,forced labour,transboundary waters,transboundary waters,basic sanitation,initiatives,climate change,expenditure on
44,annum,deprivation,contraceptives,safeguard,classroom,neglected tropical,landlocked developing,human trafficking,environmental,land degradation,public spaces,land degradation,per capita,export measures
45,child labourers,middle income,giving birth,saharan,african countries,grasslands,foods,social protection,sustainability,hazardous wastes,developing countries,global economy,natural resources,clean energy
46,african countries,developed country,vaccine,developed countries,scholarships amounted,environmentally,diet,adolescent girls,water resources,hydropower,municipalities,renewable energy,economically,scarcity
47,unemployment rate,landlocked developing,modern contraceptive,humanitarian,proficiency levels,marine ecosystems,cultivated,international law,renewables,ecological,developing regions,governments,eco,eutrophication
48,eco,economic,family planning,national circumstances,proficiency standards,forest,economic development,sex age,water scarcity,aquaculture,environmental,natural resource,water resources,per capita
49,industrys,humanitarian,life expectancy,prison,development goal,agricultures,genetic resources,woman,polluting,floods,polluting,world bank,without electricity,waste
