,text
14,two forms of bakers yease valyltrna synthetase have been purified to apparent homogeneity by CP methods it was demonstrated that one of the two forms of the enzyme originates from the other by proteolysis the respective amounts of each form depending on the physiological state of the yeast the species mainly isolated from exponential growing yeast cells is a monomer of daltons molecular weight in stationary phase cells or in commercial yeast the major species is a degraded monomer of daltons molecular weight however when the purification is carried out in the presence of phenylmethylsulphonyl fluoride or diisopropylfluorophosphate large amounts of the not degreded monomer can be obtained of great practical usefulness is the fact that large amounts of the native enzyme can be obtained pure after only two chromatographic steps on deaecellulose and hydroxylapatite the kinetic constants for valine atp and trnaval were determined as well as the optimum aminoacylation conditions it was found that the TPS activity of the nondegraded valyltrna synthetase is higher than that of the proteolysed enzyme for the aminoacylation reaction on the contrary both forms have the same atppyroposphate exchange activity the amino acids composition of the native enzyme was established the tryptic fingerprints of the two valyltrna synthetases were studied essentially similar maps were obtained the number of the spots in the fingerprints indicates that the enzymes contain a high proportion of RS
15,a cytochrome c derivative from which iron is removed has been prepared and characterized several lines of evidence indicate that native and porphyrin cytochrome c have similar conformations they have similar elution characteristics on sephadex gel chromatography in both proteins the tryptophan fluorescence is quenched and the pk values of protonation of the porphyrin are identical porphyrin cytochrome c does not substitute for native cytochrome c in either the oxidase reaction or in restoring electron transport in cytochromecdepleted mitochondria it does however competitively inhibit native cytochrome c in these reactions the ki for inhibition being larger than the km for reaction the absorption and emission spectra and the polarized excitation spectrum of the porphyrin cytochrome c are characteristic of free base porphyrin the absence of fluorescence quenching of porphyrin cytochrome c when the protein is bound to cytochrome oxidase suggests that heme to heme distance between these proteins is larger than to nm depending upon orientation binding of the porphyrin cytochrome c to phospholipids or to mitochondria increases the FP of a positively polarized absorption band which indicates that the bound form of the protein does not rotate freely within the time scale of relaxation from the excited state
16,it has been shown that particles of vi bacteriophage iii catalyse deacetylation of oacetyl pectic polygalacturonic acid a structural analogue of vi polysaccharide vi antigen using this ATP and determining the acetic acid liberated by gasliquid chromatogrphy a method for the estimation of vi phage deacetylase activity has been developed purified particles of vi phage iii were exposed to a variety of mildly dissociative reagents and conditions and then tested for plaqueforming and for deacetylase activity they have also been inspected under the electron microscope osmotic shock and incubation in the presence of EDTA greater than or equil m or of larginine m were found to cause disintegration of the virions into empty head capsids deoxyribonucleic acid and base plates still carrying the spikes the mixtures of viral fragments exhibited an increased deacetylase activity using zonal sedimentation and ion exchange chromatography the phage fragments obtained by treatment with EDTA have been fractionated and the base plates isolated amongst the viral components these structures showed the highest TPS deacetylase activity they had the shape of sixpointed stars about nm inner and nm outer diam with a central hole or plug approximately nm carrying six spikes roughly cylindrical organelles of approx x nm one at each of the points of the polypeptides of six sizes p about daltons p p p p detected in whole vi phage iii virions by sodium dodecyl sulphatepolyacrylamide gel electrophoresis only two p and p were found in the base plates
17,the hepatic disposition of four chlorinated biphenyls was studied in isolated perfused rat CL preparations perfused with rat blood biliary excretion of clabeled chlorobiphenyl cb dichlorobiphenyl cb pentachlorobiphenyl cb and hexachlorobiphenyl cb appeared to be inversely related to increased chlorination each of the EDC was rapidly taken up by the liver from the circulating perfusate T3 hr of perfusion biliary excretion of c from B6 cb B6 and cb was and of total dose respectively for cb this rate of biliary beta represents a maximum perfusatebile ratio of about of the label in the bile from B6 experiments was in the form of metabolites biliary excretion of B6 was biphasic an initial rapid phase t min was followed by a slower second phase t min when the metabolites of cb were added to the perfusate biliary excretion of these metabolites was monophasic t min which corresponded to the slower phase observed when the parent compound was presented to the liver cb disappeared from the perfusate via a biphasic process metabolites of B6 effused into the perfusate immediately after the initial rapid uptake of cb by the CL and the recirculating pool of metabolites was eliminated in the bile by the slow postsynthetic phase of biliary elimination less than of cb was present as the parent compound in the perfusion system after hr of perfusion these findings indicate that the metabolism of B6 is not the limiting factor in the hepatic disposition of B6 and that the circulating metabolites of cb effusing from the CL might be the major source for urinary excretion
18,the cardiovascular effects of halothanenitrous oxide anesthesia and betareceptor blockade with either propranolol or practolol were studied in dogs in which severe myocardial infarction had been induced ten days earlier the hemodynamic responses to blood loss amounting to per cent of estimated blood volume and its subsequent replacement were studied before and after induction of betareceptor blockade in terms of cardiac SO and aortic blood flow acceleration cardiac performance in the absence of betablockade was markedly impaired during steadystate anesthesia compared with corresponding values in normal dogs practolol mgkg administered during anesthesia induced no significant circulatory change other than a per cent decrease in heart rate and a per cent increase in strode volum propranolol mgkg caused a comparable reduction of heart rate but significantly reduced cardiac output per cent aortic blood flow acceleration per cent and peak lv SP per cent and increased systemic V1 resistance per cent the two drugs caused comparable shifts of the isoproterenol doseresponse curve during anesthesia graduated blood loss during anesthesia to a total of per cent of blood volume caused consistent circulatory changes decreased mean arterial pressure cardiac output peak lv power lv minute work that were essentially similar before and T3 betareceptor blockade with either propranolol or practolol the positive inotropic effect of calcium gluconate during HAL anesthesia was significantly reduced following either propranolol or practolol but the hemodynamic responses to changes of systemic V1 resistance induced with acetylcholine or phenylephrine were not modified by betareceptor blockade
19,fiftyeight human isolates of bacteroides melaninogenicus from a variety of clinical infections and the rest from normal flora were studied for pigment production and ultraviolet light fluorescence and by forty biochemical and other tests including endproduct analysis by gasliquid chromatography in a number of instances tests were repeated several times and the results were reproducible agar plate dilution susceptibility tests were also performed to antimicrobial agents these strains could be reliably placed into three groups corresponding to the three subspecies described based on seven characteristics these included acid production in peptoneyeastglucose medium production of nbutyric acid from peptoneyeastglucose medium esculin hydrolysis ST hydrolysis indole production effect on milk and lipase production production of hydrogen gas in peptoneyeastfructose medium may be another distinguishing characteristic in GA there was not much difference in the susceptibility of the three groups to the various antimicrobial agents tested two strains had a MICs of penicillin g of and uml respectively three strains did not produce a black pigment in spite of prolonged incubation on bloodcontaining media
20,the nature of riboflavin precursors was studied in the yeast pichia guilliermondii by means of mutants with blocked gmpsynthetase the purine precursors of riboflavin were shown to belong to guanylic compounds accumulation of triaminooxypyrimidine diaminooxyribitylaminopyrimidine dioxyaminoribitylaminopyrimidine doarap and dimethylribityllumasine occurs in the riboflavindeficient mutants divided into five biochemical groups this fact evidences for identity of riboflavin precursors in the yeast p guilliermondii and saccharomyces cerevisiae synthesis of doarap by the washed off cells of the mutants with the blocked lumasine synthetase is strongly inhibited by riboflavin cycloheximide in the absence of riboflavin has no effect on this process consequently flavinogenesis in p guilliermondii is regulated according to the type of negative feedback by means of retroinhibition mechanism a change in the content of flavins in the cells has no effect on synthesis of riboflavin synthetase at the same time iron deficiency in the cells evokes derepression of this enzyme incubation of the cells rich in iron with ophenantroline or alpha alphadipyridyl also causes derepression of riboflavin synthetase which is inhibited by cycloheximide a deficiency of hem in the mutants which need epsilonaminolevulinic acid does not affect the riboflavinsynthetase activity of the cells evidently in p guilliermondii a certain form of nonheminic iron might take part in regulating synthesis of riboflavin synthetase and other enzymes participating in riboflavin biosynthesis riboflavin overproduction is established to require formation of purines de novo with the absence of flavinogenesis enzymes derepression a genetic disturbance in regulation of purinic nucleotides biosynthesis results in stimulation of flavinogenesis the properties were studied for time purified riboflavinkinase from cells of p guilliermondii as well as for three phosphatases possessing the optimum of the activity at ph and which are able of hydrolysing fmn a NC in the content of flavins and iron in the cells has no effect on the activity of riboflavinkinase in this species evidently the mechanisms of riboflavin and flavin nucleotides biosynthesis regulation would be different in p guilliermondii
21,human adenylate cyclase atp pyrophosphatelyase cyclizing ec has been studied in S9 of fat cell membranes ghosts as reported earlier under ordinary CA conditions mm atp mm mg degrees c min incubation the enzyme was activated fold by epinephrine in the presence of the gtp analog guanylylimidodiphosphate gmppnhp cooper b et al j clin invest basal activity was highest during the first min of incubation then slowed and was linear for at least the next min EN added CT was often without effect but sometimes maintained the initial high rate of basal activity gmppnhp alone produced inhibition lag of basal enzyme early in the incubation periods augmentation of epinephrine effect by gmppnhp which also proceeded after a brief min lag period was noted over a wide range of ATP atp concentrations gtp inhibited basal levels of the enzyme by about gtp also allowed expression of an EN effect but only in the sense that the hormone abolished the inhibition by gtp occasionally a slight stimulatory effect on epinephrine action was seen with gtp at high mg concentration greater than mm or elevated temperatures greater than degrees c gmppnhp CT G1 the enzyme maximal activity of human fat cell adenylate cyclase was seen at mm mg mm atp ph and degrees c in the presence of m gmppnhp under these conditions addition of epinephrine did not further enhance activity human fat cell adenylate cyclase of adults was insensitive to acth and glucagon even in the presence of gmppnhp
22,calf skin collagen was solubilized by incubating acidextracted calf skin with pepsin at ph and degrees c conditions that did not cause degradation of the triple helical region of collagen type iii collagen was separated from type i collagen by differential salt precipitation at ph the isolated type iii collagen contained mainly gamma and higher molecular weight components crosslinked by reducible andor nonreducible bonds the isolated alpha iii chains had an CAA composition characteristic of type iii collagen denatured but unreduced type iii collagen chromatographed on carboxymethylcellulose eluted in the alpha region while T3 reduction and alkylation the alpha iii chains eluted between the positions of alpha i and alpha the midpoint melting temperature temperature tm of type iii collagen degrees c in a citrate buffer at ph was somewhat lower than that of type i collagen degrees c renaturation experiments at degrees c showed that denatured type iii collagen molecules with intact intramolecular disulfide bridges gamma components reform the triple helical structure of collagen much faster than reduced and carboxymethylated alpha iii chains
23,it has been previously reported that fasting may result in decreased lung surfactant production in order to investigate this relationship and the role of nutrition in lung phospholipid synthesis dayold rats were exposed for h to one of five dietary regimens standard rat chow controls fasting pure glucose pure fat or pure protein after the period of fasting there was a decrease in lung protein content but there was no change in dna content exposure to any of the exp diets resulted in a decrease in tissue total phospholipid and phosphatidylcholine content per lung but not per unit lung protein similarly lung lavage phospholipid and phosphatidylcholine content was decreased by after fasting when expressed per lung or per unit dna but not per unit protein pulmonary cholinephosphotransferase ec activity was decreased in the fasted animals and those fed the HP but not in the glucose or fatfed animals the activities of acetylcoa carboxylase ec and microsomal fatty acid elongation were decreased in all the experimental groups except for the glucosefed group it is concluded that fasting results in a decrease in lung cell size but not in lung cell number total phospholipid and phosphatidylcholine content in lung tissue and lung lavage is decreased per cell but not per unit cell mass
24,residues and of the pentapeptide moiety raladglulysdaladala of peptidoglycan play an important role in the donor phase of crosslinked glycan synthesis to assess the role of these residues in this phase a series of udpmurnacpeptides were biosynthesized with residues and replaced singly by either dalphaaminonbutyric acid dnorvaline or dvaline the six nucleotides were compared with udpmurnacaladglulysdaladala REF in nascent penicillininsensitive PGN synthesis and in penicillinsensitive peptidoglycan synthesis the synthesis of penicillinsensitive peptidoglycan is catalyzed by membranewalls isolated from gaffkya homari and would appear to require the concerted action of transglycosylase and transpeptidase the membranewall system shows a high degree of discrimination for the steric substituents ch and chch in residue for example for udpmurnacaladglylysdabudala and aladglulysdaladabu vmaxkm is and and vmax is and respectively of the value for the reference nucleotide in contrast for the synthesis of nascent PGN with these nucleotides vmaxkm is and and vmax is and respectively of the value for the reference nucleotide this trend was also illustrated with the other nucleotides in the time course experiments these results indicate that the penicillinsensitive enzymes presumably the transpeptidase has a higher degree of specificity in the donor phase for dalanine in residue than for dalanine in residue in the crosslinking stage of peptidoglycan synthesis
25,by quantitative stimulation of the vagus SN of isolated rabbit atria frequencyresponse relations were obtained for both the electrotropic effect reduction of the area of the monophasic action potential and the inotropic response an addition of hexamethonium in a final concentration of gml resulted in a diminution of vagal effectivity in the range of lower and medium frequencies of stimulation and was connected with a shift of the frequencyresponse characteristic to the right at higher frequencies vagal effectivity was increased in contrast to the inhibitory effect of hexamethonium the facilitating action is irreversible by raising the concentration up to gml the vagal effects were reduced to a C1 extent and the frequency dependence of the response was abolished at medium frequencies in the range of sec to sec this dependence was reestablished and may be considered as a part of a normal frequencyresponse relation extremely shifted to the RA the time courses of both types of effect are characterized by a steep rise and a decay of the response during the stimulation period a mathematical handling of the frequencyresponse characteristics provides quantitative evidence for the extent of the hexamethonium blockade of vagal ganglion cells in the atria furthermore it leads to the conception of these cells to act as a distributing system for a homogeneous innervation by a widespread divergency of postganglionic fibres
26,reported here are studies on the copperacetylgylcylglycine system as a function of ph and the molar ratio between the ligand and the paramagnetic ion applying potentiometric titration magnetic resonances esr and nmr and spectrophotometric techniques the results indicate that depending on the ph of the solutions there are three distinct regions characterized by their different species and behavior in region i ph less than the copper is bound to the carboxylate group of the ligand molecule the blue complex precipitation of copper occurs in region ii ph in region iii ph greater than in the presence of excess of ligand the copper redissolves forming complexes in which the central copper ion binds to the peptide molecule through the nitrogens of the deprotonated peptide groups and to hydroxyl ions the mutual replacement of the peptide CG of chelated acglygly by oh and the changes in the structures of the complexes are discussed
27,lipid peroxide formation was initiated by the addition of either adpcomplexed fe or cumene hydroperoxide to a suspension of isolated hepatocytes the reaction was monitored by malonaldehyde measurements upon the addition of iron malonaldehyde production in the cells started immediately but ceased within min and the response was doserelated with iron concentrations ranging from to mum malonaldehyde formation was associated with increased oxygen uptake and conjugated diene production the addition in vitro of nnnntetramethylpphenylenediamine menadione or pbenzoquinone inhibited the ironinduced malonaldehyde production it was also possible to demonstrate an apparent disappearance of malonaldehyde from fresh cells by addition of adequate amounts of nnnntetramethylpphenylenediamine mum the attenuation of the ironinduced malonaldehyde production was found to be correlated with an increased binding of iron to an intracellular ferritin fraction further malonaldehyde formation was also associated with a conversion of reduced glutathione to the Ox form which in turn revealed a faster permeation out of the cells into the surrounding medium of the oxidized than of the reduced thiol so concomitant with the redox alterations there was also an overall loss of glutathione from the cells cumene hydroperoxideinduced malonaldehyde production could be initiated by the addition of this peroxide in concentrations ranging from mum to the liver cell incubate with concentrations below mum a lag phase was present which seemed to be glutathionedependent it is concluded that iron enters the cell then is probably reduced inside the cell by nadph via the nadphcytochrome p reductase and in the reduced state initiates lipid peroxidation the reaction is inhibited by intracellular mechanisms the glutathione redox system being of principal importance and possibly terminated by the ironapoferritin complex formation
28,the differences between the results of controlled clinical research and the experiences of the practitioners can be attributed to a certain extent to the artificiality of the setting in which controlled studies are performed the system developed in the wards of the department of psychopharmacology of the institute of psychiatry in prague is an attempt to overcome some of these difficulties certain similarities exist between this system called continuous controlled trial and silent trial proposed by ross et al the main characteristics of the system are all patients admitted to the ward are assigned to the trial without exception the trial goes on continuously without interruption for more than years except that the patients do not know the quality of drugs administered they do not realize any difference between this research setting and the usual routine treatment the advantages of this system are reduction of artificiality the possibility to perform early PCTs in controlled conditions and to shorten the usual threephase testing of a new drug the possibility to perform longterm longitudinal studies with individual patients admitted several times in doubleblind conditions
29,the hr ld of colchicine in newborn rats is mgkg which is about that observed in the AD the hr ld of colchicine was relatively constant in rats over days of age in an attempt to determine the mechanism of the increased sensitivity of the newborn rat to the toxic action of colchicine the distribution of h after the administration of hcolchicine mgkg was measured in and dayold rats the concentration of h was higher in all tissues of the newborn than the AD after ip administration suggesting an immaturity in the pathway for colchicine beta after iv administration radioactivity disappeared much more slowly from the plasma of the newborn rat than from the adult this was due to a lower capacity of the CL of the newborn to concentrate colchicine and to excrete it into the bile development of the hepatic excretory mechanism responsible for excretion of colchicine occurred at the same age as did the increase in ld these results suggest that colchicine is more toxic in the P0 because the drug remains in the body for a longer time due to immaturity of the liver excretory process
30,thirteen alpha omegaalkanedicarboxylic acids cc c and c and their dimethyl esters were tested against aspergillus niger trichoderma viride and myrothecium verrucaria in sabourauc dextrose agar at ph and toxicity to canadida albicans trichophyton mentagrophytes and mucor mucedo was determined in the same medium at ph and in the absence and presence of beef SS the dicarboxylic acids possessed very poor to no antifungal activity against all six fungi the fungitoxicity of the dimethyl esters to a niger t viride and m verrucaria was c c greater than c greater than c c greater than c greater than c greater than c and to c albicans t mentagrophytes and m mucedo c greater than c greater than c greater than c c greater than c greater than c greater than c greater than c greater than c the fungitoxicity of the esters of fatty acids and alphaomegaalkanedicarboxylic acids was influenced by chain length and not by the ph of the medium or the absence or presence of beef serum
31,a simple MM is developed to explain the activation of rat liver plasma membrane adenylate cyclase atp pyrophosphatelyase cyclizing ec by guanosine nucleotides and glucagon and the dependence of the catalytic rate on mg h and ATP concentrations the basic model proposes that the adenylate cyclase system can exist in two states a and b that activating ligands bind preferentially to the b state and that only the b state is active kinetic data are quantitatively fit to this model and the binding constants for the interaction of the a and b states with glucagon gtp and guanylylimidodiphosphate are obtinaed the substrates atp and adenylylimidodiphosphate appear to show little preference between the a and b states and simple michaelismenten kinetics are sufficient to describe the dependence of the catalytic rate on substrate concentration under optimal conditions the dependence of the rate on ph can be explained by postulating that one ionizable group in its acid form and one ionizable group in its basic form must be present at the AS site in order for catalysis to occur the activation and inhibition of the activity by mg can be explained by a similar mechanism with mg binding to activating and inhibiting CS glucagon and guanosine nucleotides appear to influence the dependence of the rate on mg and glucagon the mg also may display some preference for the b state a comparison of this model with others that have been proposed is given the proposed model appears to provide a simple conceptual framework that is applicable to many adenylate cyclase systems
