,Topic0,Topic1,Topic2,Topic3,Topic4,Topic5,Topic6,Topic7,Topic8,Topic9,Topic10,Topic11,Topic12,Topic13,Topic14,Topic15,Topic16
15,0.011:tuberculosis,0.009:forms,0.009:rights,0.011:benefits,0.011:nationally,0.010:period,0.009:global,0.010:extinction,0.007:climate,0.009:wasting,0.011:skills,0.011:policies,0.010:services,0.009:economic,0.012:adults,0.010:fuels,0.009:sector
16,0.010:care,0.008:information,0.009:men,0.010:reduction,0.010:paris,0.010:development,0.008:footprint,0.010:management,0.007:lives,0.008:nearly,0.010:teachers,0.010:developed,0.010:employment,0.009:free,0.012:developed,0.010:cooking,0.009:hygiene
17,0.010:globally,0.008:women,0.009:aged,0.010:persons,0.010:nations,0.010:estimated,0.008:fishing,0.009:mountain,0.007:cost,0.008:breeds,0.010:basic,0.010:support,0.010:sectors,0.008:duty,0.011:child,0.009:slums,0.008:lack
18,0.009:malaria,0.008:proportion,0.009:mutilation,0.010:world,0.010:contributions,0.009:highest,0.008:impacts,0.008:desertification,0.007:target,0.007:overweight,0.010:mathematics,0.010:technology,0.010:research,0.008:access,0.011:working,0.008:living,0.008:scarcity
19,0.009:estimated,0.008:homicide,0.008:genital,0.009:workers,0.010:action,0.008:developed,0.008:acidification,0.008:sharing,0.007:help,0.007:years,0.010:development,0.010:substantially,0.008:mobile,0.008:treatment,0.010:trade,0.008:technologies,0.008:wastewater
20,0.009:cases,0.007:laws,0.008:laws,0.009:basic,0.009:risk,0.008:declined,0.008:levels,0.008:covered,0.006:targets,0.007:fell,0.008:levels,0.010:end,0.008:carbon,0.008:flows,0.010:work,0.008:increase,0.008:integrated
21,0.009:reproductive,0.007:detected,0.008:practice,0.008:women,0.009:states,0.008:low,0.007:fish,0.007:increase,0.006:current,0.007:government,0.008:girls,0.009:accordance,0.008:industrial,0.008:reduce,0.010:men,0.008:efficiency,0.008:global
22,0.008:new,0.007:law,0.008:domestic,0.008:services,0.008:mitigation,0.008:southern,0.007:life,0.007:freshwater,0.006:communities,0.007:undernourished,0.008:young,0.009:strengthen,0.008:emissions,0.007:target,0.009:decent,0.008:pollution,0.007:open
23,0.008:services,0.006:registration,0.008:partner,0.008:reduce,0.008:reduction,0.008:decline,0.007:tons,0.007:trafficking,0.006:life,0.007:producers,0.007:facilities,0.009:resources,0.007:transport,0.007:money,0.009:capita,0.007:solid,0.007:defecation
24,0.008:risk,0.006:inclusive,0.008:unpaid,0.008:systems,0.008:disaster,0.008:developing,0.007:subsidies,0.007:genetic,0.006:essential,0.006:stunting,0.007:women,0.009:financial,0.007:production,0.006:exports,0.009:services,0.007:rate,0.007:implementation
25,0.008:treatment,0.006:crime,0.008:globally,0.008:affected,0.008:greenhouse,0.008:percentage,0.006:stocks,0.007:benefits,0.006:systems,0.006:sector,0.007:rates,0.009:achieve,0.007:energy,0.006:higher,0.009:crisis,0.007:modern,0.006:basins
26,0.008:coverage,0.006:bribery,0.007:social,0.007:families,0.007:support,0.008:compared,0.006:overfishing,0.007:efforts,0.006:sdg,0.006:systems,0.007:early,0.009:levels,0.007:air,0.006:poorest,0.009:aid,0.007:spaces,0.006:lacked
27,0.008:worldwide,0.006:regions,0.007:equal,0.007:losses,0.007:disasters,0.007:world,0.006:biodiversity,0.006:value,0.005:healthy,0.006:prices,0.007:achieving,0.009:global,0.006:dioxide,0.006:markets,0.008:globally,0.007:world,0.006:fresh
28,0.008:incidence,0.006:punishment,0.007:political,0.007:reported,0.007:related,0.007:respectively,0.006:waste,0.006:poaching,0.005:better,0.006:end,0.006:trained,0.009:capacity,0.006:states,0.006:migration,0.008:informal,0.006:safe,0.006:participation
29,0.007:sub,0.006:psychological,0.007:discrimination,0.007:related,0.006:gas,0.007:despite,0.006:food,0.006:degraded,0.005:worlds,0.006:capacity,0.006:developing,0.008:effective,0.006:network,0.006:institutions,0.008:rates,0.006:land,0.005:safe
