,Topic0,Topic1,Topic2,Topic3,Topic4,Topic5,Topic6,Topic7,Topic8,Topic9,Topic10,Topic11,Topic12,Topic13,Topic14,Topic15,Topic16,Topic17,Topic18
10,0.015:particular,0.012:resources,0.010:biodiversity,0.014:women,0.013:women,0.010:aid,0.014:global,0.010:human,0.012:modern,0.009:access,0.018:economic,0.013:access,0.012:developing,0.015:globally,0.009:levels,0.012:legal,0.011:domestic,0.011:products,0.012:living
11,0.013:number,0.012:degradation,0.010:acidification,0.013:coverage,0.013:economic,0.009:genetic,0.013:proportion,0.010:victims,0.012:progress,0.009:world,0.012:research,0.011:population,0.012:developed,0.014:death,0.009:sustainable,0.012:years,0.011:waste,0.010:inequality,0.011:pollution
12,0.013:national,0.012:protected,0.010:fishing,0.011:number,0.013:adults,0.009:years,0.013:southern,0.010:development,0.012:efficiency,0.009:percent,0.012:innovation,0.011:transboundary,0.011:united,0.013:communicable,0.009:level,0.011:female,0.010:impacts,0.010:free,0.011:populations
13,0.011:developed,0.012:conservation,0.010:global,0.011:care,0.012:countries,0.009:markets,0.012:developing,0.010:secondary,0.012:increase,0.008:benefits,0.012:industries,0.010:hygiene,0.010:action,0.012:worldwide,0.009:years,0.010:care,0.010:resource,0.009:island,0.010:areas
14,0.011:policies,0.011:terrestrial,0.010:fish,0.011:global,0.012:men,0.009:wasting,0.010:eastern,0.009:learning,0.011:sustainable,0.008:live,0.011:employment,0.010:integrated,0.010:nationally,0.012:infections,0.009:number,0.010:child,0.009:countries,0.009:inequalities,0.010:spaces
15,0.011:substantially,0.010:extinction,0.009:levels,0.011:essential,0.012:young,0.009:subsidies,0.010:estimated,0.008:sub,0.010:population,0.008:human,0.010:sectors,0.010:sector,0.010:paris,0.012:years,0.008:declined,0.010:married,0.009:practices,0.009:population,0.010:sustainable
16,0.011:support,0.009:mountain,0.009:stocks,0.009:traffic,0.011:child,0.008:globally,0.010:america,0.008:women,0.009:improvement,0.008:disasters,0.009:mobile,0.009:freshwater,0.010:contributions,0.011:rate,0.008:according,0.009:aged,0.009:environment,0.009:duty,0.009:urbanization
17,0.010:achieve,0.008:management,0.009:protected,0.009:child,0.011:workers,0.008:breeds,0.010:northern,0.008:justice,0.008:rate,0.008:vulnerable,0.009:emissions,0.009:scarcity,0.010:nations,0.011:africa,0.008:current,0.009:mutilation,0.009:environmental,0.008:treatment,0.009:housing
18,0.010:reduce,0.008:desertification,0.008:overfishing,0.009:years,0.011:trade,0.007:productivity,0.009:highest,0.007:available,0.008:technology,0.008:worlds,0.008:services,0.009:implementation,0.009:emissions,0.011:mortality,0.008:efforts,0.008:practice,0.009:companies,0.008:reduce,0.009:growth
19,0.010:accordance,0.007:freshwater,0.008:management,0.009:pollution,0.010:globally,0.007:overweight,0.009:population,0.007:proficiency,0.007:countries,0.008:need,0.008:growth,0.009:improved,0.009:plans,0.011:burden,0.007:result,0.008:laws,0.009:taking,0.007:flows,0.008:management
20,0.010:strengthen,0.007:increase,0.008:world,0.009:neonatal,0.009:work,0.007:nearly,0.009:central,0.007:reading,0.007:reach,0.007:income,0.008:carbon,0.009:wastewater,0.009:disaster,0.011:risk,0.007:growing,0.008:genital,0.008:metric,0.007:access,0.008:solid
21,0.010:provide,0.007:sharing,0.008:national,0.008:life,0.009:working,0.007:fell,0.009:period,0.007:quality,0.006:needed,0.007:women,0.008:industrial,0.007:defecation,0.009:reduction,0.011:hepatitis,0.007:significant,0.008:partner,0.008:policies,0.007:money,0.008:safe
22,0.010:implement,0.007:efforts,0.008:eutrophication,0.008:died,0.009:jobs,0.007:undernourished,0.008:south,0.007:trafficking,0.006:affordable,0.007:help,0.007:transport,0.007:open,0.008:greenhouse,0.010:estimated,0.007:goal,0.008:men,0.008:convention,0.007:higher,0.007:open
23,0.009:capacity,0.007:benefits,0.007:scale,0.008:communicable,0.009:capita,0.007:government,0.008:percentage,0.007:national,0.006:goals,0.007:education,0.007:regions,0.007:lack,0.008:mitigation,0.010:population,0.007:recent,0.008:unpaid,0.007:patterns,0.007:bank,0.007:land
24,0.009:services,0.007:trafficking,0.007:life,0.008:road,0.009:services,0.007:producers,0.008:progress,0.006:schools,0.006:largest,0.007:services,0.006:america,0.007:participation,0.008:risk,0.010:declined,0.007:low,0.007:discrimination,0.007:sustainability,0.007:exports,0.007:quality
25,0.009:financial,0.007:sustainable,0.006:sea,0.008:universal,0.008:developed,0.006:stunting,0.008:access,0.006:girls,0.006:infrastructure,0.006:disaster,0.006:increase,0.006:fresh,0.007:levels,0.009:cause,0.007:times,0.007:equal,0.007:developing,0.006:target,0.007:dwellers
26,0.009:persons,0.006:covered,0.006:waters,0.008:aids,0.008:access,0.006:prices,0.008:received,0.006:saharan,0.006:polluting,0.006:sustainable,0.006:air,0.006:lacked,0.007:related,0.009:leading,0.007:despite,0.007:globally,0.007:development,0.006:committee,0.007:environmental
27,0.009:forms,0.006:genetic,0.006:increase,0.007:vaccines,0.008:sector,0.006:local,0.007:reaching,0.006:public,0.006:gdp,0.006:systems,0.006:dioxide,0.006:basins,0.007:strategies,0.009:suicide,0.007:target,0.007:based,0.007:hazardous,0.006:cost,0.007:health
28,0.008:end,0.006:poaching,0.006:development,0.007:fewer,0.008:informal,0.006:sector,0.007:low,0.006:levels,0.006:reliable,0.006:target,0.006:network,0.006:sources,0.007:disasters,0.008:neglected,0.007:rise,0.007:political,0.007:lead,0.006:migration,0.007:challenges
29,0.008:local,0.006:hectares,0.006:biologically,0.007:services,0.008:aid,0.006:investment,0.007:compared,0.006:africa,0.006:growth,0.006:increasing,0.006:energy,0.006:safe,0.007:local,0.008:mental,0.006:affected,0.007:empowerment,0.007:growth,0.006:markets,0.006:settlements
