,Topic0,Topic1,Topic2,Topic3,Topic4,Topic5,Topic6,Topic7,Topic8,Topic9,Topic10,Topic11,Topic12,Topic13,Topic14,Topic15,Topic16,Topic17,Topic18,Topic19,Topic20
10,0.013:legal,0.012:developed,0.010:period,0.009:aid,0.013:youth,0.007:ensure,0.015:population,0.013:protected,0.013:development,0.012:national,0.012:women,0.015:international,0.013:quality,0.011:biodiversity,0.012:trafficking,0.014:population,0.014:modern,0.015:globally,0.011:global,0.014:access,0.013:areas
11,0.012:female,0.012:developing,0.010:years,0.009:subsidies,0.012:women,0.007:worlds,0.012:facilities,0.012:terrestrial,0.013:industries,0.011:states,0.012:years,0.015:population,0.012:schools,0.011:fishing,0.012:national,0.014:persons,0.013:population,0.012:development,0.011:resource,0.013:developed,0.012:pollution
12,0.012:child,0.012:united,0.009:recent,0.009:wasting,0.012:adults,0.007:needs,0.011:transboundary,0.012:degradation,0.013:innovation,0.011:access,0.011:communicable,0.015:access,0.012:sub,0.011:acidification,0.011:sexual,0.012:children,0.013:efficiency,0.012:estimated,0.011:environmental,0.013:local,0.012:spaces
13,0.011:married,0.012:nationally,0.009:according,0.009:globally,0.012:young,0.007:economic,0.011:asia,0.011:conservation,0.013:sectors,0.010:duty,0.011:disease,0.015:persons,0.011:skills,0.010:fish,0.009:public,0.012:benefits,0.013:increase,0.012:developing,0.011:countries,0.013:provide,0.011:safe
14,0.011:rights,0.011:paris,0.008:declined,0.008:markets,0.012:men,0.007:lives,0.010:integrated,0.010:extinction,0.013:employment,0.010:population,0.010:tuberculosis,0.014:protection,0.010:mathematics,0.009:global,0.008:homicide,0.011:income,0.011:improvement,0.012:southern,0.010:developing,0.013:national,0.011:world
15,0.010:aged,0.011:contributions,0.008:crisis,0.008:genetic,0.011:developed,0.007:help,0.009:freshwater,0.010:resources,0.011:research,0.009:island,0.009:malaria,0.013:men,0.010:basic,0.009:protected,0.008:available,0.011:risk,0.010:rate,0.011:highest,0.010:natural,0.011:substantially,0.010:urbanization
16,0.010:mutilation,0.011:emissions,0.008:significant,0.008:nearly,0.011:capita,0.007:access,0.009:wastewater,0.009:mountain,0.011:growth,0.009:reduce,0.009:globally,0.012:achieve,0.010:teachers,0.009:stocks,0.008:detected,0.011:vulnerable,0.009:progress,0.010:progress,0.010:companies,0.010:proportion,0.010:populations
17,0.010:practice,0.010:nations,0.008:overall,0.008:years,0.011:trade,0.007:cost,0.008:hygiene,0.008:desertification,0.010:mobile,0.009:inequalities,0.009:care,0.012:rights,0.010:development,0.009:levels,0.008:information,0.010:systems,0.008:affordable,0.010:global,0.010:policies,0.010:reduce,0.010:housing
18,0.010:genital,0.009:action,0.008:level,0.008:breeds,0.011:workers,0.007:sdg,0.008:sector,0.008:sharing,0.009:emissions,0.008:target,0.009:estimated,0.011:promote,0.010:saharan,0.009:overfishing,0.007:proportion,0.009:losses,0.008:reliable,0.010:remains,0.009:practices,0.009:implement,0.010:solid
19,0.009:partner,0.009:greenhouse,0.008:efforts,0.008:overweight,0.011:child,0.007:current,0.008:scarcity,0.008:freshwater,0.009:industrial,0.008:money,0.008:global,0.011:end,0.010:girls,0.008:eutrophication,0.007:inclusive,0.009:worlds,0.007:wind,0.010:compared,0.009:impacts,0.009:ensure,0.008:land
20,0.009:unpaid,0.009:mitigation,0.008:times,0.007:producers,0.010:working,0.006:life,0.008:open,0.008:management,0.009:transport,0.008:world,0.008:reproductive,0.011:financial,0.009:africa,0.008:world,0.007:laws,0.009:reported,0.007:growth,0.009:northern,0.009:national,0.009:increase,0.008:growth
21,0.009:globally,0.008:plans,0.008:rise,0.007:undernourished,0.010:globally,0.006:target,0.007:implementation,0.007:genetic,0.009:services,0.008:exports,0.008:treatment,0.010:public,0.009:levels,0.008:national,0.007:regions,0.008:services,0.007:polluting,0.009:eastern,0.009:metric,0.009:states,0.008:proportion
22,0.008:domestic,0.007:states,0.008:respectively,0.007:fell,0.010:access,0.006:planet,0.007:safe,0.007:benefits,0.009:carbon,0.007:treatment,0.008:cases,0.010:land,0.008:youth,0.007:scale,0.007:registration,0.008:world,0.006:gdp,0.009:new,0.009:patterns,0.009:promote,0.008:open
23,0.007:progress,0.007:risk,0.008:experienced,0.007:sector,0.009:work,0.006:poor,0.007:defecation,0.007:covered,0.008:population,0.007:migration,0.008:services,0.010:strengthen,0.007:rates,0.007:management,0.006:physical,0.007:workers,0.006:short,0.009:america,0.009:convention,0.008:affordable,0.007:challenges
24,0.007:care,0.007:related,0.007:despite,0.007:government,0.009:income,0.006:better,0.007:improved,0.007:trafficking,0.008:regions,0.007:flows,0.008:coverage,0.010:economic,0.007:end,0.007:waters,0.006:punishment,0.007:women,0.006:infrastructure,0.009:decline,0.009:sustainability,0.008:related,0.007:dwellers
25,0.007:empowerment,0.007:gas,0.007:rate,0.007:stunting,0.009:countries,0.006:goals,0.006:global,0.007:increase,0.007:dioxide,0.007:increase,0.008:risk,0.009:reduce,0.007:trained,0.006:biologically,0.006:bribery,0.006:low,0.006:meet,0.008:declined,0.008:food,0.008:global,0.007:policies
26,0.007:positions,0.006:carbon,0.007:affected,0.006:productivity,0.008:aid,0.006:targets,0.006:basins,0.007:efforts,0.007:air,0.007:bank,0.008:incidence,0.009:institutions,0.006:training,0.006:life,0.006:principles,0.006:live,0.006:largest,0.008:period,0.008:hazardous,0.008:programmes,0.007:settlements
27,0.007:men,0.006:fund,0.007:risk,0.006:prices,0.008:informal,0.006:social,0.006:lack,0.006:poaching,0.007:technology,0.007:cost,0.007:death,0.009:status,0.006:literacy,0.006:sea,0.006:registered,0.006:families,0.006:power,0.008:number,0.007:growth,0.008:accordance,0.007:management
28,0.007:laws,0.006:green,0.007:quarter,0.006:end,0.008:gender,0.006:lack,0.006:lacked,0.006:global,0.007:globally,0.007:country,0.007:population,0.009:disabilities,0.006:nearly,0.006:sustainably,0.006:income,0.006:reduce,0.006:worlds,0.007:sustainable,0.007:taking,0.007:strategies,0.006:live
29,0.007:intimate,0.006:levels,0.007:areas,0.005:investment,0.008:jobs,0.006:opportunities,0.006:ecosystems,0.006:hectares,0.007:energy,0.007:committee,0.007:worldwide,0.008:vulnerable,0.006:facilities,0.006:contribute,0.006:killed,0.006:basic,0.006:flows,0.007:past,0.006:subsidies,0.007:protect,0.006:sustainable
