,Topic0,Topic1,Topic2,Topic3,Topic4,Topic5,Topic6,Topic7,Topic8,Topic9,Topic10,Topic11,Topic12,Topic13,Topic14,Topic15
16,0.010:stock,0.009:achieve,0.010:wasting,0.009:girl,0.010:safely,0.010:coverage,0.011:assistance,0.010:innovation,0.008:available,0.009:desertification,0.009:disruption,0.010:live,0.010:low,0.010:emission,0.013:trade,0.012:pollution
17,0.010:world,0.008:community,0.009:insecurity,0.008:rate,0.010:consumption,0.010:adolescent,0.010:product,0.010:emission,0.008:trafficking,0.009:benefit,0.009:number,0.009:loss,0.009:highest,0.010:waste,0.012:men,0.011:housing
18,0.010:protected,0.008:social,0.009:productivity,0.008:saharan,0.010:facility,0.010:new,0.010:accordance,0.009:transport,0.008:justice,0.009:freshwater,0.007:young,0.009:reduce,0.009:income,0.010:reduction,0.011:working,0.011:urbanization
19,0.009:overfishing,0.007:essential,0.009:genetic,0.008:africa,0.009:basic,0.009:number,0.009:island,0.009:mobile,0.007:practice,0.008:genetic,0.007:reached,0.008:disability,0.009:southern,0.009:plan,0.011:globally,0.011:proportion
20,0.009:management,0.007:health,0.009:producer,0.008:end,0.009:cooking,0.009:treatment,0.009:strengthen,0.009:production,0.007:work,0.008:sharing,0.007:progress,0.008:family,0.009:higher,0.009:developing,0.011:work,0.010:management
21,0.008:eutrophication,0.007:lack,0.008:overweight,0.008:facility,0.009:level,0.009:incidence,0.009:number,0.008:industrial,0.007:aged,0.008:sustainable,0.007:compared,0.008:worker,0.008:effort,0.009:impact,0.010:annual,0.010:policy
22,0.008:national,0.007:important,0.008:nearly,0.007:worldwide,0.009:supply,0.009:estimated,0.009:effective,0.008:technology,0.007:men,0.007:covered,0.007:measure,0.008:service,0.008:compared,0.009:support,0.010:informal,0.009:settlement
23,0.008:scale,0.007:affect,0.008:globally,0.007:trained,0.008:source,0.008:worldwide,0.009:increase,0.008:sustainable,0.007:female,0.007:trafficking,0.007:economy,0.008:basic,0.008:percentage,0.008:natural,0.010:aid,0.008:dweller
24,0.007:sustainably,0.007:security,0.008:undernourished,0.007:achieving,0.007:world,0.008:globally,0.009:economic,0.008:region,0.007:physical,0.007:increase,0.007:current,0.008:related,0.008:proportion,0.008:nationally,0.010:decent,0.008:open
25,0.007:impact,0.006:environment,0.007:stunting,0.007:youth,0.007:modern,0.008:infection,0.008:population,0.008:carbon,0.006:area,0.007:value,0.007:resulting,0.008:need,0.008:america,0.008:united,0.009:pay,0.008:growth
26,0.006:change,0.006:poor,0.007:increase,0.007:vulnerable,0.007:integrated,0.008:cause,0.008:right,0.007:increase,0.006:experienced,0.007:risk,0.007:quarter,0.007:government,0.007:despite,0.008:footprint,0.009:gender,0.008:level
27,0.006:biologically,0.006:poverty,0.007:plant,0.007:literacy,0.006:transboundary,0.007:population,0.008:end,0.007:network,0.006:service,0.007:equitable,0.007:second,0.007:strategy,0.007:declined,0.008:paris,0.009:sector,0.008:live
28,0.006:livelihood,0.006:economy,0.007:fell,0.007:including,0.006:improvement,0.007:infectious,0.008:capacity,0.007:air,0.006:discrimination,0.007:degraded,0.007:estimated,0.007:pension,0.007:term,0.007:development,0.009:account,0.008:land
29,0.006:adverse,0.006:education,0.006:animal,0.007:adolescent,0.006:affordable,0.007:aged,0.007:substantially,0.007:energy,0.006:globally,0.007:poaching,0.007:worker,0.006:lived,0.007:remained,0.007:local,0.008:gap,0.006:convenient
