,Topic0,Topic1,Topic2,Topic3,Topic4,Topic5,Topic6,Topic7,Topic8,Topic9,Topic10,Topic11,Topic12,Topic13,Topic14,Topic15,Topic16,Topic17
13,0.011:policies,0.013:adults,0.008:legal,0.012:developed,0.010:acidification,0.010:environmental,0.009:quality,0.011:united,0.009:affected,0.009:children,0.009:productivity,0.011:disease,0.010:sector,0.012:terrestrial,0.010:spaces,0.010:sector,0.011:sectors,0.009:duty
14,0.010:capacity,0.012:countries,0.008:public,0.011:low,0.010:world,0.009:environment,0.009:fuels,0.011:risk,0.009:workers,0.009:systems,0.009:overweight,0.011:tuberculosis,0.010:markets,0.011:resources,0.010:solid,0.010:transboundary,0.011:services,0.009:national
15,0.010:reduce,0.012:child,0.008:equality,0.010:period,0.010:fish,0.009:companies,0.009:reading,0.010:nations,0.009:young,0.008:benefits,0.009:cost,0.010:years,0.009:livestock,0.010:extinction,0.010:populations,0.009:integrated,0.011:industries,0.009:products
16,0.010:support,0.010:work,0.008:marriage,0.009:development,0.010:global,0.008:metric,0.009:saharan,0.010:paris,0.008:past,0.008:worlds,0.009:undernourished,0.010:care,0.009:banks,0.009:mountain,0.010:housing,0.009:lack,0.010:innovation,0.009:inequalities
17,0.010:implement,0.010:working,0.008:laws,0.009:southern,0.009:stocks,0.008:domestic,0.009:sub,0.010:emissions,0.008:period,0.008:income,0.009:access,0.010:malaria,0.009:plant,0.008:desertification,0.010:growth,0.008:global,0.010:regions,0.009:flows
18,0.010:achieve,0.010:developed,0.008:access,0.009:highest,0.008:protected,0.008:convention,0.008:cooking,0.010:contributions,0.008:crisis,0.008:live,0.009:poor,0.009:reproductive,0.009:measures,0.008:increase,0.009:urbanization,0.008:wastewater,0.010:technology,0.009:island
19,0.009:accordance,0.010:young,0.007:trafficking,0.009:percentage,0.008:overfishing,0.008:patterns,0.008:global,0.010:disaster,0.008:level,0.008:vulnerable,0.009:producers,0.009:cases,0.009:domestic,0.008:freshwater,0.009:land,0.008:freshwater,0.010:emissions,0.008:financial
20,0.009:provide,0.009:jobs,0.007:progress,0.008:northern,0.008:increase,0.007:national,0.008:schools,0.010:reduction,0.008:america,0.008:percent,0.008:women,0.008:coverage,0.008:development,0.008:efforts,0.009:number,0.008:asia,0.009:employment,0.008:cost
21,0.009:developed,0.009:trade,0.007:justice,0.008:despite,0.008:eutrophication,0.007:hazardous,0.008:skills,0.010:action,0.007:years,0.008:target,0.008:stunting,0.008:new,0.008:mid,0.008:management,0.008:safe,0.007:open,0.009:increase,0.007:higher
22,0.009:strengthen,0.009:decent,0.007:work,0.008:sustainable,0.007:scale,0.007:sustainability,0.008:development,0.009:plans,0.007:continued,0.008:disasters,0.008:years,0.008:treatment,0.008:trade,0.007:sharing,0.008:sustainable,0.007:unsafe,0.009:research,0.007:money
23,0.009:end,0.009:globally,0.006:men,0.008:compared,0.007:national,0.007:policies,0.007:levels,0.008:mitigation,0.007:result,0.008:basic,0.007:rise,0.008:incidence,0.008:distortions,0.007:covered,0.008:dwellers,0.007:participation,0.008:carbon,0.007:treatment
24,0.009:resources,0.009:workers,0.006:child,0.008:increase,0.006:environment,0.007:global,0.007:consumption,0.008:greenhouse,0.006:policy,0.007:education,0.007:markets,0.007:services,0.008:organization,0.007:global,0.008:disasters,0.007:safe,0.008:transport,0.007:economic
25,0.009:substantially,0.009:capita,0.006:female,0.008:decline,0.006:waters,0.006:developing,0.007:mathematics,0.007:strategies,0.006:implementation,0.007:achieve,0.007:lost,0.007:estimated,0.007:allocable,0.007:genetic,0.007:open,0.007:health,0.008:reached,0.007:reduce
26,0.008:management,0.009:annual,0.006:available,0.008:years,0.006:sustainably,0.006:fuel,0.007:teachers,0.007:disasters,0.006:decades,0.007:reduce,0.007:globally,0.007:globally,0.007:risk,0.007:trafficking,0.007:environmental,0.007:scarcity,0.007:mobile,0.007:bank
27,0.008:related,0.009:aid,0.006:physical,0.007:declined,0.006:life,0.006:taking,0.007:end,0.007:local,0.006:example,0.006:increasing,0.007:investment,0.007:death,0.007:spending,0.006:sustainable,0.007:challenges,0.007:defecation,0.007:industrial,0.007:migration
28,0.008:financial,0.009:gender,0.006:aged,0.007:eastern,0.006:biologically,0.006:public,0.006:modern,0.007:states,0.006:millions,0.006:services,0.007:worldwide,0.007:declined,0.007:forms,0.006:poaching,0.006:policies,0.006:lacked,0.007:sustainable,0.007:exports
29,0.008:action,0.009:informal,0.006:forms,0.007:remained,0.006:sea,0.006:subsidies,0.006:technologies,0.007:levels,0.006:worlda,0.006:lives,0.006:nutritious,0.007:progress,0.007:global,0.006:hectares,0.006:live,0.006:supply,0.007:population,0.006:remittances
