,Topic0,Topic1,Topic2,Topic3,Topic4,Topic5,Topic6,Topic7,Topic8,Topic9,Topic10,Topic11,Topic12,Topic13,Topic14,Topic15
11,0.011:risk,0.010:acidification,0.009:worldwide,0.013:degradation,0.008:violence,0.010:value,0.011:footprint,0.011:sexual,0.010:hiv,0.013:workers,0.009:needs,0.011:developing,0.011:capacity,0.012:proficiency,0.011:rate,0.012:access
12,0.011:reduction,0.010:fishing,0.009:production,0.012:conservation,0.008:basic,0.010:sub,0.010:tons,0.011:trafficking,0.010:globally,0.013:young,0.008:climate,0.011:economic,0.011:national,0.012:basic,0.011:technologies,0.012:pollution
13,0.011:nationally,0.010:global,0.009:nearly,0.012:terrestrial,0.008:safely,0.010:proportion,0.010:reduce,0.010:national,0.010:global,0.012:youth,0.008:communities,0.011:reduce,0.011:number,0.012:schools,0.011:cooking,0.010:safe
14,0.010:united,0.010:fish,0.009:africa,0.012:resources,0.008:care,0.009:northern,0.009:economic,0.010:proportion,0.010:estimated,0.012:adults,0.008:goals,0.011:including,0.010:substantially,0.012:reading,0.010:consumption,0.009:populations
15,0.010:disaster,0.010:biodiversity,0.008:insecurity,0.010:extinction,0.008:female,0.009:saharan,0.009:rate,0.009:forms,0.010:care,0.011:economic,0.008:targets,0.010:protection,0.009:technology,0.011:skills,0.010:efficiency,0.009:solid
16,0.010:contributions,0.009:stocks,0.008:markets,0.009:mountain,0.008:resources,0.009:america,0.009:waste,0.007:regions,0.010:saharan,0.011:globally,0.008:achieving,0.010:developed,0.009:reduce,0.010:development,0.009:flows,0.009:spaces
17,0.010:emissions,0.009:protected,0.008:wasting,0.008:desertification,0.007:years,0.009:economic,0.008:disasters,0.007:available,0.010:sub,0.011:trade,0.008:achieve,0.009:women,0.009:proportion,0.009:access,0.009:population,0.009:housing
18,0.010:nations,0.009:overfishing,0.007:subsidies,0.008:management,0.007:sexual,0.008:added,0.008:benefits,0.007:inclusive,0.010:communicable,0.010:men,0.008:systems,0.009:ensure,0.009:accordance,0.009:mathematics,0.009:improvement,0.009:live
19,0.010:disasters,0.008:eutrophication,0.007:affected,0.008:freshwater,0.007:services,0.008:globally,0.008:workers,0.007:information,0.009:disease,0.010:crisis,0.007:increase,0.009:international,0.009:end,0.009:teachers,0.009:international,0.009:urbanization
20,0.009:paris,0.007:world,0.007:fell,0.007:sharing,0.007:facilities,0.008:population,0.008:natural,0.007:homicide,0.009:tuberculosis,0.010:work,0.007:lives,0.008:policies,0.008:information,0.008:worldwide,0.008:modern,0.009:rural
21,0.009:developing,0.007:increase,0.007:genetic,0.007:genetic,0.007:legal,0.008:increase,0.008:vulnerable,0.006:laws,0.009:worldwide,0.010:working,0.007:life,0.008:status,0.008:increase,0.007:women,0.008:world,0.008:land
22,0.008:strategies,0.007:national,0.007:productivity,0.007:trafficking,0.007:participation,0.008:progress,0.008:disaster,0.006:detected,0.009:africa,0.010:capita,0.007:help,0.008:financial,0.008:support,0.007:rates,0.008:products,0.008:growth
23,0.008:action,0.006:waters,0.007:breeds,0.007:benefits,0.006:rights,0.008:development,0.007:global,0.006:number,0.008:malaria,0.010:annual,0.007:health,0.008:equal,0.008:policies,0.007:levels,0.008:development,0.008:dwellers
24,0.008:plans,0.006:biologically,0.007:overweight,0.006:efforts,0.006:globally,0.008:respectively,0.007:domestic,0.006:income,0.008:new,0.010:child,0.007:current,0.008:inequalities,0.008:strengthen,0.007:gender,0.008:free,0.007:defined
25,0.008:local,0.006:sustainably,0.006:producers,0.006:support,0.006:men,0.007:eastern,0.007:losses,0.006:africa,0.008:cases,0.009:developed,0.007:lack,0.007:children,0.008:services,0.006:young,0.007:progress,0.007:quality
26,0.008:greenhouse,0.006:management,0.006:prices,0.006:covered,0.006:progress,0.007:covid,0.007:companies,0.006:saharan,0.008:reproductive,0.009:jobs,0.007:poverty,0.007:institutions,0.008:provide,0.006:early,0.007:terms,0.007:disasters
27,0.008:mitigation,0.006:based,0.006:undernourished,0.006:poaching,0.006:child,0.007:sectors,0.007:reduction,0.006:experienced,0.008:countries,0.008:decent,0.007:continues,0.007:reducing,0.008:research,0.006:years,0.007:largest,0.006:management
28,0.008:states,0.006:life,0.006:estimated,0.006:degraded,0.006:access,0.006:estimated,0.007:growth,0.006:worldwide,0.008:services,0.008:times,0.007:worlds,0.007:development,0.008:achieve,0.006:youth,0.007:duty,0.006:proportion
29,0.007:related,0.005:environment,0.006:stunting,0.006:hectares,0.006:married,0.006:central,0.007:resource,0.005:physical,0.007:declined,0.008:informal,0.007:economic,0.007:direct,0.008:related,0.006:vulnerable,0.007:infrastructure,0.006:number
