,Topic0,Topic1,Topic2,Topic3,Topic4,Topic5,Topic6,Topic7,Topic8,Topic9,Topic10,Topic11,Topic12,Topic13,Topic14,Topic15
13,0.012:benefit,0.013:developing,0.012:degradation,0.015:safe,0.012:america,0.011:infrastructure,0.011:number,0.011:new,0.010:achieve,0.014:youth,0.011:increase,0.010:subsidy,0.013:development,0.013:local,0.011:progress,0.011:development
14,0.012:nearly,0.013:affordable,0.012:extinction,0.014:achieve,0.012:proportion,0.011:product,0.010:environmental,0.010:worldwide,0.010:international,0.014:service,0.011:fishing,0.010:price,0.012:population,0.012:support,0.011:available,0.011:learning
15,0.009:need,0.011:including,0.011:sustainable,0.013:sex,0.012:percentage,0.011:research,0.010:management,0.010:vaccine,0.010:convention,0.014:developed,0.011:acidification,0.010:investment,0.012:service,0.012:strategy,0.011:discrimination,0.009:safely
16,0.009:growth,0.011:improvement,0.011:benefit,0.013:opportunity,0.012:eastern,0.010:number,0.009:space,0.010:malaria,0.010:footprint,0.013:young,0.011:fish,0.009:genetic,0.011:effective,0.011:level,0.011:female,0.009:lack
17,0.009:inequality,0.010:progress,0.010:management,0.013:programme,0.011:declined,0.010:international,0.009:solid,0.010:adolescent,0.009:practice,0.012:work,0.010:biodiversity,0.009:wasting,0.010:strengthen,0.010:emission,0.010:men,0.009:teacher
18,0.009:received,0.009:growth,0.010:freshwater,0.013:related,0.010:compared,0.009:flow,0.009:growth,0.010:reproductive,0.009:policy,0.011:trade,0.010:stock,0.009:government,0.010:inclusive,0.010:united,0.010:experienced,0.009:proficiency
19,0.009:worldwide,0.009:rate,0.009:desertification,0.012:vulnerable,0.010:covid,0.009:trade,0.009:quality,0.010:africa,0.009:change,0.011:decent,0.009:protected,0.009:productivity,0.009:budget,0.010:risk,0.010:law,0.008:population
20,0.008:service,0.009:support,0.008:sharing,0.012:rate,0.010:result,0.009:investment,0.008:housing,0.010:progress,0.009:life,0.011:globally,0.009:overfishing,0.008:producer,0.009:number,0.010:convention,0.009:equal,0.008:reading
21,0.008:middle,0.008:modern,0.008:increase,0.012:implement,0.010:central,0.009:term,0.008:health,0.010:coverage,0.009:impact,0.011:sector,0.008:eutrophication,0.008:scale,0.009:control,0.010:impact,0.009:month,0.007:skill
22,0.008:reduction,0.008:efficient,0.008:equitable,0.011:appropriate,0.009:northern,0.009:world,0.008:inadequate,0.010:service,0.008:future,0.010:crisis,0.008:impact,0.008:sector,0.009:provide,0.010:capacity,0.009:married,0.007:saharan
23,0.008:having,0.008:promote,0.007:genetic,0.011:assistance,0.009:low,0.009:mobile,0.008:safe,0.009:treatment,0.008:reduce,0.010:annual,0.007:scale,0.008:overweight,0.009:official,0.009:nationally,0.009:partner,0.006:girl
24,0.008:family,0.008:sector,0.007:trafficking,0.010:social,0.009:respectively,0.009:innovation,0.008:challenge,0.009:sub,0.008:natural,0.009:aid,0.007:management,0.008:increase,0.009:traffic,0.009:resilience,0.009:subjected,0.006:participation
25,0.008:risk,0.007:population,0.007:support,0.010:aged,0.008:effort,0.008:emission,0.008:urbanization,0.009:risk,0.008:planet,0.009:promote,0.007:environment,0.007:affected,0.009:including,0.008:development,0.008:care,0.006:mathematics
26,0.008:past,0.007:needed,0.007:covered,0.009:globally,0.008:according,0.008:assistance,0.008:faster,0.008:number,0.008:sustainability,0.008:working,0.007:national,0.007:undernourished,0.008:ensure,0.008:need,0.008:based,0.006:ensure
27,0.008:recent,0.007:technological,0.007:poaching,0.009:mean,0.008:remained,0.007:duty,0.007:life,0.008:incidence,0.008:require,0.008:informal,0.007:change,0.007:stunting,0.008:implementation,0.008:state,0.008:domestic,0.006:hygiene
28,0.007:continues,0.007:fossil,0.007:hectare,0.009:natural,0.008:worlda,0.007:market,0.007:land,0.008:infection,0.008:taking,0.008:pay,0.006:biologically,0.006:plant,0.008:accordance,0.008:related,0.008:mutilation,0.006:transboundary
29,0.007:poorest,0.007:double,0.007:international,0.009:cost,0.008:decade,0.007:service,0.007:increase,0.008:saharan,0.008:environmental,0.008:inclusive,0.006:life,0.006:estimated,0.008:policy,0.008:implement,0.008:genital,0.006:worldwide
