,files
559,
560,"yet other indicators are less reassuring ã¢â‚¬â€œ survival rates after a diagnosis of cancer, for example, are poor. this chapter reviews the policies and mechanisms in place to measure and improve the quality of health care in the czech republic. accreditation of facilities is well developed and some specific initiatives, such as the national cancer registry, are also advanced.  establishing good physical health and healthy behaviours in childhood and adolescence is essential for well being, education and health outcomes later in life. the last half century has seen a number of improvements in child and adolescent health on average across the oecd, notably the reduction of rates of accidental death and injury and a decline in alcohol consumption, smoking and teenage pregnancy. on the other hand decreasing rates of physical activity and rising levels of obesity continue to be a challenge. education, along with individual, community and society level factors, affects these trends. this chapter explores physical health trends in childhood, their modifiers, and some qualities of effective interventions in education. it covers knowledge gaps and research limitations, and high priority challenges faced by oecd and partner countries. this chapter details the challenges korea faces in road traffic safety. it combines an international comparison of traffic safety trends with a detailed analysis of korean accident data. the analysis on korea uses a novel data set that contains more than 1 800 records of individual road traffic accidents with more than 6 500 affected individuals and data from the detailed analysis of 1 000 accidents around ã¢â‚¬å“accident hotspot. the analysis of accident data is complemented by an in depth assessment of the complex traffic safety governance arrangements in korea and an identification of key areas for further improvement."
561,
562,plasma carcinoembryonic antigen cea and serum enzyme levels of phi phi gammaglutamyl transpeptidase psigtp and lactate dehydrogenase ldh were measured in patients with malignancy levels were higher in patients particularly with gi breast and lung cancers than in normals or in patients with ca in clinical remission elevations of cea and of all three enzymes in blood were most frequent in patients with hepatic metastases cea elevations correlated directly with phi levels seventyeight percent of patients with m1 gi cancer could be identified by cea greater than ngml alone as well as with breast cancer and with lung cancer but only of other cancers could be identified by cea alone cea or one or more enzymes was elevated in of metastatic breast cancer patients of lung cancer and of other cancers but enzyme measurement did not increase id of gi ca over that achieved by cea alone these findings suggest that circulating c2 of cea phi psigtp and ldh may reflect a direct contribution from the malignant tissue andor liver malfunction secondary to liver replacement. a report is given on the recent discovery of outstanding immunological properties in ba ncyanoethyleneurea having a low molecular mass m experiments in ds cs bearing wistar rats have shown that ba at a dosage of only about percent ld mg kg and negligible lethality percent results in a rec rate of percent without hyperglycemia and in one test of percent with hyperglycemia under otherwise unchanged conditions the ref substance ifosfamide 
563,"if a further development of cyclophosphamide applied without hyperglycemia in its most efficient dosage of percent ld mg kg brought about a recovery rate of percent at a lethality of percent contrary to ba min hyperglycemia caused no further improvement of the rec rate however this comparison is characterized by the fact that both substances exhibit two quite different complementary mechanisms of action leucocyte counts made t3 application of the said cancerostatics and dosages have shown a pronounced stimulation with ba and with ifosfamide the known suppression in the posttherapeutic interval usually found with standard cancerostatics in combination with the cited pi test for ba blood pictures then allow conclusions on the immunity status since if can be taken as one of the most efficient cancerostatics there is no other chemotherapeutic known up to now that has a more significant effect on the ds carcinosarcoma in rats these findings are of special importance finally the total amount of leucocytes and lymphocytes as well as their time behaviour was determined from the blood picture of tumourfree rats after iv application of ba the thus obtained numerical values clearly show that further research work on the prophylactic use of this substance seems to be necessary and very promising. harmful alcohol use is a growing public health issue in brazil. there are worrying signs that consumption has increased in all population groups in recent years, particularly for heavy episodic drinking among adults. while brazil adopted important and effective alcohol control policies including drink driving policy or mass media campaigns, there remains scope to improve. "
564,
565,"implementing a more comprehensive alcohol policy package, including pricing policies, limiting advertising and introducing regulation of alcohol sports sponsorship, can help tackle harmful alcohol consumption in brazil. embedding more systematically screening and brief interventions in primary health care, and implementing education and awareness programmes, are other key strategies to combat alcohol consumption and reduce its harmful consequences in brazil. building on published patient safety research literature, this paper aims to broaden the existing knowledge base on safety lapses occurring in primary and ambulatory care settings.the findings of this paper show that safety lapses in primary and ambulatory care are common. about half of the global burden of patient harm originates in primary and ambulatory care, and estimates suggest that nearly four out of ten patients experience safety issue(s) in their interaction with this setting. safety lapses in primary and ambulatory care most often result in an increased need for care or hospitalisations. available evidence estimates the direct costs of safety lapses the additional tests, treatments and health care in primary and ambulatory care to be around 2.5% of total health expenditure. safety lapses resulting in hospitalisations each year may count 6% of total hospital bed days and more than 7 million admissions in the oecd. in chile, cancer is the second leading cause of death and could become the first cause in the near future. in order to reduce the disease burden, chile could do more to prevent many deaths due to cancer through cancer screening and prevention. this chapter describes the epidemiological burden of cancer in chile, assesses the governance of chilean cancer care system and public health policies in terms of prevention and early detection of cancer based on cross national comparisons, and concludes with a number of policy recommendations which could help chile strengthen cancer screening and prevention. "
566,
567,"together with policies to promote healthy lifestyles, public health policies specific to cancer are key to reducing the burden of cancer in chile. good mental health is a critical part of individual well being, and the foundation for happy, fulfilled, productive lives. however, this chapter finds that more than one in six people across eu countries had a mental health problem in 2016. living with mental ill health means that individuals are less able to succeed at school and work, are more likely to be unemployed, and may suffer worse physical health. for some, mental illnesses lead to premature mortality: over  died of mental health problems and suicides across eu countries in 2015.the economic costs of mental illness are also significant. this chapter estimates total costs related to mental ill health at more than 4% of gdp or over across the countries in 2015.  (or 1.3% of gdp) is direct spending on health care, another  (1.2% of gdp) is spending on social security programmes, while a further  (1.6% of gdp) is caused by indirect costs in the labour market, driven by lower employment rates and reduced productivity due to mental illness.the heavy economic, social and individual burden of mental illness is not inevitable, and more must be done to prevent and treat mental disorders, and to foster good mental health. the latter part of this chapter explores some effective ways by which european countries are promoting mental well being and preventing mental illness, and identifies critical gaps where more action is needed."
568,"paraguay has set ambitious targets to improve the health of its citizens. the country faces a double burden. the weight of non communicable diseases is growing, fuelled by longer lives but also less healthy lifestyles. at the same time, unresolved issues remain in communicable diseases, maternal, neonatal and nutritional diseases. the health system in paraguay suffers from fragmentation and the weaknesses of its stewardship institutions. to measure up to the challenge, the country has undertaken a series of reforms, starting with a landmark law passed in 1996. the reforms have succeeded in setting the stage for a new approach to healthcare based on primary care. however, they have not altered significantly the foundations of the health system and its fragmentation into multiple subsystems. this chapter describes the health challenges that paraguay faces and focuses on challenges in financing healthcare and in achieving universal health coverage. the health, social and economic consequences of poor mental health are substantial. more attention is focusing now on the development of actions to promote better mental health and wellbeing and prevent mental ill health. this paper provides an overview of the development of approaches to promoting mental wellbeing and preventing mental ill health in oecd countries, together with an assessment of what is known on their effectiveness and cost effectiveness. the paper finds that there is a sound and quite extensive evidence base for effective and cost effective actions which can promote mental wellbeing and prevent mental ill health. "
569,
570,"however, the existence of actions and programmes in mental health promotion and prevention is uneven both between countries, and across different points of the life course. many countries could stand to scale up their promotion and prevention efforts in the mental health field, and further efforts are particularly needed to introduce interventions targeted at unemployed and older populations. mental ill health is a significant issue in sweden, with both mild to moderate and severe disorders representing a significant burden of ill health. mild and moderate mental health problems constitute the greatest number of cases, and such disorders have been on the rise over the past several decades. however, mental ill health is also recognised as a vital national issue by swedish authorities. accordingly, sweden has a relatively comprehensive approach to mental health as part of its universal health plan. sweden was also at the forefront of such trends as deinstitutionalisation and official suicide prevention programs. country specific initiatives designed to tackle the most pressing psychological problems in sweden are in place, including suicide, societal stigma and rising levels of mental problems amongst swedish youth and workers. cancer was the second leading cause of death in oecd countries after circulatory diseases, accounting for 24% of all deaths in 2019. leading causes of cancer related mortality included lung cancer (21%), colorectal cancer (11%), breast cancer (15% among women) and prostate cancer (10% among men). these four represent 44% of all cancers diagnosed in oecd countries. mortality rates from cancer have fallen in all oecdã‚ countries since 2000, although on average the decline has been more modest than for circulatory diseases."
571,"the primary objective of the study was to evaluate the effect of a secondary motor task induced by an interactive seating system (iass) on passive driver fatigue in a monotonous simulated driving task. the effect was compared to that of a state of the art massage seating system (ms), which may reduce monotony through additional tactile stimuli. the secondary objective was to compare the user experience of both systems. the independent variables were three conditions: one with the iass, another with the ms, and a control without intervention. the study included seven dependent variables in total: a rating of subjective fatigue, three parameters measuring lane keeping ability, and three parameters reflecting fatigue related eye movements. the duration of the simulator ride was 40 min in each condition. the study included thirty five subjects. the assessment of subjective fatigue and lane keeping showed that the use of the iass resulted in significantly lower passive driver fatigue compared to the massage and control conditions. the alerting effects of the iass were also reflected by an increased eyelid distance. frequency and duration of blinks, however, showed no clear patterns of fatigue over time in any of the conditions. thus, both parameters did not seem be suitable to capture passive driver fatigue in this study. regarding user experience, the subjects preferred the iass over the ms as well. the iass showed a strong potential as an effective measure against passive driver fatigue within monotonous driving situations. the ms, on the other hand, induced no measurable effects"
572,"the development of a real time monitoring and warning platform for driver fatigue detection is of great importance to avoid traffic accidents and fatalities. due to the explosive growth of biosignal data, especially electroencephalogram (eeg) signals, generated in the wearable iot age, the practical application and recognition stability of these signals should be considered and further studied. the application of eeg signals, especially prefrontal eeg, is a potential key method for effectively determining when a driver is experiencing fatigue, which would promote the development of wearable devices for fatigue warning. in this work, we reported a rapid and effective forehead eeg based multientropy feature driven fatigue identification framework using a robust hybrid model. this method investigated and utilized several common entropies to enhance the characteristic quality of eeg signal, and yielded a better expected outcome than those of several classical algorithms due to the hybrid model. the experimental results using prefrontal eeg for assessing driver fatigue showed that the proposed method is convenient and effective, as validated by 32 healthy participants through double layer nested cross validation. in addition, multi entropy measures were evaluated for single channel eeg fatigue detection, and the results showed that wavelet log energy entropy (wle) outperformed the other entropy indices with a better recognition rate and higher computational efficiency. we demonstrated that multientropy fusion was able to significantly increase detection quality. this study provided a new strategy of using prefrontal eeg signals to construct a high efficiency method for detecting driver fatigue, which could possess great potential for real time single channel signal analysis."
573,"we propose a simple method to measure a drivers fatigue state by detecting the drivers grip force on the steering wheel while driving. we tested the grip force of 36 drivers on the steering wheel in conscious states (alert) and fatigue states under actual road driving conditions. using the stanford sleepiness scale (sss), we divided drivers into alert group a, fatigue group a, and fatigue group b. during 20 min real road driving trials, we measured the steering wheel grip force, electroencephalogram index (r = (î± + î¸)/î²), and blink frequency of each driver synchronously. we found that î”f, the difference between the maximum/minimum grip force and the standard deviation of the grip force, ïƒf, for each driver, strongly correlated with the drivers fatigue state. in the fatigue state, both and increased significantly. we examined these force indices using analysis of variance (anova) and validated them against the r value, blink frequency, and the drivers self reported fatigue state. using the grip force in fatigue detection, our method can achieve an overall recognition rate of 86.6% and an individual recognition rate of 88.3%. these results indicate that this method can effectively detect a driver s fatigue state during actual road driving. this new method has several advantages, such as a high signal to noise ratio, simple data collection, and no influence on daily driving. thus, our proposed method may provide a theoretical foundation for the development of fatigue detecting steering wheels"
574,"one of the main causes of traffic accidents is driver fatigue due to monotonous driving, sleep deprivation, boredom, or a combination of these. thus, fatigue detection systems have been proposed to alert drivers. however, how early driver fatigue can be detected often determines the effectiveness of the system. traditional approaches aim to detect driver fatigue in real time, which can be too late in many critical situations, such as the takeover transition period in highly automated driving. therefore, in this research, we aim to predict the driver s transition from non fatigue to fatigue in highly automated driving using physiological features. first, we capitalized on perclos (i.e., percent of time the eyelids closure) as the ground truth of driver fatigue. next, we selected the most important physiological features to predict driver fatigue proactively. finally, using these critical physiological features, we built prediction models that were able to predict the fatigue transition at least 13.8 s ahead of time using a technique called nonlinear autoregressive exogenous network. the accuracy of fatigue transition prediction was promising for highly automated driving (f1 measure = 97.4% and 99.1% for two types of models), which demonstrated the potential of the proposed method.  by matching the simulated and actual impact responses, it shows that the proposed approach is efficient and reliable for traffic accident reconstruction under uncertainty. this approach can help the accident investigators and judges reasonably evaluate the behavior of accident participants and complete the accident responsibility confirmation"
575,
576,"traffic accident reconstruction accomplished by traditional deterministic inverse method is highly user interactive and time consuming and its solution is hard to convince in court due to various uncertainty in measurements, calculation and modeling. to rapidly identify the unknown impact parameters and simultaneously quantify their uncertainty, an uncertain inverse traffic accident reconstruction is accomplished by combining the modified arbitrary orthogonal polynomial expansion (aope) which can accurately and effectively construct surrogate models and novel optimization technique which solves the uncertain inverse problem by deterministic method. first, a dynamic model is built to simulate a traffic accident. then, using the optimal latin hypercube design, the impact responses fluctuating greatly with the change of unknown impact parameters are selected as the evaluation index of reconstruction quality. using the random forest algorithm, the impact parameter importance is evaluated according to the shap values. subsequently, a modified aope is presented based on the impact parameter importance measures. the mappings for an actual traffic accident are approximated using the modified aope to reduce the computational burden and guarantee the fitting precision. finally, based on the novel optimization technique, the uncertain inverse traffic accident reconstruction is defined to search the optimal distributions of unknown impact parameters which make the distributions of simulation results of impact responses match these of accident investigation. the uncertainty is propagated by the monte carlo simulation in the optimization process. an actual vehicle to two wheeler accident is applied to explain this uncertain inverse traffic accident reconstruction, and the mean values of unknown impact parameters are assigned into the established simulation model to check the effectiveness of results."
577,the final step in the biosynthesis of testosterone is the reduction of androstenedione which is catalyzed by the microsomal enzyme ketosteroid reductase evidence is presented which suggests that there are two distinct ketosteroid reductases in rat testes one in interstitial tissue and one in st the two enzymes have different ph optima for the one from interstitial tissue and for the one from st at the optimum ph a fold difference in km values was observed mum for the interstitial tissue enzyme and mum for the enzyme from st testosterone and metabolites of testosterone have very different effects of each of these enzyme mics the interstitial tissue enzyme activity is inhibited by testosterone and several alphareduced metabolites of testosterone and by es the most potent inhibitor of the steroids investigated was alphaandrostanealpha betadiol followed by betaestradiol approximately equal to dihydrotestosterone greater than testosterone greater than estrone greater than estriol alphaandrostanealpha betadiol and betaestradiol were shown to act by competitive inhibition with apparent ki values of and mum respectively in contrast it was demonstrated that among the above steroids only dihydrotestosterone inhibits the ketosteroid reductase activity of seminiferous tubules and this inhibition was only observed at very high concentrations of inhibitor testosterone stimulated the ketosteroid reductase activity of seminiferous tubules alphaandrostanealpha betadiol at low concentrations stimulated the enzyme activity from seminiferous tubules while it had no effect at high concentrations the remainder of the steroids tested had no effect on the ketosteroid reductase activity of seminiferous tubules the difference in response of the two enzyme activities suggests a mechanism for local regulation of testosterone synthesis in each testicular compartment that does not involve directly pituitary gonadotropins
578,the objective is to educate ghanaians on cpr and give them practical training on how to perform cpr the initial phase is aimed at students in secondary schools in the eastern region to achieve this atif will have to train volunteers mostly unemployed university graduates who will be able to perform these trainings to students 20 secondary schools will be selected across the eastern region volunteers will be provided with food transportation and accommodation during training professionals trainers will be sourced to carry out these trainings at a selected venue hotel for one week once volunteers complete their cpr training and are competent the next stage will be coordinating the schedules to then offer these training to the secondary school the project coordinator will liaise with the selected schools and agree dates with them the trainers will be equipped with laptops projectors dummies for practicals and ppe to safely and effectively carry out their training sessions this project is aimed at the entire country and the first phase will then be repeated in various models which will potentially also lead to employment for the volunteers atif aims at building a training centre in the eastern region and has already acquired a land for the future training centre.  we also plan to work in local government by networking with our mp state mp and school board representatives to further engage our city in the un sdgs ultimately we hope to be part of the decade of change and work alongside other countries to achieve these goals we aim to leave a lasting impact on our community and for the common wellbeing of the future of the haitian people and our global community as a whole
579,the sustainable development goals for haiti sdg for haiti is a studentled project initiative that aims to implement the united nations sdgs 2030 in our community by providing creative solutions to local problems under sdg3 our unique position as students in a city where 80 of the population has no access to health pushed us to act our objectives by 2030 is to reduce the number of people who do not have access to care through a program to strengthen the quality of care in haiti through various projects so we decided to tackle this problem by planning and executing different projects such as  the establishment of community pharmacy in hospitals prison and educational establishment completely free with medicines hygiene products and first aid kits  training sessions on selfmedication which is a public health problem in haiti  awareness campaign on the importance of medical insurance and also on vaccination  an advocacy project with the government on increasing the national health budget the organization and planning of these projects was entirely managed and directed by students who thus demonstrated their ability to achieve and collaborate effectively with organizations to achieve the objectives we will use this effective networking and collaboration capacity to advance our goals as a student group we are well aware that our own resources are not enough to solve the problems ourselves which has encouraged us to build coalitions with nonprofit organizations and ngos existing in our community  not only by strengthening our common network but also our communication and organizational capacities in addition to partnering with local notforprofit organizations
580,"the health impact of covid 19 has been devastating. by mid october 2021, 240 million people had contracted the virus with nearly 4.9 million dying from it. moreover, millions of survivors suffer from long lasting symptoms that prevent a return to normal life. mental distress has increased substantially. there has also been a clear social gradient to the risk of infection and death from the virus. furthermore, covid19 has disrupted health care for people with other needs. for example, cancer screening was frequently delayed, non urgent surgeries postponed, emergency department use dropped, and waiting times for elective surgeries increased. nevertheless, vaccinations have been a game changer in 2021, reducing the risk of severe illness and death. however, vaccination hesitancy among some population groups and waning vaccine effectiveness are an ongoing challenge. building higher quality and more efficient mental health care demands a focus on building the innovative and high performing mental health systems of the future. a future focused approach to mental health includes developing a strong mental health workforce for future generations, investments in research, a strong data infrastructure, and a commitment to innovation and integrating new ideas into mental health practice. at the same time, there is more to do to ensure that more people get access to what is already understood to be the best practice care available, and that this care is delivered in the most effective and efficient way possible. this chapter explores the approaches that oecdã‚ countries are already taking to build efficient and sustainable mental health systems, opportunities to maximise uptake of effective and innovative treatment and services, and areas where more investment of attention and resources are needed."
581,
582,"harmful alcohol use is a pressing public health issue and a key driver of non communicable diseases, injuries and premature deaths. this chapter brings together the main messages of this publication and describes the policy implications identified by new oecd analyses of the health, social and economic burden of alcohol related diseases. it presents trends and projections for up to 52 oecd, group of 20 (g20) and european union (eu27) countries, and makes a strong economic case for upscaling investment in policies to tackle harmful alcohol consumption. the chapter presents the expected effectiveness, impact on health expenditure and return on investment for ten policy interventions and four policy packages aimed at addressing harmful alcohol use. it concludes by analysing the potential impact public health policies may have on the industry and approaches to mitigate costs. latvia sees high rates of obesity, smoking and alcohol consumption. in turn, this results in a high incidence of preventable diseases, such as heart disease, diabetes and many cancers. this puts a burden on a health system which is already operating on a very tight budget as compared to other oecd countries. this oecd report shows that latvia has many of the policies it needs to address these problems in place. however, latvia needs to go further to ensure the health system can effectively prevent diseases, not just cure them. this will require redesigning policies to reach a larger population and efforts to educate the population to understand how to protect their health. better screening programmes are needed, as is a stronger primary care sector, and access to essential medicines for all latvians."
583,
584,
585,"colorectal cancer is the second most commonly diagnosed cancer after lung cancer, for men, and the third most common cancer after breast and lung cancers, for women, in the asia pacific region. in 2018, about 908000 people were diagnosed with colorectal cancer in the region. colorectal cancer is the fourth most common cause of death from cancer, with approximately 434000 deaths (iarc, 2020[22]). long term care (ltc) institutions are now providing care to a greater number of people, and more residents with chronic conditions and multiple co morbidities, than ever before. trends suggest this strain will continue to increase as oecd populations continue to age. the total cost of avoidable admissions to hospitals from ltc facilities in 2016 was almost usd 18 billion, equivalent to 2.5% of all spending on hospital inpatient care or 4.4% of all spending on ltc. research shows that over half of the harm that occurs in ltc is preventable, and over 40% of admissions to hospitals from ltc are avoidable. the root causes of these events can be addressed through improved prevention and safety practices and workforce development including skill mix and education. targeted investments in a number of key areas can have a significant impact by mitigating the main cost drivers of adverse events in ltc."
586,the worlds largest lesson is a global project to engage all children in learning about the sdgs and using these as a stimulus for both sdg advocacy and local community action creative resources and training are provided to teachers and peer educators to enable them to engage children and young people in the goals and local action worlds largest lesson nigeria in october 2019 aims to deliver mass youth and citizen engagement in the sdgs and accelerate progress towards sdgs 47 and 128 education for sustainable development the project includes the following methodologies  creation of bespoke free teacher training and resources for teaching the sdgs in nigeria  the activation of a volunteer youth network to teach lessons in schools across the country in one week of october 2019  the deepening of sdgs learning experience for a smaller number of students invited to take part in after school clubs and generate ideas for local community projects a national challenge to award the best ideas with small grants to bring ideas to life  the leveraging of student experience into a call to action to nigerias federal ministry of education from 500k children to accelerate the inclusion of sdgs learning into nigerias national curriculum so that all students can participate in learning with and for the sdgs  the creation of a progress event in which students teachers and stakeholders join to witness student experience within this event stakeholders and decision makers will meet to discuss the proposal and identify a plan for move forward  the project is inspired and 
587,supported by the worlds largest lesson funded by avanti communications and delivered locally by 3 ngos evidence of success will be the inclusion of education for sustainable development including environment climate change and social justice either within the formal national curriculum for nigeria or as part of a formally agreed annual programme of learning outside of core academic time eg after school clubs the objective of the online conference is to convey the most recent research results on climate change and its impacts as well as to provide especially early career researchers from all over the world with the opportunity to present their findings at a global level this event fills a knowledge gap in respect of thematic discussions on climate change mitigation and adaptation which will be performed both in an integrative and interactive way the conference also offers you insights on numerous climate projects initiatives and strategies which are currently being implemented on the five continents and considered to be latest examples of worldwide climate change adaptation and mitigation activities the best thing you are only a mouseclick away from this event you can easily log in over the internet no matter where you are actually located in your office at school university or on your smartphone on your way home social entrepreneurship offers not only a path for young people to transform their own lives but also a way to empower others we believe that young social entrepreneurs have a key role to play in contributing to the 2030 agenda and the sustainable development goals sdgs they are increasingly using innovative business approaches to respond to todays challenges and tomorrows problems 
588,however social entrepreneurs need a favorable and enabling business ecosystem to thrive and to bring their impact to scale these entrepreneurial ecosystems require the collaboration of different stakeholders as well as specific interventions and programmes supporting innovations to scale particularly in the rapidly growing area of social entrepreneurship supporting young social entrepreneurs is at the heart of both itcs youth and trade programme and the impact hub network since 2016 itc and accelerate 2030 have been collaborating to offer selected ventures expertise advisory and global visibility in the context of itcs annual world export development forum wedf  a2030 ventures had the opportunity to pitch for investments into their business following a joint itca2030 event during the unga in new york in september 2018 the youth and trade programme and accelerate 2030 are keen to strengthen the current collaboration to further support impactdriven entrepreneurs from developing countries that contributes in achieving sdgs building on the lessons learnt from the current collaboration and considering the resources and expertise itc and a 2030 can bring to targeted entrepreneurs three main objectives of the forthcoming collaboration have been established  enhance the capacity of young social entrepreneurs to scale their impact through a targeted scalereadiness programme across 15 countries and an international scaling programme  strengthen the methodology and the capacity of national implementing partners impact hubs to provide support to entrepreneurs to scale their impact internationally  improve the business environment for young social entrepreneurs in their respective countries  deploy the learning content to other partners and young entrepreneurs to showcase the importance of social entrepreneurship as a good driver to achieve sdgs
589,we make learning easy by offering a mobile based learning management system that can be accessed offline essentially our solution is designed to ensure the continuation of education in the event of a prolonged school closure or student absence for example due to lack of fees lack of sanitary wear during menstrual periods or due to global pandemics such as the recent covid19 learning continuity is a critical component of school emergency management that a lot of african education systems cant provide for their learners learning continuity promotes the continuation of teaching and learning despite circumstances that interrupt normal school attendance for one or more students thus through our offline solution learners can access learning material anywhere and at anytime to ensure inclusive and equitable quality education for all learners according to unicef an education system is inclusive if it includes all students and supports them to learn no one should be excluded also according to unesco inclusion is a dynamic approach of responding positively to pupil diversity and seeing individual differences not as problems but as opportunities for enriching learning by providing an offline learning application our solution not only makes provisions for ensuring for parity or equality in access to education in quantitative terms but also pushes for the qualitative property of equity or fairness in access to education to ensure inclusivity our solution also caters to learners with visual and hearing impairments to ensure digital literacy which means breaking the digital divide as digital literacy has become almost as important as traditional literacy our solution seeks to break the digital divide and improve the digital literacy of learners from disadvantaged communities so as to prepare them for a digital future we realize that two persons with the same capabilities and goals may end up with different outcomes because of differences in access to digital technology therefore learners on the wrong side of the digital divide may be increasingly excluded from knowledge based societies and economies to ensure access to quality education that is curriculum and technology based even for learners from disadvantaged backgrounds
590,school entrepreneurship education program seep seeks to empower youths through entrepreneurship education in high schools starting from form 2 1314 years old to form 6 1819 year old the program is using practical business skills to learners to encourage entrepreneurship during and after school days the program follows the philosophy that entrepreneurship education promotes creation of businesses employment creation development of and learning of noncognitive skills such as opportunity recognition innovation critical thinking resilience decision making teamwork and leadership will benefit all youths whether or not they intend to become or continue with entrepreneurship our goal is to promote quality education that meets the 21st century skills such as creativity communication problem solving decision making and critical thinking among other skills through experiential education objectives 1 teach financial literacy among teenage learners 2 train practical entrepreneurship among learners through school based enterprises 3 instruct 21st century critical skills through experiential learning implementation seep use experiential learning taking learners through a 12 weeks entrepreneurial journey that involves theoretical and practical exercises learners are given tasks of specific business areas and are encouraged to take practical steps to fulfill the demands of those tasks as the program goes learners will be building up their business plan which will undergo implementation from week 7 to week 11 the program also includes mentors resource persons from the business community who come and share their expertise on various business areas such as marketing accounting human resources among other areas governance our team is made up of the director program manager financial manager and operations manager details on the structure are attached on the additional information column
591,5050 the equality project supports the bbc and other organisations to create content that better reflects the world around us the project began as a grassroots initiative in the bbcs london newsroom in 2017 it now involves 670 bbc teams and more than 100 partner organisations in 26 countries  all working towards one goal equal representation of women and men in content in 2021 for the first time the bbcs progress was published alongside our 5050 partner organisations in march teams were challenged to see how many could reach 50 women contributors within the bbc the challenge included how many could consistently meet 5050 from october 2020 to march 2021 in a year that saw the coronavirus pandemic have a devastating impact on lives and industries globally the data suggested that achieving gender balance remained a priority for the global 5050 network at the bbc 70 of datasets featured 50 women contributors in march compared to 36 when they first started forty percent also proved consistency across the global 5050 network 41 organisations took part in the challenge half of the datasets submitted featured at least 50 women all are committed to continue improving womens representation in their output in october 2020 the bbc announced 5050 monitoring was expanding to include representation of ethnicity and disability this supports the corporations aim to reach 50 women 20 black asian and minority ethnic and 12 disabled representation onscreen onair and in lead roles across all genres over 220 teams across the bbc have now committed to using 5050 monitoring to increase their representation of ethnic minority and disabled contributors this progress demonstrates a worldwide commitment to improving representation in content it evidences how 5050 is contributing to sustained culture change across the creative industries and beyond
592,ilac is rule of law consortium based in stockholm sweden providing technical assistance to justice sector actors in conflictaffected and fragile countries ilacs mission is to rapidly respond to and assess the needs of the justice sector in conflictaffected and fragile countries and strengthen the independence and resilience of justice sector institutions and the legal profession ilacs middle east and north africa mena programme includes a project with the tunisian administrative tribunal tunisia has progressed in guaranteeing civil and political rights but little progress has been made in securing the economic social and cultural rights the root cause of the revolution sought by tunisians the administrative tribunal is the institution mandated to guarantee economic social and cultural rights and legal professionals and csos play a key role in protecting such rights the project therefore aims to 1 ensure improved access to justice and justice delivery to the tunisian people by effectively managing administration within the tunisian administrative tribunal and 2 deliver capacity building for tunisian legal professionals to apply and protect economic social and cultural rights in accordance with international standards methodology includes technical assistance ranging from it training to caseflow management and capacity building to improve for instance communication with justice seekers and the practical application of international law within the tunisian system all projects are implemented and monitored through an adaptive and iterative management approach and in close coordination and collaboration with local stakeholders to ensure aid efficiency all actions are coordinated with other likeminded rule of law actors also active in tunisia
593,lake chad is home to a growing population that has urgent needs to address the impacts of climate change on the water resources and the ecosystem of the basin it provides for millions of people living in cameroon the car chad niger and nigeria a diverse range of environmental services mainly provisioning food and water supporting land and nutrient cycling regulatory ground water replenishment carbon sequestration air purification and cultural recreation spirituality education services environmental resources are critical to the survival of the lake chad population both for subsistence and for economic mainstay the escalating degradation of water resources and ecosystems is exacerbated by the current security challenge and the subsequent migration of livestock and people in search of a better life in 2008 a previous undpgef project assisted the countries and lcbc in preparing a regional transboundary diagnostic analysis leading to a regionally endorsed strategic action programme sap this undpgef project has a focus to initiate the implementation of the sap with the overall objective to achieve climate resilient integrated ecosystembased management of lake chad basin through implementation of agreed policy legal and institutional reforms and investments that improve water quality and quantity protect biodiversity and sustain livelihoods meeting this objective will address concerns linked to the management capacity of the lcbc and its member countries to develop and implement sustainable management policies and to address unsustainable landwater practices responding to the sap and the regionally agreed water charter
