,1.00*SDG3,1.00*SDG16,1.00*SDG9,1.00*SDG10,1.00*SDG8,1.00*SDG12,1.00*SDG4,1.00*SDG15,1.00*SDG2,1.00*SDG5,1.00*SDG14,1.00*SDG6,1.00*SDG13,1.00*SDG7,1.00*SDG11,1.00*SDG1
22,0.600:attended,0.636:armed,0.641:technologically,0.585:imports,0.599:hit,0.618:antarctica,0.700:read,0.663:cycads,0.641:farmers,0.664:chamber,0.687:intensification,0.646:withdrawn,0.669:panel,0.674:exclusively,0.653:breathing,0.564:disasters
23,0.594:litres,0.635:exploitation,0.638:network,0.582:decisio,0.597:gap,0.618:companies,0.695:doubles,0.662:poached,0.638:distorting,0.660:partner,0.685:jurisdiction,0.642:competing,0.667:articulating,0.673:biogas,0.652:boundaries,0.564:lived
24,0.593:skilled,0.631:unionists,0.637:encompasses,0.582:preferential,0.596:machines,0.618:publishing,0.694:finished,0.660:reforestation,0.638:allocable,0.657:consensual,0.679:overflow,0.634:aquifers,0.665:proposals,0.670:telling,0.650:accommodate,0.560:justified
25,0.590:ill,0.631:killed,0.636:kilograms,0.581:lifeline,0.596:hour,0.618:auspices,0.691:grades,0.657:illicitly,0.627:round,0.653:deeply,0.670:preparatory,0.632:hinder,0.662:linkages,0.666:excludes,0.643:incubators,0.560:feeding
26,0.588:rehabilitation,0.629:detention,0.620:productions,0.580:forums,0.595:teller,0.618:montreal,0.691:write,0.656:invasive,0.620:fies,0.650:spheres,0.667:variability,0.626:diarrheal,0.656:quantified,0.666:contributor,0.634:ingenuity,0.558:workers
27,0.588:neurological,0.627:freedoms,0.617:connections,0.579:strict,0.594:entrants,0.613:transmitting,0.689:ofschool,0.654:list,0.614:macroeconomic,0.649:fgm,0.667:feasible,0.625:abstracted,0.654:accessed,0.663:watts,0.630:residents,0.556:recurrent
28,0.584:won,0.626:realistic,0.615:passenger,0.578:debt,0.592:median,0.610:conventions,0.688:equity,0.654:hectares,0.604:coexist,0.645:nonagricultural,0.663:looking,0.621:freshwater,0.654:insights,0.660:twofold,0.626:buses,0.556:weaker
29,0.584:tracer,0.625:corruption,0.612:infrastructure,0.577:cuba,0.591:customers,0.610:arctic,0.686:enrolled,0.651:grassland,0.604:insecurity,0.641:statistic,0.656:shortest,0.619:dumping,0.652:formulation,0.658:combustible,0.624:monthly,0.553:manifestations
30,0.583:burden,0.621:casualties,0.611:mobile,0.576:offices,0.591:workers,0.609:stockholm,0.684:teaching,0.650:natures,0.603:subsidy,0.638:norms,0.655:convened,0.615:discharged,0.650:paris,0.657:technologies,0.621:occupy,0.541:exacerbate
31,0.582:childbirth,0.620:underreporting,0.607:join,0.576:journey,0.591:adults,0.605:environmentally,0.679:refocused,0.648:loss,0.603:pastoral,0.636:patriarchal,0.655:forget,0.614:practiced,0.649:transparency,0.657:electrification,0.620:pm,0.538:thoses
32,0.581:smokers,0.618:unregistered,0.607:gdp,0.572:agencies,0.590:occupations,0.602:basel,0.669:pedagogical,0.647:africaa,0.602:classes,0.635:wealthiest,0.654:resourced,0.611:handwashing,0.644:annex,0.654:relying,0.615:peri,0.537:mobilization
33,0.579:outdoor,0.616:disturbing,0.599:spurred,0.570:eligible,0.588:adequacy,0.600:regionsa,0.667:computers,0.642:centa,0.601:export,0.634:constitutions,0.652:anthropogenic,0.611:latrines,0.640:assist,0.646:polluting,0.614:outpaces,0.536:contributory
34,0.579:calendar,0.612:unsettling,0.594:inhabitants,0.567:quota,0.585:argued,0.599:depleting,0.665:enrolment,0.641:grasslands,0.597:volatility,0.634:marriages,0.643:precious,0.610:integrated,0.640:climatespecific,0.644:ambitions,0.612:harassment,0.535:enjoy
35,0.578:aftercare,0.610:intentional,0.589:industrya,0.567:membership,0.580:fastest,0.593:consumption,0.664:kept,0.640:amphibians,0.596:manifest,0.632:rooted,0.642:impairs,0.609:desalination,0.639:update,0.643:outlook,0.612:discharge,0.533:events
36,0.577:uninfected,0.610:sentencing,0.588:unleashed,0.567:inequalities,0.573:approximate,0.592:glaciers,0.661:proficient,0.640:invasion,0.596:pastoralists,0.629:equality,0.640:exclusive,0.608:hygiene,0.638:nationally,0.635:savings,0.611:unaffordable,0.533:protections
37,0.576:complications,0.607:defenders,0.583:intensity,0.566:enter,0.569:annum,0.591:extraction,0.661:workshops,0.636:hecta,0.593:foods,0.627:senior,0.640:fishery,0.608:spreading,0.638:change,0.631:mj,0.610:quest,0.526:earning
38,0.575:suicides,0.607:childrena,0.582:multiplication,0.565:origin,0.566:cast,0.590:rises,0.660:entry,0.636:alien,0.592:employer,0.625:sexual,0.639:biologically,0.607:rivers,0.636:parties,0.629:millijoules,0.607:trams,0.525:predictable
39,0.567:extensively,0.606:perhaps,0.581:recipient,0.565:gni,0.566:crisis,0.585:toa,0.660:minimum,0.635:house,0.591:prices,0.621:posts,0.637:york,0.603:nigeria,0.636:centigrade,0.621:willingness,0.607:struggled,0.517:afford
40,0.565:incidence,0.604:civilians,0.572:landlocked,0.565:tariff,0.565:trades,0.584:increasesa,0.658:preprimary,0.635:chytrid,0.590:suffered,0.619:assuring,0.635:waters,0.594:basin,0.633:intended,0.618:modern,0.602:convenient,0.515:missing
41,0.564:hepatitis,0.603:nationality,0.572:remarkable,0.565:earned,0.564:employees,0.581:mainstream,0.657:france,0.634:vegetation,0.589:nourish,0.619:undergone,0.631:unreported,0.593:withdrawals,0.627:seek,0.610:come,0.601:overburdened,0.514:surviving
42,0.564:alcohol,0.600:homicide,0.572:milder,0.565:tariffs,0.559:acutely,0.581:grewa,0.654:skills,0.634:cropland,0.586:perils,0.618:contraceptives,0.630:border,0.592:peninsula,0.620:draft,0.606:intensity,0.588:residence,0.506:nowcast
43,0.563:poisonings,0.600:constitutional,0.567:engage,0.564:classification,0.558:holders,0.580:tonsa,0.653:completion,0.633:traction,0.584:distortions,0.618:seats,0.627:floating,0.587:arabian,0.619:signed,0.605:charcoal,0.587:trains,0.505:quintile
44,0.563:tropical,0.600:verified,0.562:roads,0.562:benefitted,0.552:hardly,0.578:vary,0.645:lifelong,0.633:biomass,0.582:outlays,0.615:unfair,0.625:unregulated,0.585:lacked,0.618:adapt,0.602:wood,0.586:shut,0.505:bea
45,0.562:tenth,0.599:officials,0.561:sectors,0.561:religion,0.551:sharply,0.576:recycled,0.643:escaping,0.632:lands,0.580:lactating,0.613:husbands,0.622:zones,0.584:users,0.617:successive,0.601:cheaper,0.585:running,0.504:benefit
46,0.561:multidrug,0.598:pave,0.558:global,0.560:innovations,0.550:inbound,0.571:consumer,0.639:adjusted,0.631:shelter,0.579:affordability,0.611:devote,0.615:conserve,0.580:basins,0.616:urged,0.598:coal,0.581:organizationa,0.504:reality
47,0.561:maternal,0.596:unsentenced,0.558:transported,0.560:mobility,0.548:insurance,0.571:persona,0.639:permanently,0.630:fifteen,0.579:depreciations,0.610:obstacle,0.614:blooms,0.575:managed,0.610:highs,0.587:biofuels,0.578:powerhouses,0.504:benefits
48,0.561:death,0.592:fear,0.556:doubling,0.556:borders,0.546:arrivals,0.571:fossil,0.638:fosters,0.630:degradation,0.573:agricultures,0.609:leisure,0.613:absorbs,0.573:withdrew,0.610:commission,0.581:mandatory,0.575:waste,0.503:prevail
49,0.556:epidemics,0.592:theft,0.552:continents,0.552:imf,0.544:unemployed,0.570:retail,0.637:participated,0.629:clearing,0.572:lingering,0.607:quotas,0.611:revolution,0.571:unevenly,0.609:specialized,0.573:confined,0.574:onwards,0.502:nowcasts
