Link,Abstract,Author Keywords,Index Keywords
https://www.scopus.com/inward/record.uri?eid=2-s2.0-85115027612&doi=10.1016%2fj.aquaculture.2021.737480&partnerID=40&md5=b6c2dbf3e032dd21be3dd88bd4edeedd,"As selective breeding programs are time-consuming and expensive, it is critical that clients preferred traits are accurately identified. This is important to achieve value for money and adoption of selectively improved fish, and an essential foundation for effective contributions of genetic improvements to farming system. Data on fish trait preferences of smallholder farmers are rare; when these do exist, there is no information on whether the preferences of men and women are similar or not. The present work reports the first gender-disaggregated study of trait preferences of men and women from farming households for rohu carp (L. rohita) in Bangladesh (288 respondents) and India (270 respondents), addressing a major segment of aquaculture production in south Asia. The paper generates a nuanced, novel, and comparative understanding of the preferred characteristics through a survey of smallholder farmers that: 1) uses open-ended questions relating to producer and consumer perspectives; and, 2) applies a stated choice experiment using 1000minds software to address trade-offs in choices between traits for a subset of (58–38) respondents. General preferences derived from expressed likes or dislikes emphasized the importance of good taste, characteristics indicating freshness and safety such as aspects of appearance and color, as expected for a perishable product, and of value for money, including size of fish or relative flesh quantity. The overall pattern of preferences were similar for men and women, but there were differences in that men focused more on economic-related characteristics and women more on characteristics associated with nutritional value and food safety. When producers identified what to improve, they focused on larger size fish, reduced culture period, fry survival and disease resistance. When choosing between traits in pair-wise comparison exercises, ranking of traits was similar for both men and women in both Bangladesh and India. Significant differences were only observed between genders for the lower ranked traits in Bangladesh. Larger size fish as a charateristic ranked first in all groups, but there were marked differences between the importance of price and taste in the two countries. Methodologically, the study demonstrated that general preferences, do not automatically translate into characteristics for improvement by breeding programs, and the latter were not necessarily an accurate guide to the preferences expressed when specific tradeoffs were considered. These findings emphasize the need for well-designed and targeted surveys to be able to accurately define trait preferences, in particular to identify the relative values of heritable traits for practical application in breeding programs. © 2021 Elsevier B.V.",1000minds; Gender; L. rohita; Rohu; Selective breeding; Trait preferences,aquaculture production; cyprinid; farming system; household survey; selective breeding; smallholder; trade-off; Bangladesh; India
https://www.scopus.com/inward/record.uri?eid=2-s2.0-85122482003&doi=10.3390%2ff13010068&partnerID=40&md5=8b82782361ef506dd25674d15ad2b402,"Effective environmental governance is deemed essential in advancing the Sustainable Development Goals. However, environmental dimensions have no specific reference across the SDG 16 targets and indicators. In achieving SDG 16—the realization of peace, justice, and strong institution, polycentric environmental governance involving multiple actors across scales deserves thoughtful consideration. This study illustrates the potential of a polycentric approach to environmental governance in achieving SDG 16, using case studies of forest, watershed, and transboundary bushland and seascape management in Southeast Asia and Eastern Africa, namely Vietnam, Indonesia, and the Kenya–Somalia cross-border. By highlighting four key elements of polycentric governance namely, political will, legal framework, support from higher-level governance and capacity building, the case studies demonstrate that polycentric governance play a significant role in achieving three environment-relevant SDG 16 targets, yet these targets are silent about environmental governance dimensions. Since many conflicts arise from the environment and natural resources sector, we suggest that (i) polycentric environmental governance be strongly pursued to achieve SDG 16, and (ii) SDG 16 includes indicators specifically directed on polycentric environment and natural resource governance. © 2022 by the authors. Licensee MDPI, Basel, Switzerland.",Cross-border environmental governance; Ecosystem services governance; Environmental governance; Landscape governance; Polycentric governance; SDG 16,Environmental regulations; Sustainable development; Cross-border; Cross-border environmental governance; Ecosystem service governance; Ecosystem services; Environmental governances; Landscape governance; Polycentric governance; SDG 16; Southeast Asia; Ecosystems; Africa; Capacity; Dimensions; Ecosystems; Environmental Regulations; Forests; Indicators; Southeast Asia
https://www.scopus.com/inward/record.uri?eid=2-s2.0-85121812481&doi=10.1016%2fj.esg.2021.100130&partnerID=40&md5=dee420efc250f7e76a3d69b479bdadf1,"Games offer unique possibilities for imagining and experimenting with new systems of governance for more sustainable futures – new rules and institutions, new roles, and new dynamic worlds. However, research on sustainability games has mostly investigated games as a type of futures method, largely divorced from its societal contexts. In this paper, we argue that to unlock the potential of gaming for anticipatory governance in the service of a more sustainable future, it is important take a whole-society perspective, and examine the possibilities and challenges offered by contextual factors. Using the Netherlands and Japan as examples, we investigate the following questions: 1) How do governance cultures allow or restrict opportunities for the participatory exploration of futures using games? 2) How does, and can, the game sector in a given context support anticipatory gaming? 3) How do dominant societal relationships with games limit, and offer opportunities for, gaming for anticipatory governance? © 2021 The Authors",Anticipatory governance; Foresight; Futures; Games; Simulation,
https://www.scopus.com/inward/record.uri?eid=2-s2.0-85121569433&doi=10.1007%2fs42452-021-04898-6&partnerID=40&md5=c2fcdd7b70e7f6cfaeed6fbc3cb6b0fb,"Kitchen gardening is considered a way to reconnect with agriculture and complement the cereal-based relief food offered to refugees in East Africa. This work aimed at profiling mineral content of okra in four refugee camps and settlements located in Ethiopia and Uganda and its contribution to adequate intake (AIs) or recommended dietary allowances (RDAs) for young children and pregnant and lactating women (PLW). The study also evaluated the applicability of portable X-ray fluorescence (PXRF) as compared with inductively coupled plasma mass spectrometry (ICP-MS) for mineral profiling of okra powder samples. The contents of minerals (mg kg−1) from the ICP-MS readings were in the following ranges: K (14,385–33,294), Ca (2610–14,090), P (3178–13,248), Mg (3896–7986), Cu (3.81–19.3), Fe (75.7–1243), Zn (33–141) and Mn (23.1–261). Regardless of geographic origin, at low-end consumption probability (17 g day−1 for young children and 68 g day−1 for PLW), okra could contribute ˂ 15% (2.7–12.9%) AI for macro-minerals (K and Ca). In addition, the contributions to RDA values for Fe and Zn, elements of known public health interest, ranged from 4.5 to 34.7% for young children. Interestingly, regression lines revealed strong agreement between ICP-MS and PXRF readings for Mn and Zn, with R2 values &gt; 0.91. This information is useful in support of nutrition-sensitive kitchen gardening programs through scaling culturally important crops in refugee settings. © 2021, The Author(s).",East Africa; ICP-MS; Minerals; Okra; PXRF; Refugee camps and settlements,Kitchens; Mass spectrometers; Minerals; Nutrition; Abelmoschus esculentus; East Africa; Inductively coupled plasma-mass spectrometry; Okra; Portable X-ray fluorescence; Recommended dietary allowances; Refugee camp and settlement; Refugee camps; X ray fluorescence; Young children; Inductively coupled plasma mass spectrometry
https://www.scopus.com/inward/record.uri?eid=2-s2.0-85118927982&doi=10.1080%2f21683565.2021.1997872&partnerID=40&md5=ef5cfb236ca464f2656440a9b395676d,"Sweetpotato is increasingly important in sub-Saharan Africa due to its yield potential under sub-optimal growing conditions. But lack of planting material (seed) at the onset of the rains is a major constraint. This study examined smallholder strategies for sweetpotato seed conservation and multiplication, their agroclimatic determinants, and farmers’ perceived drought risk at four sites (Dilla, Chuko, Hawassa, Sodo) in Ethiopia using informant interviews, a survey of 278 households, and agroclimatic statistics. Conservation practices were dictated by farming system and agroecological conditions. The long-term mean length of dry period when multipliers must conserve seeds ranged between 103 and 131 days across sites. Seed multipliers faced high uncertainty of rainfall onset that varied from the end of February to mid-May. Estimated probabilities of moderate and severe droughts affecting seed conservation ranged from 36–75%, and 15–58%, respectively. In drier sites, age of multiplier, land-holding size, sweetpotato production experience and access to extension were positively associated with being a vine multiplier. Knowledge of indigenous conservations strategies should inform seed system intervention design. © 2021 Taylor & Francis.",drought vulnerability; dry spells; farming system; Rainfall onset; sweetpotato vines,
https://www.scopus.com/inward/record.uri?eid=2-s2.0-85115968241&doi=10.1016%2fj.techfore.2021.121242&partnerID=40&md5=d06529ad391a62215b76b5bc187a217d,"Industry 4.0 (I4.0) is about realizing digital transformation by linking machines to plants, fleets, and humans through sensors and control elements in order to create smart networks, smart factories, smart manufacturing, and smart value chains. By leveraging I4.0 technologies, a small and medium enterprise (SME) can increase its organizational agility, adaptability, and resilience to cope with today's competitive environment by becoming a valuable and innovative partner in the power dynamics with its large buyer counterparts. However, SMEs face technology, trust, and big data challenges when they adopt I4.0 technologies. This study provides new solutions for SMEs to overcome these three challenges in implementing I4.0. Specifically, the paper proposes the following: (1) a roadmap for the application of I4.0 technologies to enhance the collaboration capabilities of SMEs; (2) a structure for I4.0 standardization to develop and sustain trust among partners; and (3) an improved data science platform for systematizing big data to extract critical information for collaboration solutions for SMEs. Additionally, the solutions are evaluated based on an application case of a Greek SME, demonstrating their potentials for practical implementation. © 2021",Cloud computing; Collaboration; Data science; Industry 4.0; SME; Trust,Big data; Data Science; Trusted computing; Cloud-computing; Collaboration; Control elements; Digital transformation; Enterprise collaboration; Sensor elements; Small-and-medium enterprise; Smart manufacturing; SMART network; Trust; Industry 4.0; competition (economics); computer system; small and medium-sized enterprise
https://www.scopus.com/inward/record.uri?eid=2-s2.0-85114896927&doi=10.1177%2f0271678X211045438&partnerID=40&md5=c2d2909accd5a06c0f6aef2120d4fe3e,"A vascular insult occurring early in disease onset may initiate cognitive decline leading to dementia, while pharmacological and lifestyle interventions can prevent this progression. Mice with a selective, tamoxifen-inducible deletion of NF-κB essential modulator (Nemo) in brain endothelial cells were studied as a model of vascular cognitive impairment. Groups included NemoFl controls and three NemobeKO groups: One untreated, and two treated with simvastatin or exercise. Social preference and nesting were impaired in NemobeKO mice and were not countered by treatments. Cerebrovascular function was compromised in NemobeKO groups regardless of treatment, with decreased changes in sensory-evoked cerebral blood flow and total hemoglobin levels, and impaired endothelium-dependent vasodilation. NemobeKO mice had increased string vessel pathology, blood-brain barrier disruption, neuroinflammation, and reduced cortical somatostatin-containing interneurons. These alterations were reversed when endothelial function was recovered. Findings strongly suggest that damage to the cerebral endothelium can trigger pathologies associated with dementia and its functional integrity should be an effective target in future therapeutic efforts. © The Author(s) 2021.",Cerebral endothelium; NF-κB essential modulator; physical exercise; simvastatin; vascular cognitive impairment,acetylcholine; choline acetyltransferase; collagen type 4; galectin 3; glial fibrillary acidic protein; hemoglobin; hemosiderin; horseradish peroxidase; I kappa B kinase gamma; immunoglobulin enhancer binding protein; nitroprusside sodium; receptor type tyrosine protein phosphatase C; simvastatin; somatostatin; tamoxifen; vanilloid receptor 4; animal model; animal tissue; Article; astrocytosis; blood brain barrier; brain blood flow; brain capillary endothelial cell; brain function; cognitive defect; controlled study; dementia; diffusion tensor imaging; electrocorticography; electron spin resonance; endothelial dysfunction; exercise; female; fractional anisotropy; gene knockout; gene sequence; immunodetection; immunofluorescence; immunohistochemistry; immunohistology; laser speckle contrast imaging; lifestyle modification; male; microglia; Morris water maze test; mouse; nervous system inflammation; nesting; nonhuman; nuclear magnetic resonance imaging; protein expression; social preference; somatosensory evoked potential; spatial memory; vasodilatation; video microscopy
https://www.scopus.com/inward/record.uri?eid=2-s2.0-85093860718&doi=10.1177%2f1354068820968091&partnerID=40&md5=bceaff7cc0b0e4da23ea2f99808cee4a,"Outside the US, the crucial question of how well politicians represent the preferences of voters is usually investigated at the party level. Reversing this perspective, we examine representation in Europe from the point of view of individual candidates running in national parliamentary elections. This is especially insightful in a period that seems characterized by a decline in parties’ representational capacities and an increasing personalization of politics. We analyze representation by considering the incongruence between candidates’ left–right positions and the average placement of their party voters. By combining candidate survey data with mass survey data on voters, we assess how ideological incongruence varies according to predictors measured at the levels of candidates, parties, and party systems. The results highlight a systematic association between a partisan style of representation and candidates’ proximity to voters, as well as the interactions between representational roles and factors such as the anti-establishment nature of parties and ideological polarization in the party system. © The Author(s) 2020.",candidates; congruence; Europe; left–right; political parties; representation,
https://www.scopus.com/inward/record.uri?eid=2-s2.0-85092799778&doi=10.1002%2fhbm.25249&partnerID=40&md5=82683df8cce2c40888f07c2e4bca83ad,"The hippocampus consists of anatomically and functionally distinct subfields that may be differentially involved in the pathophysiology of bipolar disorder (BD). Here we, the Enhancing NeuroImaging Genetics through Meta-Analysis Bipolar Disorder workinggroup, study hippocampal subfield volumetry in BD. T1-weighted magnetic resonance imaging scans from 4,698 individuals (BD = 1,472, healthy controls [HC] = 3,226) from 23 sites worldwide were processed with FreeSurfer. We used linear mixed-effects models and mega-analysis to investigate differences in hippocampal subfield volumes between BD and HC, followed by analyses of clinical characteristics and medication use. BD showed significantly smaller volumes of the whole hippocampus (Cohen's d = −0.20), cornu ammonis (CA)1 (d = −0.18), CA2/3 (d = −0.11), CA4 (d = −0.19), molecular layer (d = −0.21), granule cell layer of dentate gyrus (d = −0.21), hippocampal tail (d = −0.10), subiculum (d = −0.15), presubiculum (d = −0.18), and hippocampal amygdala transition area (d = −0.17) compared to HC. Lithium users did not show volume differences compared to HC, while non-users did. Antipsychotics or antiepileptic use was associated with smaller volumes. In this largest study of hippocampal subfields in BD to date, we show widespread reductions in nine of 12 subfields studied. The associations were modulated by medication use and specifically the lack of differences between lithium users and HC supports a possible protective role of lithium in BD. © 2020 The Authors. Human Brain Mapping published by Wiley Periodicals LLC.",bipolar disorder subtype; hippocampus; large-scale; lithium; psychosis; structural brain MRI,
https://www.scopus.com/inward/record.uri?eid=2-s2.0-85088361940&doi=10.1177%2f0952076720904993&partnerID=40&md5=e06dfcac3388f74128592eb248e3b9b9,"This article provides an introduction to discussions and empirical studies of the decentered state. The first section traces the historical origins of the concept of the decentered state. Group theory and interorganizational theory drew attention to the role of diverse actors in policymaking. The study of policy networks explored these actors and their relationships. The concept of the hollow state arose to describe a state made up of proliferating networks. Finally, postfoundationalists amended these earlier ideas by insisting that the state should not be reified. There are, then, at least three different versions of the decentered state—the pluralist state, the hollow state, and the stateless state. The second section shows how the postfoundationalism of decentered theory transforms the earlier debates about network governance and pluralist democracy. The final section suggests that decentered theory privileges empirical studies of the stateless state and in particular of narratives, rationalities, and resistance. © The Author(s) 2020.",Decentered state; interpretive; postfoundationalism,
https://www.scopus.com/inward/record.uri?eid=2-s2.0-85117722325&doi=10.1016%2fj.jnca.2021.103233&partnerID=40&md5=f260fca10fabcceace1a9421e99007f7,"Coflow scheduling can effectively improve the application performance and has been studied a lot in cooperative environments (e.g., private datacenter networks), where fairness is not the primary concern. In non-cooperative environments (e.g., multi-tenant datacenter networks), coflow scheduling should be strategy-proof; otherwise, some tenants could unfairly acquire more resources by cheating the scheduler. As minimizing coflow completion time (CCT) must prioritize coflows based on some specific rules (e.g., shortest-coflow-first, smallest-effective-bottleneck-first), tenants can raise the priority of their coflows by lying about the coflow information. Thus, it is a common belief that optimizing coflow performance can inevitably violate strategy-proofness. In this paper, we argue that the average CCT can be reduced without violating strategy-proofness. Our key insight is that prioritization can inherently achieve better CCT even without those specific rules such as smallest-effective-bottleneck-first. We propose RICH, a coflow scheduler in non-cooperative environments. At its heart, RICH splits the time into multiple rounds. In each round, RICH ensures that the total data transmitted by each tenant can provide optimal isolation guarantee. Among different rounds, RICH prioritizes coflow transmission among tenants in a round-robin manner. In this way, all tenants are fairly prioritized, and tenants do not necessarily gain more bandwidth by cheating. Extensive simulations show that RICH outperforms other strategy-proof mechanisms by up to 39.3% in terms of average CCT. © 2021 Elsevier Ltd",Coflow scheduling; Data-intensive applications; Datacenter networks,Application performance; Co-flow; Coflow scheduling; Completion time; Cooperative environment; Data center networks; Data-intensive application; Non-cooperative; Strategy proofs; Strategy-proofness; Scheduling
