,"0.51*SDG9,0.49*SDG11",1.00*SDG7,1.00*SDG6,"0.84*SDG6,0.16*SDG3",1.00*SDG3,1.00*SDG5,1.00*SDG4,1.00*SDG13,1.00*SDG9,"0.81*SDG1,0.19*SDG10",1.00*SDG15,1.00*SDG11,1.00*SDG12,1.00*SDG16,"0.79*SDG10,0.21*SDG9",1.00*SDG2,1.00*SDG8,1.00*SDG14,"0.39*SDG1,0.35*SDG13,0.26*SDG11"
10,0.515:environmental,0.160:emission,0.134:water quality,0.230:sanitation service,0.203:death,0.159:men,0.178:secondary education,0.214:contribution,0.184:country,0.134:worker,0.165:mountain,0.139:public transport,0.163:instrument,0.149:country,0.181:duty,0.119:wasting,0.135:unemployment rate,0.169:marine resource,0.128:economic loss
11,0.491:approach,0.144:carbon,0.126:sector,0.219:hygiene,0.198:child,0.154:right,0.164:primary education,0.204:nationally,0.165:emission,0.133:inequality,0.160:protected area,0.135:urbanization,0.159:economy,0.145:physical punishment,0.174:country island,0.115:child,0.134:global,0.164:fish,0.127:strategy
12,0.489:public,0.116:energy consumption,0.125:transboundary,0.205:water service,0.174:incidence,0.153:legal,0.155:quality,0.196:convention,0.164:employment,0.120:world,0.146:biodiversity area,0.129:living,0.146:policy,0.145:psychological aggression,0.170:country island developing,0.113:food security,0.130:adult,0.160:environment,0.122:risk reduction strategy
13,0.468:business,0.114:global,0.125:water supply,0.199:defecation,0.166:new,0.153:discrimination,0.153:proficiency,0.193:framework convention,0.160:developed country,0.119:population,0.139:desertification,0.126:public space,0.126:hazardous,0.144:detected,0.152:duty free,0.111:breed,0.128:growth rate,0.152:pollution,0.117:reduction strategy
14,0.454:report,0.113:cooking,0.124:sanitation,0.199:open defecation,0.163:infection,0.139:mutilation,0.146:reading,0.174:global,0.150:infrastructure,0.113:world population,0.123:biodiversity loss,0.124:resident,0.114:material waste,0.134:experienced,0.138:developed country island,0.108:nutritious,0.125:economic growth,0.148:stock,0.113:country
15,0.451:initiative,0.111:fossil,0.122:water efficiency,0.196:lack,0.155:tuberculosis,0.139:genital,0.118:mathematics,0.162:convention climate change,0.141:network,0.105:child,0.120:extinction,0.121:settlement,0.113:waste prevention,0.131:homicide,0.136:income,0.105:food production,0.122:financial,0.144:fishing,0.108:hazard
16,0.424:role,0.110:sector,0.117:integrated water resource,0.169:open,0.150:globally,0.139:female genital,0.114:quality education,0.162:convention climate,0.139:global manufacturing,0.097:vulnerable,0.117:land degradation,0.118:land,0.112:prevention,0.129:income country,0.128:development,0.103:subsidy,0.122:economic,0.140:ocean sea,0.102:local disaster risk
17,0.412:market,0.110:power,0.117:integrated water,0.167:lacked,0.147:death live,0.139:female genital mutilation,0.112:primary secondary education,0.162:framework convention climate,0.134:developing,0.092:le,0.115:freshwater,0.116:urban resident,0.112:generation related policy,0.126:subjected,0.125:free,0.102:sector,0.121:informal,0.138:eutrophication,0.102:local disaster
18,0.406:sector,0.104:clean energy,0.111:efficiency,0.164:population,0.144:mortality,0.139:genital mutilation,0.108:training,0.154:national adaptation,0.128:mobile,0.090:family,0.115:forest area,0.112:living slum,0.112:related policy,0.126:physical,0.124:inequality,0.102:price,0.118:young,0.132:ocean acidification,0.101:natural
19,0.395:transport,0.104:energy energy,0.108:water sector,0.161:safely drinking water,0.142:southern asia,0.138:parliament,0.106:skill,0.152:greenhouse gas,0.127:carbon dioxide,0.086:poverty rate,0.112:wildlife,0.112:world,0.112:generation related,0.124:subjected psychological aggression,0.115:assistance,0.100:export subsidy,0.118:gdp,0.130:overfishing,0.099:country reported
20,0.395:need,0.104:energy sector,0.107:fresh water,0.161:safely drinking,0.140:southern,0.135:equal,0.084:country,0.152:greenhouse,0.127:dioxide,0.084:living extreme poverty,0.110:land area,0.111:convenient access,0.112:trend material waste,0.124:aggression physical,0.108:including,0.096:security,0.118:informal employment,0.125:fish stock,0.097:sendai framework
21,0.392:economic,0.101:access clean,0.105:fresh,0.159:safely sanitation,0.134:region,0.135:sexual,0.081:access,0.148:country,0.126:research development,0.084:living extreme,0.109:conservation,0.111:convenient,0.112:waste generation related,0.124:psychological aggression physical,0.105:flow,0.095:genetic,0.111:decent,0.122:ocean sea marine,0.097:sendai
22,0.380:different,0.100:fossil fuel,0.104:country,0.150:safe,0.127:mortality rate,0.129:practice,0.081:trained,0.148:gas,0.120:northern america,0.077:country,0.104:hectare,0.109:open public,0.112:material waste generation,0.124:aggression physical punishment,0.102:tariff,0.094:world,0.109:working,0.122:sea marine,0.091:event
23,0.374:oecd country,0.099:global energy,0.102:water policy,0.150:sanitation facility,0.124:uninfected,0.127:empowerment,0.080:pre primary,0.141:united framework,0.119:carbon,0.076:poor vulnerable,0.090:degraded,0.109:open public space,0.112:trend material,0.124:subjected psychological,0.100:product,0.093:producer,0.103:annual,0.122:sea marine resource,0.091:framework disaster
24,0.365:country,0.097:fuel technology,0.100:supply sanitation,0.149:sanitation hygiene,0.123:highest,0.127:married,0.080:classroom,0.141:united framework convention,0.115:europe,0.072:lived,0.088:halt,0.108:pollution,0.107:municipal,0.108:violence child,0.097:particular,0.090:food price,0.102:crisis,0.117:marine ecosystem,0.091:framework disaster risk
25,0.362:help,0.096:source,0.100:water supply sanitation,0.148:drinking water service,0.122:live,0.125:child marriage,0.079:level,0.141:united,0.115:research,0.071:coverage,0.084:deforestation,0.106:air pollution,0.103:disposal,0.107:available,0.097:international,0.085:undernourished,0.100:region,0.113:human,0.091:sendai framework disaster
26,0.354:strategy,0.096:modern,0.099:cost,0.144:basic sanitation,0.114:infectious,0.121:unpaid,0.078:teaching,0.135:mitigation,0.115:europe northern,0.069:pension,0.084:natural,0.100:sprawl,0.099:review,0.105:violent,0.097:particular developed country,0.084:overweight,0.098:trade,0.107:ocean resource,0.090:climate related
27,0.351:analysis,0.094:access electricity,0.098:related,0.138:improved,0.114:woman,0.118:country,0.078:learning outcome,0.133:framework,0.115:europe northern america,0.068:poverty reduction,0.081:covered,0.099:safe,0.093:waste waste,0.105:girl,0.097:particular developed,0.082:aid,0.098:men,0.106:biodiversity,0.089:economic
28,0.346:practice,0.093:improvement,0.097:freshwater,0.133:access basic sanitation,0.112:wa,0.109:partner,0.077:child adolescent,0.132:adaptation plan,0.109:sector,0.068:lived extreme poverty,0.080:genetic resource,0.095:access,0.090:related,0.104:comparable,0.092:export,0.080:market,0.096:work,0.106:level,0.085:economic loss disaster
29,0.341:infrastructure,0.086:transition,0.095:chapter,0.128:access basic,0.109:infectious disease,0.102:care,0.077:reading mathematics,0.132:national adaptation plan,0.109:global manufacturing value,0.068:lived extreme,0.079:terrestrial freshwater,0.095:city country,0.090:producer,0.104:justice,0.092:donor,0.078:seed,0.093:income,0.104:global,0.085:loss disaster
30,0.338:open,0.083:reliable,0.094:quality,0.128:lack access,0.102:declined,0.098:violence woman,0.075:basic,0.129:warming,0.106:america,0.068:reduce,0.078:resource,0.093:urban sprawl,0.086:hazardous waste,0.103:physical punishment home,0.092:development assistance,0.075:stunting,0.092:developed,0.103:coastal eutrophication,0.084:national local disaster
31,0.335:tool,0.083:investment,0.092:river,0.125:population safely,0.101:hiv infection,0.095:political,0.075:boy,0.123:national,0.101:reached,0.066:service,0.078:genetic,0.093:dweller,0.085:responsibility,0.103:punishment home,0.090:national,0.074:farmer,0.088:decent work,0.098:protected area,0.080:flood
32,0.329:tax,0.081:gas,0.090:integrated,0.119:soap water,0.101:new hiv,0.095:position,0.073:secondary school,0.123:impact,0.097:northern,0.065:pandemic,0.076:cover,0.092:area,0.084:producer responsibility,0.100:childrens,0.089:country particular,0.072:severe,0.087:child labour,0.096:world,0.079:nhid
33,0.329:social,0.078:renewable energy energy,0.090:financing,0.119:soap,0.101:neonatal,0.094:intimate partner,0.073:pre,0.123:temperature,0.096:region,0.064:live,0.074:sustainable,0.091:planning,0.083:korea,0.100:childrens right,0.087:treatment,0.072:sustainable food,0.087:annual growth,0.095:biologically,0.078:national local
34,0.320:framework,0.078:meet,0.087:water sanitation,0.118:global population,0.094:eastern,0.094:intimate,0.072:enrolment,0.105:carbon,0.095:value added gdp,0.062:poverty ha,0.072:earth,0.090:proportion,0.082:examined,0.097:child subjected psychological,0.085:duty free treatment,0.071:end,0.087:aid trade,0.095:protected,0.076:national
35,0.318:housing,0.077:consumption,0.080:water security,0.109:basic drinking,0.093:fell,0.093:gender inequality,0.072:sub saharan,0.105:greenhouse gas emission,0.095:added gdp,0.062:disability,0.071:effort,0.087:solid,0.079:trend,0.097:child subjected,0.085:free treatment,0.069:hunger malnutrition,0.086:pay,0.095:biologically sustainable,0.074:direct
36,0.313:focus,0.075:coal,0.078:pollution,0.109:basic drinking water,0.089:reproductive,0.091:empowerment woman,0.072:saharan,0.105:gas emission,0.094:development,0.061:job,0.071:management,0.082:open,0.078:construction,0.096:violation,0.085:access,0.068:food producer,0.085:financial service,0.094:conservation,0.073:country reported progress
37,0.313:growth,0.072:affordable reliable,0.075:ecosystem,0.108:handwashing facility,0.086:malaria,0.091:law,0.071:outcome,0.103:plan,0.093:dioxide emission,0.061:reduction,0.066:sustainably,0.082:walking,0.077:effectiveness,0.096:woman,0.082:increase,0.068:end hunger,0.083:pay gap,0.092:dioxide,0.073:reported progress
38,0.310:study,0.070:affordable,0.074:wastewater,0.108:handwashing,0.086:estimated,0.089:gap,0.071:young,0.103:goal,0.093:carbon dioxide emission,0.061:rate,0.065:animal,0.081:growth,0.076:extended producer responsibility,0.095:low,0.081:country developing,0.066:hungry,0.081:country,0.092:carbon dioxide,0.072:related
39,0.308:potential,0.067:growth,0.074:ha,0.103:service lack,0.085:ha,0.088:national parliament,0.069:school child,0.102:reduction,0.093:researcher,0.060:live extreme poverty,0.065:plant,0.080:sustainable,0.076:extended producer,0.093:forced,0.080:developing country particular,0.065:nearly,0.079:wage,0.090:impact,0.071:country territory
40,0.305:inclusive,0.066:demand,0.073:disbursement,0.103:health,0.084:central,0.088:participation,0.069:sub,0.101:global warming,0.086:developing country,0.060:live extreme,0.064:loss forest,0.080:convenient access public,0.073:landfill,0.092:middle,0.078:technology,0.065:chain,0.078:ha,0.090:sustainably,0.071:number
41,0.303:indicator,0.066:energy source,0.073:irrigation,0.102:water source,0.082:worldwide,0.081:legal framework,0.067:scholarship,0.098:level,0.084:global gdp,0.060:ha,0.064:protecting,0.080:access public transport,0.073:encourage,0.091:middle income,0.078:money,0.064:affected,0.077:global unemployment rate,0.090:jurisdiction,0.070:internationally
42,0.300:process,0.064:rate improvement,0.072:implementation,0.101:safely sanitation service,0.082:new hiv infection,0.081:aged,0.066:africa,0.096:sea level,0.083:manufacturing production,0.060:global poverty,0.062:area covered,0.080:access public,0.072:extended,0.089:low middle,0.077:financial,0.063:plant,0.077:global unemployment,0.090:national jurisdiction,0.070:territory
43,0.297:better,0.062:supply,0.072:level,0.101:adequate,0.081:adolescent rate,0.080:physical sexual,0.065:ensure,0.096:ratified paris,0.082:compared,0.058:majority,0.062:poaching,0.079:solid waste,0.071:encourage waste,0.089:low middle income,0.073:migration,0.063:food waste,0.076:training,0.089:area,0.069:risk management
44,0.290:provides,0.061:access energy,0.069:lake,0.100:lacked basic,0.079:central southern asia,0.079:harmful,0.065:educational,0.096:ratified paris agreement,0.082:technology,0.057:worker living,0.061:poaching trafficking,0.079:street,0.071:economic instrument,0.089:experienced sexual,0.073:accordance,0.063:sustainable food production,0.075:inclusive,0.089:scale fishery,0.068:natural hazard
45,0.287:term,0.061:wind,0.068:challenge,0.095:equitable,0.078:central southern,0.079:time,0.062:literacy,0.094:secretariat,0.081:researcher inhabitant,0.056:poverty world,0.061:term,0.079:eastern,0.070:reform,0.087:home,0.072:bank,0.062:zero hunger,0.074:gap,0.089:percent,0.067:direct economic
46,0.282:governance,0.061:primary energy,0.066:related ecosystem,0.095:access water,0.078:period,0.076:norm,0.062:primary secondary school,0.093:sea,0.080:covered,0.055:reduce poverty,0.060:invasive,0.077:urban area,0.070:moving circular economy,0.084:exploitation,0.072:migrant,0.062:prevalence,0.073:secure,0.089:sustainable ocean,0.066:income country
47,0.281:economy,0.061:need,0.066:water related ecosystem,0.094:disease,0.075:neonatal mortality,0.076:harmful practice,0.062:early,0.092:record,0.079:inhabitant,0.053:contributory,0.060:world,0.073:grow,0.070:moving circular,0.080:human trafficking,0.072:developed country developing,0.062:livestock,0.072:access financial service,0.086:reef,0.065:direct economic loss
48,0.273:service,0.059:sustainable energy,0.065:increase,0.094:access safe,0.074:aged,0.075:social,0.061:equitable quality,0.090:resilience,0.079:economic,0.052:group,0.059:sharing,0.073:number,0.069:municipal waste,0.080:access justice,0.072:country accordance,0.061:agricultural productivity,0.070:access financial,0.085:marine pollution,0.065:climate
49,0.271:open government,0.059:modern energy,0.062:aquifer,0.092:progress,0.074:eastern asia,0.075:girl woman,0.061:compulsory,0.088:report,0.079:wa,0.052:need,0.059:soil,0.072:urban population living,0.069:chapter overview,0.079:childrens right violation,0.071:cost,0.060:investment,0.070:labour market,0.084:biologically sustainable level,0.064:plan
