,"0.51*SDG9,0.49*SDG11",1.00*SDG7,1.00*SDG6,"0.82*SDG6,0.18*SDG3",1.00*SDG3,1.00*SDG5,1.00*SDG4,1.00*SDG13,1.00*SDG9,"0.81*SDG1,0.19*SDG10",1.00*SDG15,1.00*SDG11,1.00*SDG12,1.00*SDG16,1.00*SDG2,1.00*SDG8,1.00*SDG14,1.00*SDG10
19,0.347:transport,0.100:clean energy,0.104:water sector,0.149:safely drinking water,0.137:sub,0.132:genital,0.113:quality education,0.139:national,0.126:carbon dioxide,0.085:family,0.110:wildlife,0.106:living slum,0.131:domestic,0.116:national,0.099:export subsidy,0.111:gdp,0.108:overfishing,0.124:inequality
20,0.347:sector,0.100:energy sector,0.103:fresh water,0.149:safely drinking,0.137:incidence,0.129:parliament,0.111:africa,0.137:convention climate change,0.124:mobile,0.084:country,0.107:land area,0.103:world,0.130:natural,0.116:right institution,0.095:producer,0.110:informal employment,0.103:fish stock,0.120:including
21,0.343:economic,0.098:access clean,0.101:fresh,0.147:safely sanitation,0.136:adolescent,0.129:married,0.110:primary secondary education,0.137:framework convention climate,0.123:research development,0.082:poverty rate,0.107:conservation,0.103:convenient access,0.115:company,0.116:national human,0.095:world,0.107:region,0.101:ocean sea marine,0.112:flow
22,0.329:different,0.096:fossil fuel,0.099:water policy,0.142:safe,0.135:sub saharan africa,0.126:equal,0.100:training,0.137:convention climate,0.121:northern america,0.080:living extreme,0.102:hectare,0.103:convenient,0.114:economic,0.116:human right institution,0.093:security,0.102:working,0.101:sea marine resource,0.110:international
23,0.326:country,0.095:global energy,0.098:country,0.142:sanitation hygiene,0.135:saharan africa,0.124:child marriage,0.100:skill,0.137:framework,0.118:carbon,0.080:living extreme poverty,0.088:degraded,0.103:pollution,0.102:growth,0.116:national human right,0.093:genetic,0.101:decent,0.101:sea marine,0.109:particular
24,0.317:oecd country,0.094:fuel technology,0.096:water supply sanitation,0.141:sanitation facility,0.132:africa,0.120:practice,0.100:sub saharan africa,0.137:resilience,0.115:europe,0.077:reduction,0.086:halt,0.102:open public space,0.098:decoupling,0.113:aggression,0.093:undernourished,0.098:annual,0.097:marine ecosystem,0.107:product
25,0.316:help,0.094:source,0.096:supply sanitation,0.137:drinking water service,0.126:vaccine,0.116:empowerment,0.100:saharan africa,0.136:national adaptation,0.114:europe northern america,0.073:poor vulnerable,0.083:natural,0.102:open public,0.094:global,0.112:punishment,0.090:food price,0.097:crisis,0.096:human,0.105:tariff
26,0.303:practice,0.093:modern,0.094:related,0.135:basic sanitation,0.124:globally,0.113:country,0.083:trained,0.135:global,0.114:europe northern,0.070:pension,0.082:deforestation,0.102:air pollution,0.089:economic growth,0.112:psychological,0.089:overweight,0.095:income,0.090:global,0.103:national
27,0.303:analysis,0.092:access electricity,0.094:cost,0.134:health,0.121:neonatal,0.112:unpaid,0.083:rate,0.129:greenhouse,0.111:research,0.068:lived,0.080:covered,0.102:planning,0.089:convention,0.110:income country,0.083:aid,0.093:men,0.089:biodiversity,0.103:particular developed
28,0.300:strategy,0.089:improvement,0.094:freshwater,0.131:improved,0.119:reproductive,0.109:partner,0.083:child adolescent,0.129:greenhouse gas,0.107:america,0.067:coverage,0.079:genetic resource,0.101:safe,0.085:development,0.110:income,0.079:market,0.091:trade,0.089:level,0.103:particular developed country
29,0.300:open,0.084:transition,0.092:chapter,0.124:access basic sanitation,0.113:health care,0.095:intimate,0.080:access,0.127:mitigation,0.106:global manufacturing value,0.065:disability,0.078:resource,0.095:area,0.078:mineral,0.108:physical punishment,0.079:stunting,0.088:work,0.088:ocean resource,0.100:development assistance
30,0.297:social,0.081:gas,0.089:river,0.119:lack access,0.112:coverage,0.095:intimate partner,0.080:level,0.125:gas,0.106:sector,0.064:reduce,0.078:terrestrial freshwater,0.093:access,0.076:national,0.108:psychological aggression,0.075:seed,0.088:developed,0.085:coastal eutrophication,0.100:access
31,0.295:infrastructure,0.080:investment,0.089:integrated,0.119:access basic,0.110:mental,0.094:violence woman,0.079:reading mathematics,0.121:united framework,0.105:region,0.064:rate,0.077:genetic,0.091:sprawl,0.075:framework programme,0.106:conflict,0.075:farmer,0.082:child labour,0.081:world,0.098:donor
32,0.292:tool,0.080:reliable,0.089:quality,0.115:population safely,0.110:hepatitis,0.090:care,0.079:country,0.121:united framework convention,0.100:northern,0.064:poverty reduction,0.074:cover,0.090:number,0.075:programme sustainable,0.104:detected,0.073:severe,0.082:annual growth,0.081:protected area,0.097:country particular
33,0.283:inclusive,0.075:renewable energy energy,0.087:financing,0.113:global population,0.108:treatment,0.088:position,0.078:secondary school,0.118:strategy,0.099:reached,0.063:pandemic,0.072:sustainable,0.089:dweller,0.075:programme sustainable consumption,0.103:sub saharan,0.072:sustainable food,0.081:decent work,0.079:biologically,0.095:export
34,0.279:tax,0.075:meet,0.084:water sanitation,0.111:disease,0.107:global,0.088:political,0.077:pre primary,0.116:united,0.094:carbon dioxide emission,0.063:lived extreme poverty,0.071:earth,0.089:city country,0.075:framework programme sustainable,0.103:saharan,0.070:end,0.081:aid trade,0.078:protected,0.090:treatment
35,0.278:framework,0.075:consumption,0.077:water security,0.110:soap water,0.107:ha,0.086:aged,0.076:classroom,0.115:plan,0.094:dioxide emission,0.063:lived extreme,0.070:management,0.089:proportion,0.074:framework,0.103:saharan africa,0.069:food producer,0.080:pay,0.078:biologically sustainable,0.088:increase
36,0.274:housing,0.072:coal,0.074:pollution,0.110:soap,0.106:infectious,0.085:law,0.075:basic,0.115:disaster risk reduction,0.093:added gdp,0.063:live,0.069:effort,0.086:urban sprawl,0.074:metric metric,0.103:sub saharan africa,0.068:hunger malnutrition,0.079:financial service,0.077:conservation,0.088:free treatment
37,0.272:focus,0.070:affordable reliable,0.073:ha,0.101:basic drinking water,0.105:wa,0.085:gender inequality,0.074:learning outcome,0.112:risk reduction,0.093:value added gdp,0.059:global poverty,0.065:sustainably,0.083:eastern,0.074:taking,0.102:principle,0.068:nearly,0.078:ha,0.077:dioxide,0.088:duty free treatment
38,0.270:growth,0.067:affordable,0.072:ecosystem,0.101:basic drinking,0.104:infection,0.084:empowerment woman,0.073:teaching,0.111:impact,0.093:researcher,0.059:service,0.064:plant,0.082:solid,0.074:resource efficiency,0.101:sub,0.068:affected,0.078:pay gap,0.077:carbon dioxide,0.086:financial
39,0.268:study,0.066:growth,0.071:wastewater,0.099:handwashing,0.104:risk,0.082:national parliament,0.072:adolescent,0.109:national adaptation plan,0.090:development,0.058:ha,0.064:animal,0.079:sustainable,0.073:sustainable development,0.101:available,0.067:globally,0.078:country,0.076:impact,0.085:developing country particular
40,0.266:process,0.064:demand,0.070:disbursement,0.099:handwashing facility,0.103:neonatal mortality,0.081:participation,0.072:young,0.109:adaptation plan,0.084:developing country,0.058:poverty ha,0.062:protecting,0.078:open,0.072:national policy,0.094:latin america,0.067:end hunger,0.077:wage,0.075:sustainably,0.084:country developing
41,0.265:service,0.064:energy source,0.070:level,0.096:service lack,0.103:number,0.081:gap,0.071:pre,0.101:warming,0.082:global gdp,0.057:economic,0.062:loss forest,0.076:access public transport,0.070:country,0.093:information,0.066:hungry,0.074:global unemployment,0.074:jurisdiction,0.083:accordance
42,0.264:potential,0.062:rate improvement,0.070:irrigation,0.095:water source,0.102:infectious disease,0.079:physical sexual,0.071:boy,0.097:loss,0.082:wa,0.056:job,0.061:area covered,0.076:convenient access public,0.068:footprint developing,0.092:aggression physical punishment,0.064:sustainable food production,0.074:global unemployment rate,0.074:national jurisdiction,0.083:technology
43,0.260:better,0.060:need,0.070:implementation,0.094:adequate,0.100:declined,0.077:legal framework,0.071:enrolment,0.095:temperature,0.081:manufacturing production,0.056:live extreme poverty,0.061:term,0.076:access public,0.067:degradation,0.092:aggression physical,0.064:fell,0.070:globally,0.074:area,0.080:money
44,0.257:indicator,0.060:supply,0.066:lake,0.093:safely sanitation service,0.100:new,0.076:time,0.068:primary secondary school,0.093:hazard,0.081:compared,0.056:live extreme,0.060:poaching,0.075:walking,0.067:developing,0.092:subjected psychological,0.063:prevalence,0.070:training,0.073:scale fishery,0.078:bank
45,0.256:governance,0.059:access energy,0.066:challenge,0.092:lacked basic,0.099:worldwide,0.074:harmful,0.067:scholarship,0.092:risk reduction strategy,0.080:researcher inhabitant,0.055:majority,0.060:poaching trafficking,0.075:street,0.067:decoupling economic,0.092:psychological aggression physical,0.063:chain,0.070:gap,0.073:percent,0.077:migration
46,0.250:term,0.059:wind,0.064:water related ecosystem,0.091:progress,0.097:cause,0.073:norm,0.066:school child,0.090:related,0.079:technology,0.054:worker living,0.059:invasive,0.075:solid waste,0.067:decoupling economic growth,0.092:subjected psychological aggression,0.062:livestock,0.068:woman,0.073:sustainable ocean,0.076:cost
47,0.248:provides,0.058:primary energy,0.064:related ecosystem,0.090:care,0.095:mental health,0.072:progress,0.066:outcome,0.090:gas emission,0.078:inhabitant,0.052:poverty world,0.059:world,0.074:south,0.066:extraction,0.091:latin,0.062:zero hunger,0.067:secure,0.071:change,0.075:migrant
48,0.242:economy,0.057:required,0.063:increase,0.090:access water,0.095:neglected,0.072:harmful practice,0.063:girl,0.090:greenhouse gas emission,0.078:covered,0.052:reduce poverty,0.059:sharing,0.071:growth,0.064:production consumption,0.091:violent,0.062:food waste,0.067:access financial service,0.071:reef,0.075:country accordance
49,0.237:open government,0.057:sustainable energy,0.060:aquifer,0.089:access safe,0.094:maternal mortality,0.071:girl woman,0.060:educational,0.089:level,0.077:developed region,0.051:contributory,0.058:risk,0.070:urban area,0.063:metallic,0.091:freedom,0.061:plant,0.067:inclusive,0.070:marine pollution,0.075:developed country developing
