,"0.51*SDG9,0.49*SDG11",1.00*SDG7,1.00*SDG6,"0.84*SDG6,0.16*SDG3",1.00*SDG3,1.00*SDG5,1.00*SDG4,1.00*SDG13,1.00*SDG10,"0.80*SDG1,0.20*SDG10","0.62*SDG14,0.38*SDG15",1.00*SDG11,1.00*SDG12,1.00*SDG16,1.00*SDG2,1.00*SDG8,1.00*SDG9,"0.39*SDG1,0.35*SDG13,0.26*SDG11"
14,0.424:report,0.110:cooking,0.121:sanitation,0.196:open defecation,0.157:infection,0.147:discrimination,0.146:reading,0.165:global,0.148:income,0.112:world population,0.135:marine environment,0.125:public space,0.114:material waste,0.157:trafficking,0.111:child,0.124:economic growth,0.164:infrastructure,0.111:country
15,0.421:initiative,0.108:sector,0.120:water efficiency,0.192:lack,0.148:globally,0.136:genital,0.117:mathematics,0.154:convention climate,0.148:developed country island,0.110:child,0.127:sea,0.123:resident,0.114:waste prevention,0.148:homicide,0.106:nutritious,0.122:informal,0.155:network,0.107:hazard
16,0.405:role,0.108:power,0.115:integrated water,0.167:open,0.147:tuberculosis,0.136:female genital mutilation,0.114:quality education,0.154:convention climate change,0.136:free,0.096:vulnerable,0.122:loss,0.120:settlement,0.113:prevention,0.132:national,0.104:food production,0.122:financial,0.152:global manufacturing,0.102:natural
17,0.387:market,0.107:fossil,0.115:integrated water resource,0.165:lacked,0.147:death live,0.136:female genital,0.112:primary secondary education,0.154:framework convention climate,0.136:inequality,0.091:le,0.118:conservation,0.116:urban resident,0.113:generation related,0.131:access,0.102:sector,0.121:economic,0.146:developing,0.097:local disaster risk
18,0.386:sector,0.102:clean energy,0.110:efficiency,0.161:population,0.143:mortality,0.136:mutilation,0.108:training,0.146:national adaptation,0.133:development,0.090:family,0.108:fish,0.113:world,0.113:generation related policy,0.131:national human,0.100:export subsidy,0.119:young,0.141:mobile,0.097:local disaster
19,0.373:transport,0.102:energy sector,0.106:water sector,0.158:safely drinking,0.140:southern asia,0.136:genital mutilation,0.106:skill,0.144:greenhouse gas,0.123:assistance,0.085:poverty rate,0.107:acidification,0.111:living slum,0.113:waste generation related,0.131:national human right,0.099:price,0.118:informal employment,0.139:dioxide,0.094:country reported
20,0.372:economic,0.102:energy energy,0.105:fresh water,0.158:safely drinking water,0.138:southern,0.133:parliament,0.085:country,0.144:greenhouse,0.114:including,0.083:living extreme poverty,0.102:marine resource,0.110:convenient,0.113:trend material,0.131:human right institution,0.098:subsidy,0.118:gdp,0.139:carbon dioxide,0.092:sendai framework
21,0.371:need,0.099:access clean,0.103:country,0.156:safely sanitation,0.129:region,0.130:equal,0.081:trained,0.141:country,0.113:flow,0.083:living extreme,0.101:environment,0.110:convenient access,0.113:trend material waste,0.131:right institution,0.095:security,0.110:decent,0.138:research development,0.092:sendai
22,0.362:different,0.097:global energy,0.103:fresh,0.148:sanitation facility,0.125:mortality rate,0.124:married,0.081:access,0.140:gas,0.109:tariff,0.078:country,0.099:stock,0.109:open public space,0.113:related policy,0.128:sexual violence,0.093:world,0.109:working,0.131:northern america,0.088:event
23,0.354:oecd country,0.096:fossil fuel,0.101:water policy,0.148:safe,0.123:live,0.124:practice,0.080:pre primary,0.136:united,0.109:international,0.075:poor vulnerable,0.098:degradation,0.109:open public,0.113:material waste generation,0.120:principle,0.092:producer,0.104:annual,0.130:carbon,0.086:sendai framework disaster
24,0.350:country,0.095:source,0.098:water supply sanitation,0.146:sanitation hygiene,0.120:highest,0.123:child marriage,0.079:classroom,0.134:united framework convention,0.104:particular,0.071:lived,0.096:pollution,0.108:area,0.108:municipal,0.119:aggression,0.089:food price,0.103:crisis,0.127:research,0.086:framework disaster
25,0.340:strategy,0.095:fuel technology,0.098:supply sanitation,0.146:drinking water service,0.119:uninfected,0.121:empowerment,0.079:level,0.134:united framework,0.104:particular developed country,0.071:coverage,0.096:biodiversity area,0.105:air pollution,0.100:review,0.118:punishment,0.083:overweight,0.101:income,0.126:europe,0.086:framework disaster risk
26,0.336:open,0.095:modern,0.098:cost,0.142:basic sanitation,0.114:woman,0.119:country,0.078:teaching,0.128:mitigation,0.104:particular developed,0.069:pension,0.094:global,0.105:pollution,0.100:disposal,0.118:psychological,0.083:undernourished,0.100:region,0.126:europe northern,0.086:climate related
27,0.333:analysis,0.093:access electricity,0.097:freshwater,0.136:improved,0.110:wa,0.116:unpaid,0.078:learning outcome,0.125:framework,0.103:product,0.068:poverty reduction,0.094:terrestrial,0.099:sprawl,0.093:waste waste,0.118:conflict,0.082:market,0.099:men,0.126:europe northern america,0.082:economic
28,0.332:help,0.091:improvement,0.096:related,0.131:access basic sanitation,0.110:infectious,0.112:partner,0.077:child adolescent,0.125:adaptation plan,0.101:national,0.067:lived extreme,0.093:fishing,0.098:safe,0.091:related,0.113:physical punishment,0.081:aid,0.098:trade,0.120:sector,0.081:loss disaster
29,0.321:infrastructure,0.085:transition,0.093:chapter,0.125:lack access,0.105:infectious disease,0.098:intimate partner,0.077:reading mathematics,0.125:national adaptation plan,0.099:donor,0.067:lived extreme poverty,0.092:human,0.095:access,0.091:producer,0.113:psychological aggression,0.081:seed,0.096:work,0.119:global manufacturing value,0.081:economic loss disaster
30,0.321:practice,0.082:investment,0.093:quality,0.125:access basic,0.100:declined,0.098:intimate,0.076:boy,0.123:warming,0.098:export,0.067:reduce,0.090:sustainably,0.094:city country,0.086:responsibility,0.110:information,0.081:land,0.091:developed,0.116:america,0.079:national local disaster
31,0.315:social,0.082:reliable,0.091:river,0.123:population safely,0.100:neonatal,0.097:violence woman,0.075:basic,0.118:temperature,0.098:development assistance,0.064:service,0.089:world,0.093:urban sprawl,0.085:producer responsibility,0.110:public,0.080:plant,0.088:decent work,0.111:reached,0.079:flood
32,0.313:tax,0.080:gas,0.089:integrated,0.117:soap,0.098:hiv infection,0.097:care,0.073:secondary school,0.117:national,0.096:country particular,0.064:pandemic,0.084:management,0.093:dweller,0.083:korea,0.110:income country,0.073:farmer,0.088:child labour,0.106:northern,0.075:national local
33,0.309:framework,0.076:renewable energy energy,0.089:financing,0.117:soap water,0.098:new hiv,0.091:position,0.073:pre,0.116:impact,0.094:treatment,0.063:live,0.084:ocean sea,0.091:planning,0.083:examined,0.109:available,0.072:stunting,0.087:annual growth,0.104:added gdp,0.075:nhid
34,0.307:tool,0.076:meet,0.086:water sanitation,0.116:global population,0.091:fell,0.090:political,0.072:sub saharan,0.103:carbon,0.093:access,0.062:poverty ha,0.082:eutrophication,0.091:proportion,0.081:trend,0.107:detected,0.072:severe,0.087:aid trade,0.104:value added gdp,0.073:country territory
35,0.299:housing,0.073:coal,0.078:water security,0.107:basic drinking water,0.088:eastern,0.088:gender inequality,0.072:saharan,0.099:greenhouse gas emission,0.091:free treatment,0.061:disability,0.081:mountain,0.086:solid,0.080:hazardous waste,0.107:income,0.071:sustainable food,0.086:pay,0.104:development,0.073:national
36,0.297:focus,0.073:consumption,0.078:pollution,0.107:basic drinking,0.087:reproductive,0.087:law,0.072:enrolment,0.099:gas emission,0.091:duty free treatment,0.061:job,0.080:fish stock,0.081:walking,0.078:effectiveness,0.106:freedom,0.070:end,0.086:financial service,0.104:region,0.073:territory
37,0.296:growth,0.071:affordable reliable,0.075:ecosystem,0.106:handwashing facility,0.085:estimated,0.087:empowerment woman,0.071:young,0.099:goal,0.087:country developing,0.060:ha,0.079:ocean acidification,0.081:open,0.077:extended producer responsibility,0.105:society,0.070:affected,0.084:country,0.102:dioxide emission,0.071:direct
38,0.294:study,0.069:affordable,0.074:ha,0.106:handwashing,0.083:ha,0.084:national parliament,0.071:outcome,0.098:plan,0.086:developing country particular,0.060:reduction,0.079:overfishing,0.080:sustainable,0.077:extended producer,0.105:compliant,0.068:hunger malnutrition,0.083:pay gap,0.102:carbon dioxide emission,0.069:reported progress
39,0.288:potential,0.068:growth,0.073:wastewater,0.101:health,0.082:malaria,0.084:participation,0.069:school child,0.096:global warming,0.085:increase,0.060:global poverty,0.077:earth,0.080:eastern,0.076:construction,0.100:access information,0.068:nearly,0.081:wage,0.102:researcher,0.069:country reported progress
40,0.286:process,0.065:demand,0.072:disbursement,0.101:service lack,0.082:central,0.084:gap,0.069:sub,0.096:reduction,0.084:financial,0.060:rate,0.076:livelihood,0.080:convenient access public,0.074:landfill,0.099:violent,0.067:food producer,0.079:ha,0.094:developing country,0.069:related
41,0.285:inclusive,0.065:energy source,0.071:irrigation,0.100:water source,0.081:worldwide,0.084:aged,0.067:scholarship,0.094:level,0.084:money,0.060:live extreme,0.075:marine ecosystem,0.080:access public,0.072:encourage,0.097:proportion,0.067:animal,0.078:global unemployment rate,0.092:global gdp,0.068:internationally
42,0.282:indicator,0.063:rate improvement,0.071:implementation,0.100:safely sanitation service,0.079:new hiv infection,0.081:physical sexual,0.067:africa,0.093:sea,0.083:technology,0.060:live extreme poverty,0.074:level,0.080:access public transport,0.072:extended,0.097:psychological aggression physical,0.067:end hunger,0.078:global unemployment,0.091:manufacturing production,0.067:number
43,0.277:governance,0.060:supply,0.071:level,0.099:adequate,0.079:adolescent rate,0.079:legal framework,0.065:educational,0.093:sea level,0.081:migration,0.059:majority,0.073:extinction,0.080:street,0.072:encourage waste,0.097:aggression physical,0.066:access,0.076:training,0.091:technology,0.067:natural hazard
44,0.276:better,0.060:access energy,0.068:lake,0.098:lacked basic,0.077:central southern asia,0.079:time,0.063:ensure,0.091:ratified paris,0.079:cost,0.057:worker living,0.073:sea marine resource,0.079:growth,0.071:economic instrument,0.097:aggression physical punishment,0.066:livestock,0.074:gap,0.090:compared,0.065:risk management
45,0.275:economy,0.060:wind,0.067:challenge,0.094:access water,0.076:period,0.076:harmful,0.062:early,0.091:ratified paris agreement,0.078:bank,0.055:poverty world,0.073:sea marine,0.079:solid waste,0.071:moving circular,0.097:subjected psychological,0.064:increase,0.073:secure,0.088:researcher inhabitant,0.064:direct economic
46,0.274:provides,0.060:primary energy,0.065:water related ecosystem,0.093:equitable,0.076:central southern,0.074:harmful practice,0.062:primary secondary school,0.089:secretariat,0.078:migrant,0.055:reduce poverty,0.073:ocean sea marine,0.076:urban area,0.071:moving circular economy,0.097:subjected psychological aggression,0.064:hungry,0.073:inclusive,0.088:covered,0.063:income country
47,0.270:term,0.059:need,0.065:related ecosystem,0.092:disease,0.075:neonatal mortality,0.074:progress,0.062:literacy,0.088:record,0.078:country accordance,0.053:contributory,0.073:cover,0.073:grow,0.070:reform,0.096:paris principle,0.063:sustainable food production,0.072:access financial service,0.087:inhabitant,0.062:direct economic loss
48,0.267:open government,0.058:sustainable energy,0.064:increase,0.092:access safe,0.073:aged,0.073:norm,0.061:equitable quality,0.086:resilience,0.077:developed country developing,0.052:household,0.068:desertification,0.072:south,0.070:municipal waste,0.095:subjected,0.062:diversity,0.071:labour market,0.086:transport,0.062:plan
49,0.264:service,0.058:economic,0.061:aquifer,0.091:progress,0.073:northern,0.073:girl woman,0.060:compulsory,0.084:report,0.077:accordance,0.051:group,0.066:biodiversity loss,0.072:number,0.069:review effectiveness,0.094:killed,0.061:chain,0.071:access financial,0.086:wa,0.062:climate
