,"0.52*SDG9,0.48*SDG11",1.00*SDG7,1.00*SDG6,"0.84*SDG6,0.16*SDG3",1.00*SDG14,1.00*SDG5,1.00*SDG3,1.00*SDG4,1.00*SDG13,"0.79*SDG1,0.21*SDG10",1.00*SDG15,1.00*SDG12,1.00*SDG11,"0.74*SDG9,0.26*SDG10","0.85*SDG16,0.15*SDG10",1.00*SDG2,"0.65*SDG3,0.35*SDG11",1.00*SDG8,"0.86*SDG12,0.14*SDG11"
10,0.487:public,0.157:access,0.136:water quality,0.186:sanitation service,0.243:marine resource,0.188:sexual,0.199:adolescent,0.176:primary secondary,0.160:action,0.147:inequality,0.175:protected area,0.283:material footprint,0.142:disaster,0.221:manufacturing value,0.164:territory,0.116:nutrition,0.207:result,0.129:global,0.132:instrument
11,0.481:business,0.141:carbon,0.123:transboundary,0.176:hygiene,0.242:fishing,0.180:work,0.179:death,0.164:primary education,0.154:risk,0.126:worker,0.163:mountain,0.237:domestic material consumption,0.138:public transport,0.190:gdp,0.163:country territory,0.112:wasting,0.204:approach,0.123:growth rate,0.128:economy
12,0.474:support,0.113:global,0.122:sector,0.164:water service,0.238:fish,0.175:discrimination,0.145:incidence,0.153:quality,0.145:nationally contribution,0.123:population,0.161:conservation,0.237:domestic material,0.129:settlement,0.189:industry,0.146:sexual,0.109:breed,0.200:application,0.122:unemployment rate,0.123:policy
13,0.427:initiative,0.107:energy consumption,0.120:water supply,0.159:defecation,0.223:environment,0.174:legal,0.143:globally,0.151:proficiency,0.137:contribution,0.121:world,0.147:biodiversity area,0.183:natural resource,0.125:urbanization,0.149:infrastructure,0.142:trafficking,0.108:child,0.198:machine,0.120:income,0.102:hazardous
14,0.401:sector,0.105:fossil,0.119:water efficiency,0.159:open defecation,0.223:pollution,0.173:right,0.138:southern asia,0.144:reading,0.134:nationally,0.120:country,0.137:desertification,0.182:consumption production pattern,0.120:living,0.143:development,0.134:access justice,0.105:subsidy,0.197:neural network,0.117:adult,0.093:material waste
15,0.401:role,0.104:sector,0.118:country,0.154:lack,0.213:stock,0.159:genital,0.138:infection,0.117:mathematics,0.130:reduction,0.113:world population,0.126:biodiversity loss,0.180:production pattern,0.113:public space,0.134:global,0.127:national,0.105:sector,0.196:neural,0.116:economic growth,0.092:waste prevention
16,0.389:report,0.104:cooking,0.117:sanitation,0.134:population,0.199:ocean sea,0.159:genital mutilation,0.136:new,0.115:quality education,0.128:framework convention,0.111:disaster,0.120:freshwater,0.177:environmental,0.108:resident,0.128:island,0.120:homicide,0.104:security,0.192:prediction,0.116:financial,0.092:prevention
17,0.378:need,0.097:power,0.116:integrated water,0.133:lacked,0.197:eutrophication,0.159:mutilation,0.136:southern,0.112:primary secondary education,0.126:convention,0.110:child,0.119:extinction,0.172:pattern,0.104:land,0.126:island developing state,0.119:income,0.104:nutritious,0.191:process,0.114:economic,0.091:generation related
18,0.376:economic,0.097:clean energy,0.116:integrated water resource,0.129:safely drinking,0.189:ocean acidification,0.159:female genital mutilation,0.133:region,0.106:country,0.119:national,0.101:vulnerable,0.116:land degradation,0.167:domestic,0.102:safe,0.126:island developing,0.118:access,0.102:food production,0.189:research,0.113:informal,0.091:generation related policy
19,0.360:open,0.096:energy sector,0.110:efficiency,0.129:safely drinking water,0.189:overfishing,0.159:female genital,0.126:death live,0.105:skill,0.113:national adaptation,0.091:le,0.116:forest area,0.165:metric,0.100:urban resident,0.126:developing state,0.109:human right institution,0.101:price,0.189:intelligence,0.109:gdp,0.091:waste generation related
20,0.355:technology,0.095:energy energy,0.108:freshwater,0.128:open,0.183:conservation,0.156:parliament,0.126:tuberculosis,0.105:training,0.108:disaster risk,0.091:family,0.113:wildlife,0.161:natural,0.098:pollution,0.112:employment,0.109:national human,0.098:export subsidy,0.187:deep,0.108:country,0.091:material waste generation
21,0.353:approach,0.094:fossil fuel,0.107:water security,0.127:safely sanitation,0.182:fish stock,0.154:equal,0.119:mortality,0.089:teaching,0.107:global,0.086:poverty rate,0.110:land area,0.142:economic,0.098:living slum,0.107:state,0.109:right institution,0.096:world,0.180:paper,0.108:informal employment,0.091:trend material waste
22,0.352:market,0.093:access clean,0.107:water sector,0.120:safe,0.174:sea marine,0.147:country,0.115:highest,0.084:access,0.106:framework convention climate,0.084:living extreme poverty,0.102:hectare,0.140:company,0.097:planning,0.105:research,0.109:national human right,0.092:producer,0.173:artificial intelligence,0.107:young,0.091:related policy
23,0.349:help,0.091:global energy,0.106:fresh water,0.120:sanitation facility,0.174:sea marine resource,0.145:married,0.109:live,0.079:pre primary,0.106:convention climate change,0.084:living extreme,0.090:degraded,0.125:growth,0.095:world,0.105:country island,0.106:principle,0.092:genetic,0.171:image,0.100:wage,0.091:trend material
24,0.334:social,0.090:source,0.102:quality,0.120:sanitation hygiene,0.174:ocean sea marine,0.144:child marriage,0.107:wa,0.079:classroom,0.106:convention climate,0.082:reduction,0.088:halt,0.122:decoupling,0.094:convenient,0.103:country island developing,0.104:sexual violence,0.088:food price,0.166:machine learning,0.100:decent,0.088:municipal
25,0.318:oecd country,0.089:fuel technology,0.102:fresh,0.118:drinking water service,0.168:marine ecosystem,0.144:practice,0.107:mortality rate,0.078:level,0.105:resilience,0.078:poor vulnerable,0.085:genetic,0.119:global,0.094:convenient access,0.103:research development,0.103:income country,0.083:market,0.165:analysis,0.098:working,0.085:disposal
26,0.313:governance,0.089:modern,0.101:water policy,0.115:basic sanitation,0.164:human,0.141:empowerment,0.106:uninfected,0.077:learning outcome,0.103:framework,0.075:pension,0.084:deforestation,0.115:development,0.094:open public space,0.102:mobile,0.097:available,0.081:aid,0.158:deep learning,0.098:annual,0.075:waste waste
27,0.305:country,0.087:access electricity,0.099:chapter,0.109:improved,0.158:protected area,0.135:unpaid,0.102:woman,0.077:boy,0.098:mitigation,0.073:reduce,0.084:natural,0.111:convention,0.094:open public,0.099:technology,0.095:aggression,0.080:overweight,0.156:wa,0.095:trade,0.073:producer
28,0.305:strategy,0.085:improvement,0.098:cost,0.106:access basic sanitation,0.155:global,0.130:partner,0.097:infectious,0.076:reading mathematics,0.097:greenhouse,0.072:disability,0.083:management,0.111:economic growth,0.093:air pollution,0.096:global manufacturing,0.095:punishment,0.080:undernourished,0.152:conservation,0.093:crisis,0.070:related
29,0.304:infrastructure,0.079:gas,0.097:water supply sanitation,0.104:lack access,0.154:level,0.115:intimate partner,0.093:infectious disease,0.075:basic,0.097:greenhouse gas,0.070:coverage,0.082:covered,0.104:country,0.090:smart city,0.095:region,0.093:conflict,0.077:seed,0.150:present,0.093:developed,0.070:hazardous waste
30,0.304:practice,0.078:transition,0.097:supply sanitation,0.103:access basic,0.154:biodiversity,0.115:intimate,0.092:declined,0.075:child adolescent,0.095:plan,0.070:lived,0.081:resource,0.100:national,0.087:access,0.094:product,0.093:psychological,0.075:farmer,0.149:feature,0.092:region,0.070:review
31,0.297:different,0.078:investment,0.093:related,0.099:population safely,0.153:ocean resource,0.115:care,0.092:eastern,0.074:enrolment,0.094:united framework,0.069:poverty reduction,0.079:terrestrial freshwater,0.099:developing,0.087:sustainable,0.089:increase,0.091:physical punishment,0.071:chain,0.148:different,0.091:men,0.069:responsibility
32,0.296:transport,0.072:consumption,0.092:financing,0.096:global population,0.152:protected,0.114:violence woman,0.086:new hiv,0.071:pre,0.094:united framework convention,0.065:lived extreme,0.079:genetic resource,0.097:sustainable development,0.086:sprawl,0.089:sector,0.091:psychological aggression,0.070:end,0.147:field,0.081:aid trade,0.068:producer responsibility
33,0.296:economy,0.072:meet,0.092:river,0.094:soap,0.147:coastal eutrophication,0.107:gender inequality,0.086:hiv infection,0.070:secondary school,0.093:gas,0.065:lived extreme poverty,0.076:cover,0.097:mineral,0.085:smart,0.086:industrial,0.090:public,0.069:stunting,0.142:classification,0.080:annual growth,0.065:trend
34,0.294:framework,0.072:renewable energy energy,0.089:integrated,0.094:soap water,0.142:world,0.105:position,0.084:estimated,0.070:outcome,0.091:strategy,0.065:economic,0.073:sustainable,0.094:framework programme,0.085:area,0.085:duty,0.089:freedom,0.068:sustainable food,0.141:behavior,0.079:child labour,0.062:korea
35,0.282:potential,0.071:reliable,0.085:water sanitation,0.087:basic drinking,0.137:biologically,0.102:political,0.082:fell,0.069:young,0.090:national adaptation plan,0.063:service,0.071:effort,0.094:programme sustainable,0.084:proportion,0.083:emission,0.089:crime,0.067:severe,0.139:information,0.079:pay,0.062:examined
36,0.280:new,0.069:coal,0.081:level,0.087:basic drinking water,0.137:reef,0.102:empowerment woman,0.082:neonatal,0.069:school child,0.090:adaptation plan,0.062:global poverty,0.071:earth,0.094:framework programme sustainable,0.083:city country,0.080:northern america,0.087:compliant,0.067:country,0.138:performance,0.079:decent work,0.061:extended producer
37,0.279:impact,0.067:affordable reliable,0.080:security,0.087:handwashing,0.137:biologically sustainable,0.099:aged,0.080:central,0.069:scholarship,0.089:disaster risk reduction,0.062:pandemic,0.068:protecting,0.094:programme sustainable consumption,0.082:dweller,0.079:europe,0.086:detected,0.067:supply chain,0.135:tool,0.078:financial service,0.061:extended producer responsibility
38,0.279:growth,0.065:affordable,0.078:pollution,0.087:handwashing facility,0.136:impact,0.098:national parliament,0.079:worldwide,0.069:ensure,0.088:united,0.061:poverty ha,0.065:sustainably,0.092:metric metric,0.081:urban sprawl,0.078:europe northern america,0.085:society,0.066:hunger malnutrition,0.133:clinical,0.076:work,0.060:construction
39,0.278:focus,0.064:growth,0.076:ecosystem,0.082:service lack,0.135:coral,0.097:law,0.077:northern,0.069:educational,0.087:risk reduction,0.061:live,0.064:ecosystem service,0.092:taking,0.080:number,0.078:europe northern,0.085:access information,0.065:end hunger,0.127:problem,0.075:developed country,0.059:effectiveness
40,0.276:tax,0.062:energy source,0.074:lake,0.082:adequate,0.132:area,0.097:gap,0.077:global,0.068:trained,0.087:impact,0.059:live extreme poverty,0.064:loss forest,0.091:national policy,0.075:solid,0.078:developing region,0.085:proportion,0.065:food producer,0.126:human,0.075:ha,0.059:landfill
41,0.268:society,0.062:demand,0.073:implementation,0.082:safely sanitation service,0.131:dioxide,0.097:participation,0.075:reproductive,0.065:saharan,0.083:developed country,0.059:live extreme,0.064:term,0.091:resource efficiency,0.071:infrastructure,0.077:wa,0.085:information,0.065:access,0.123:applied,0.075:pay gap,0.059:encourage
42,0.264:industry,0.060:rate improvement,0.072:disbursement,0.081:water source,0.131:carbon dioxide,0.095:physical sexual,0.074:central southern asia,0.065:sub saharan,0.079:developed,0.057:majority,0.062:target,0.090:framework,0.071:inadequate,0.077:carbon dioxide,0.080:violent,0.064:plant,0.123:fuzzy,0.074:inequality,0.058:encourage waste
43,0.264:inclusive,0.058:need,0.071:irrigation,0.080:health,0.129:national jurisdiction,0.093:legal framework,0.074:central southern,0.063:vocational,0.077:warming,0.056:ha,0.062:area covered,0.085:degradation,0.070:walking,0.077:dioxide,0.080:paris principle,0.064:increase,0.122:detection,0.070:global unemployment rate,0.057:economic instrument
44,0.261:open government,0.058:supply,0.068:wastewater,0.078:lacked basic,0.129:sustainably,0.088:harmful,0.072:eastern asia,0.061:compulsory,0.076:developing,0.056:rate,0.062:animal,0.085:footprint developing,0.069:solid waste,0.075:global manufacturing value,0.078:experienced,0.064:hungry,0.118:event,0.070:global unemployment,0.057:reform
45,0.259:study,0.056:primary energy,0.067:aquifer,0.078:access water,0.129:jurisdiction,0.087:progress,0.072:malaria,0.061:sub,0.072:loss,0.056:worker living,0.061:soil,0.083:decoupling economic,0.069:street,0.074:network,0.077:psychological aggression physical,0.063:farm,0.115:modeling,0.068:labour market,0.056:moving circular economy
46,0.257:service,0.055:access energy,0.066:challenge,0.076:access safe,0.127:percent,0.087:harmful practice,0.071:ha,0.061:inclusive,0.072:risk reduction strategy,0.055:reduce poverty,0.061:plant,0.083:decoupling economic growth,0.069:growth,0.073:flow,0.077:aggression physical punishment,0.063:nearly,0.115:work,0.067:inclusive,0.056:moving circular
47,0.256:provides,0.055:wind,0.065:related ecosystem,0.076:equitable,0.127:sustainable ocean,0.086:time,0.070:adolescent rate,0.061:girl,0.070:temperature,0.055:contributory,0.061:poaching,0.079:lifestyle,0.069:access public transport,0.072:reached,0.077:subjected psychological aggression,0.063:livestock,0.113:map,0.066:secure,0.056:municipal waste
48,0.254:firm,0.055:increase,0.065:water related ecosystem,0.076:progress,0.127:scale fishery,0.086:norm,0.069:new hiv infection,0.060:literacy,0.070:hazard,0.054:poverty world,0.061:world,0.079:production consumption,0.069:convenient access public,0.072:tariff,0.077:subjected psychological,0.062:affected,0.112:patient,0.066:gap,0.055:overview trend material
49,0.249:better,0.055:sustainable energy,0.065:ha,0.074:disease,0.122:marine pollution,0.086:girl woman,0.069:period,0.060:equitable quality,0.069:related,0.053:job,0.061:poaching trafficking,0.078:metallic,0.069:access public,0.072:economic,0.077:aggression physical,0.062:household,0.110:time,0.066:access financial service,0.055:related policy review
