,"0.51*SDG9,0.49*SDG11",1.00*SDG7,1.00*SDG6,1.00*SDG3,1.00*SDG5,1.00*SDG4,1.00*SDG13,"0.75*SDG9,0.25*SDG10","0.79*SDG1,0.21*SDG10","0.62*SDG14,0.38*SDG15",1.00*SDG11,1.00*SDG12,"0.85*SDG16,0.15*SDG10",1.00*SDG2,1.00*SDG8
20,1815.685:economic,924.860:energy sector,988.142:lack,1051.941:hepatitis,1061.319:parliament,801.050:country,961.046:disaster risk,842.154:island developing state,702.858:family,896.585:marine resource,793.482:safe,578.996:domestic,761.750:right institution,580.679:price,767.498:informal employment
21,1780.469:transport,914.726:access clean,979.513:hygiene,1036.126:mortality rate,1036.721:equal,724.630:access,946.676:framework,799.874:employment,681.852:poverty rate,882.763:environment,791.649:living slum,515.688:company,761.750:national human,553.560:world,766.805:young
22,1769.627:different,899.544:fossil fuel,969.291:resource management,1016.172:rate,997.928:practice,695.490:basic,945.462:convention climate change,741.669:mobile,663.367:living extreme poverty,872.555:stock,780.741:world,500.912:economic,761.750:national human right,545.476:producer,729.261:decent
23,1700.557:oecd country,885.890:global energy,904.206:water related,1008.709:child,993.277:married,637.627:trained,945.462:framework convention climate,734.310:research development,663.367:living extreme,865.350:pollution,768.438:planning,437.051:growth,729.226:principle,544.754:security,711.219:working
24,1626.816:help,876.720:source,835.351:water supply sanitation,975.581:essential,987.773:child marriage,632.649:classroom,945.462:convention climate,729.350:state,638.402:reduction,842.810:degradation,764.057:convenient access,430.538:decoupling,698.087:sexual violence,521.143:food price,694.760:country
25,1600.678:infrastructure,873.033:modern,835.351:supply sanitation,968.668:neglected,965.001:empowerment,632.152:pre primary,926.610:resilience,720.331:technology,614.258:poor vulnerable,832.955:global,764.057:convenient,400.931:global,675.070:income country,508.666:market,692.412:developed
26,1599.415:analysis,870.143:fuel technology,820.467:country,958.961:road traffic,948.888:country,620.961:teaching,886.574:mitigation,714.287:network,585.960:pension,829.487:fishing,760.106:open public space,391.259:development,665.117:conflict,503.221:land,689.543:annual
27,1593.913:strategy,855.250:access electricity,786.257:freshwater,948.341:treatment,922.553:unpaid,618.118:level,873.921:global,704.096:country island,572.071:reduce,821.755:biodiversity area,760.106:open public,389.616:economic growth,661.784:public,492.652:plant,679.738:trade
28,1589.861:country,830.241:improvement,771.997:transboundary,948.186:maternal death,901.602:partner,616.290:learning outcome,863.835:plan,690.370:country island developing,563.711:disability,809.218:human,752.759:air pollution,388.840:convention,657.057:aggression,488.562:seed,668.992:crisis
29,1578.252:practice,776.990:transition,771.943:water quality,943.791:cardiovascular,785.168:intimate partner,611.204:child adolescent,862.967:greenhouse,681.225:global manufacturing,550.735:coverage,793.428:terrestrial,745.252:access,363.325:country,656.452:information,484.954:aid,655.249:region
30,1534.811:social,761.988:gas,770.281:wastewater,934.011:tropical disease,785.168:intimate,609.920:reading mathematics,862.967:greenhouse gas,669.157:region,548.938:lived,787.475:world,733.120:pollution,354.952:national,652.222:available,468.898:undernourished,646.330:men
31,1529.397:open,758.414:investment,741.641:related,934.011:neglected tropical,779.649:violence woman,603.252:boy,838.280:gas,642.513:sector,544.842:poverty reduction,783.595:sustainably,701.070:proportion,346.231:mineral,650.583:punishment,466.683:overweight,628.249:work
32,1518.045:tool,753.761:reliable,714.994:defecation,934.011:neglected tropical disease,778.028:care,596.583:enrolment,834.473:united framework,642.021:product,519.589:lived extreme,759.811:management,691.285:sprawl,345.030:developing,648.924:psychological,430.262:farmer,592.015:aid trade
33,1501.594:framework,698.841:meet,714.994:open defecation,932.006:life,726.326:position,575.985:secondary school,834.473:united framework convention,613.856:increase,519.589:lived extreme poverty,730.024:ocean sea,658.874:number,334.825:taking,623.358:freedom,428.299:country,580.748:wage
34,1472.192:tax,698.386:consumption,696.681:integrated water resource,931.506:premature,719.367:political,575.634:pre,811.206:adaptation plan,591.586:emission,511.927:service,725.072:eutrophication,657.099:dweller,334.768:sustainable development,622.734:physical punishment,419.891:increase,579.629:decent work
35,1455.180:governance,697.164:renewable energy energy,696.681:integrated water,924.465:tropical,699.617:gender inequality,572.327:scholarship,811.206:national adaptation plan,569.380:wa,491.923:pandemic,703.473:fish stock,656.351:city country,332.721:programme sustainable,622.734:psychological aggression,414.930:access,579.035:child labour
36,1446.331:housing,672.034:coal,686.661:river,908.299:alcohol,698.299:law,565.898:outcome,810.397:strategy,568.560:northern america,490.807:global poverty,697.976:overfishing,651.624:urban sprawl,332.721:programme sustainable consumption,608.745:compliant,411.872:severe,571.788:annual growth
37,1442.891:study,657.358:affordable reliable,679.562:water efficiency,894.271:number,692.781:empowerment woman,557.809:young,797.231:united,557.558:duty,486.278:economic,691.736:mountain,620.229:open,332.721:framework programme,595.027:access information,410.429:sustainable food,560.943:financial service
38,1421.406:focus,642.844:affordable,674.445:sector,891.027:country,678.956:aged,549.117:school child,794.261:disaster risk reduction,556.197:europe,486.224:poverty ha,689.654:ocean acidification,615.104:solid,332.721:framework programme sustainable,591.310:detected,406.141:end,560.919:pay
39,1418.108:potential,618.520:growth,669.428:lacked,888.705:maternal mortality,675.705:participation,547.172:saharan,776.977:risk reduction,555.652:europe northern,485.277:live,676.249:level,606.716:sustainable,328.441:framework,589.805:society,405.936:animal,542.385:developed country
40,1397.968:process,595.405:demand,669.368:safely drinking water,879.096:service,673.522:national parliament,547.172:sub saharan,756.869:developed country,555.652:europe northern america,465.286:live extreme poverty,665.970:earth,573.548:eastern,326.454:metric metric,582.995:proportion,405.511:stunting,536.995:pay gap
41,1393.607:growth,593.007:energy source,669.368:safely drinking,851.995:road,670.371:gap,540.607:ensure,750.425:developed,555.633:industrial,465.286:live extreme,659.921:marine ecosystem,566.814:solid waste,324.462:resource efficiency,560.894:paris principle,405.061:affected,519.176:ha
42,1364.839:inclusive,580.189:rate improvement,666.506:safely sanitation,851.993:cause,651.725:physical sexual,524.093:educational,749.523:impact,553.042:dioxide,463.459:ha,652.216:livelihood,563.099:walking,319.791:national policy,552.588:violent,397.922:livestock,503.404:training
43,1359.245:indicator,574.904:need,665.066:safe,833.029:population,634.612:time,515.575:sub,705.237:developing,553.042:carbon dioxide,461.424:rate,636.309:sea marine resource,557.000:access public transport,299.851:footprint developing,540.193:adopted,390.772:hunger malnutrition,501.549:global unemployment
44,1348.134:better,556.308:supply,660.400:access water,831.772:injury,632.502:legal framework,502.505:africa,690.823:warming,543.442:developing region,455.480:majority,636.309:sea marine,557.000:access public,298.071:degradation,535.023:killed,386.082:nearly,501.549:global unemployment rate
45,1347.554:provides,547.419:access energy,653.102:water sector,800.565:tuberculosis,615.368:harmful,501.948:facility,650.667:loss,536.847:innovation,450.785:job,636.309:ocean sea marine,557.000:convenient access public,295.853:extraction,533.154:ha,384.469:end hunger,490.032:inclusive
46,1321.294:term,542.309:wind,644.972:drinking water service,794.210:global,595.411:harmful practice,499.317:literacy,645.391:risk reduction strategy,531.036:global manufacturing value,439.774:worker living,628.627:cover,555.519:street,293.791:decoupling economic growth,531.512:aggression physical,383.366:food producer,484.464:secure
47,1297.072:economy,542.109:primary energy,625.157:lack access,792.076:diabetes,593.479:progress,497.518:early,644.064:temperature,526.478:researcher,433.877:reduce poverty,621.862:extinction,547.413:growth,293.791:decoupling economic,531.512:psychological aggression physical,382.444:including,481.005:gap
48,1280.503:cost,537.939:goal,623.448:source,788.671:progress,585.318:norm,490.824:vocational,631.402:related,515.065:reached,431.780:contributory,596.408:change,527.349:urban area,284.103:lifestyle,531.512:subjected psychological aggression,370.899:diversity,477.968:access financial service
49,1246.555:open government,537.048:access affordable reliable,622.222:sanitation hygiene,773.592:cardiovascular disease,584.329:girl woman,486.958:primary secondary school,629.871:local,497.272:flow,431.658:poverty world,588.578:protect,524.989:infrastructure,283.343:production consumption,531.512:aggression physical punishment,367.269:hungry,466.652:access financial
