,"0.51*SDG9,0.49*SDG11",1.00*SDG7,1.00*SDG6,1.00*SDG3,1.00*SDG5,1.00*SDG4,1.00*SDG13,"0.75*SDG9,0.25*SDG10","0.79*SDG1,0.21*SDG10","0.62*SDG14,0.38*SDG15",1.00*SDG11,1.00*SDG12,"0.85*SDG16,0.15*SDG10",1.00*SDG2,1.00*SDG8
18,615.090:need,314.797:clean energy,355.744:water scarcity,353.328:traffic,376.903:female genital,316.582:primary secondary education,371.808:national,315.106:developing state,293.005:vulnerable,331.988:fish,306.397:resident,286.882:metric,303.704:income,247.630:food production,311.625:income
19,611.133:market,310.210:energy energy,339.177:water resource management,353.026:tobacco,376.903:female genital mutilation,302.853:skill,356.247:national adaptation,315.106:island developing,266.690:le,329.424:acidification,287.880:urban resident,266.140:natural,294.311:human right institution,243.073:export subsidy,306.742:gdp
20,602.407:economic,308.713:energy sector,331.334:lack,349.887:hepatitis,368.685:parliament,285.592:country,338.684:disaster risk,315.106:island developing state,256.432:family,315.705:marine resource,286.537:safe,263.964:domestic,294.311:right institution,239.940:price,304.975:informal employment
21,590.730:transport,305.330:access clean,328.440:hygiene,344.644:mortality rate,360.142:equal,258.347:access,333.619:framework,299.286:employment,248.768:poverty rate,310.837:environment,285.874:living slum,235.101:company,294.311:national human,228.733:world,304.701:young
22,587.100:different,300.263:fossil fuel,325.012:resource management,337.998:rate,346.665:practice,247.959:basic,333.192:framework convention climate,277.509:mobile,242.024:living extreme poverty,307.243:stock,281.935:world,228.369:economic,294.311:national human right,225.393:producer,289.779:decent
23,564.182:oecd country,295.705:global energy,303.188:water related,335.515:child,345.049:married,227.328:trained,333.192:convention climate,274.757:research development,242.024:living extreme,304.705:pollution,277.490:planning,199.254:growth,281.747:principle,225.097:security,282.611:working
24,539.728:help,292.644:source,280.100:water supply sanitation,324.483:essential,343.137:child marriage,225.552:classroom,333.192:convention climate change,272.898:state,232.916:reduction,296.756:degradation,275.910:convenient access,196.281:decoupling,269.713:sexual violence,215.339:food price,276.079:country
25,531.067:infrastructure,291.414:modern,280.100:supply sanitation,322.189:neglected,335.226:empowerment,225.376:pre primary,326.548:resilience,269.527:technology,224.107:poor vulnerable,293.295:global,275.910:convenient,182.784:global,260.829:income country,210.186:market,275.144:developed
26,530.633:analysis,290.448:fuel technology,275.115:country,318.959:road traffic,329.636:country,221.385:teaching,312.439:mitigation,267.265:network,213.781:pension,292.077:fishing,274.483:open public space,178.381:development,256.974:conflict,207.958:land,274.003:annual
27,528.819:strategy,285.477:access electricity,263.640:freshwater,315.428:treatment,320.481:unpaid,220.369:level,307.984:global,263.450:country island,208.715:reduce,289.348:biodiversity area,274.483:open public,177.628:economic growth,255.688:public,203.575:plant,270.104:trade
28,527.542:country,277.129:improvement,258.858:transboundary,315.380:maternal death,313.202:partner,219.720:learning outcome,304.424:plan,258.314:country island developing,205.664:disability,284.938:human,271.832:air pollution,177.273:convention,253.860:aggression,201.879:seed,265.835:crisis
29,523.619:practice,259.356:transition,258.839:water quality,313.912:cardiovascular,272.755:intimate partner,217.907:child adolescent,304.119:greenhouse gas,254.895:global manufacturing,200.931:coverage,279.370:terrestrial,269.122:access,165.637:country,253.628:information,200.386:aid,260.373:region
30,509.244:social,254.349:gas,258.282:wastewater,310.661:tropical disease,272.755:intimate,217.449:reading mathematics,304.119:greenhouse,250.374:region,200.275:lived,277.281:world,264.737:pollution,161.823:national,251.998:available,193.749:undernourished,256.830:men
31,507.401:open,253.156:investment,248.679:related,310.661:neglected tropical,270.838:violence woman,215.073:boy,295.419:gas,240.408:sector,198.780:poverty reduction,275.914:sustainably,253.167:proportion,157.846:mineral,251.359:punishment,192.834:overweight,249.641:work
32,503.637:tool,251.601:reliable,239.744:defecation,310.661:neglected tropical disease,270.275:care,212.695:enrolment,294.078:united framework convention,240.220:product,189.568:lived extreme,267.538:management,249.631:sprawl,157.300:developing,250.718:psychological,177.787:farmer,235.245:aid trade
33,498.189:framework,233.269:meet,239.744:open defecation,309.999:life,252.314:position,205.351:secondary school,294.078:united framework,229.683:increase,189.568:lived extreme poverty,257.056:ocean sea,237.927:number,152.647:taking,240.842:freedom,176.978:country,230.775:wage
34,488.420:tax,233.123:consumption,233.604:integrated water resource,309.826:premature,249.897:political,205.225:pre,285.878:national adaptation plan,221.357:emission,186.773:service,255.312:eutrophication,237.286:dweller,152.625:sustainable development,240.599:physical punishment,173.507:increase,230.321:decent work
35,482.784:governance,232.709:renewable energy energy,233.604:integrated water,307.485:tropical,243.036:gender inequality,204.047:scholarship,285.878:adaptation plan,213.040:wa,179.473:pandemic,247.706:fish stock,237.016:city country,151.687:programme sustainable,240.599:psychological aggression,171.452:access,230.083:child labour
36,479.859:housing,224.321:coal,230.243:river,302.107:alcohol,242.580:law,201.754:outcome,285.592:strategy,212.739:northern america,179.067:global poverty,245.771:overfishing,235.309:urban sprawl,151.687:programme sustainable consumption,235.195:compliant,170.188:severe,227.208:annual growth
37,478.703:study,219.422:affordable reliable,227.863:water efficiency,297.446:number,240.662:empowerment woman,198.871:young,280.953:united,208.614:duty,177.414:economic,243.563:mountain,223.972:open,151.687:framework programme,229.896:access information,169.591:sustainable food,222.898:financial service
38,471.577:focus,214.579:affordable,226.147:sector,296.369:country,235.861:aged,195.772:school child,279.906:disaster risk reduction,208.113:europe,177.395:poverty ha,242.841:ocean acidification,222.124:solid,151.687:framework programme sustainable,228.458:detected,167.820:end,222.888:pay
39,470.481:potential,206.460:growth,224.466:lacked,295.596:maternal mortality,234.731:participation,195.076:saharan,273.816:risk reduction,207.909:europe northern,177.050:live,238.119:level,219.086:sustainable,149.736:framework,227.876:society,167.741:animal,215.529:developed country
40,463.802:process,198.743:demand,224.445:safely drinking water,292.395:service,233.971:national parliament,195.076:sub saharan,266.733:developed country,207.909:europe northern america,169.756:live extreme poverty,234.495:earth,207.114:eastern,148.829:metric metric,225.248:proportion,167.557:stunting,213.381:pay gap
41,462.382:growth,197.942:energy source,224.445:safely drinking,283.382:cause,232.876:gap,192.738:ensure,264.461:developed,207.899:industrial,169.756:live extreme,232.371:marine ecosystem,204.686:solid waste,147.923:resource efficiency,216.708:paris principle,167.378:affected,206.306:ha
42,452.826:inclusive,193.663:rate improvement,223.486:safely sanitation,283.382:road,226.399:physical sexual,186.850:educational,264.140:impact,206.934:dioxide,169.087:ha,229.653:livelihood,203.341:walking,145.792:national policy,213.498:violent,164.425:livestock,200.031:training
43,450.953:indicator,191.903:need,223.004:safe,277.070:population,220.455:time,183.810:sub,248.537:developing,206.934:carbon dioxide,168.347:rate,224.057:sea marine resource,201.139:access public transport,136.701:footprint developing,208.711:adopted,161.468:hunger malnutrition,199.296:global unemployment
44,447.276:better,185.693:supply,221.438:access water,276.655:injury,219.720:legal framework,179.150:africa,243.454:warming,203.337:developing region,166.178:majority,224.057:sea marine,201.139:access public,135.891:degradation,206.712:killed,159.532:nearly,199.296:global unemployment rate
45,447.071:provides,182.725:access energy,218.991:water sector,266.285:tuberculosis,213.769:harmful,178.956:facility,229.307:loss,200.874:innovation,164.465:job,224.057:ocean sea marine,201.139:convenient access public,134.878:extraction,205.988:ha,158.864:end hunger,194.717:inclusive
46,438.369:term,181.020:wind,216.265:drinking water service,264.164:global,206.836:harmful practice,178.017:literacy,227.443:risk reduction strategy,198.699:global manufacturing value,160.448:worker living,221.347:cover,200.604:street,133.938:decoupling economic growth,205.354:aggression physical,158.408:food producer,192.506:secure
47,430.330:economy,180.952:primary energy,209.621:lack access,263.449:diabetes,206.167:progress,177.376:early,226.976:temperature,196.992:researcher,158.296:reduce poverty,218.960:extinction,197.672:growth,133.938:decoupling economic,205.354:psychological aggression physical,158.030:including,191.137:gap
48,424.839:cost,179.563:goal,209.048:source,262.321:progress,203.330:norm,174.989:vocational,222.512:related,192.722:reached,157.530:contributory,210.007:change,190.433:urban area,129.522:lifestyle,205.354:subjected psychological aggression,153.262:diversity,189.927:access financial service
49,413.556:open government,179.263:access affordable reliable,208.637:sanitation hygiene,257.301:cardiovascular disease,202.987:girl woman,173.611:primary secondary school,221.974:local,186.062:flow,157.487:poverty world,207.246:protect,189.582:infrastructure,129.176:production consumption,205.354:aggression physical punishment,151.757:hungry,185.430:access financial
