,stopwords
934,zealand spain sweden
935,reunification generally contingent
936,international low poverty
937,reached current trend
938,global community committed
939,coverage rate safety
940,agriculture compared
941,prerequisite success
942,achieved equality
943,closure country
944,men earn
945,crime promote
946,worthwhile room improvement
947,sector experienced significant
948,excise tax rate
949,equality labour gdp
950,critical starting
951,reduction gini
952,africa middle east
953,ocean acidification having
954,prioritizing energy
955,work sex
956,priority area consumption
957,justice build effective
958,identified chapter context
959,business medicine education
960,adaptation plan increase
961,school closure country
962,household rising child
963,legislation improved
964,training workshop school
965,authority ordinate
966,establish environmental regulatory
967,flow reduce
968,livelihood today global
969,maximum standard set
970,level accordance paris
971,civil service scheme
972,significant implication
973,mortality population aged
974,environment range biodiversity
975,impact education student
976,heat generated
977,priority explicitly
978,live decent quality
979,majority working poor
980,access received effective
981,covid migrant region
982,mainly slower
983,cause wasting severe
984,importantly spread message
985,policy implementing
986,adult working
987,objective support
988,pattern growth change
989,analysis climate risk
990,instruction time compulsory
991,covered network covered
992,indicator hand washing
993,understand user respond
994,incentive employer tax
995,level skill equivalent
996,challenge global
997,price support market
998,strategy order
999,supply large resource
1000,framework transformation
1001,population malaria incidence
1002,impaired labour
1003,output ha grown
1004,available worldwide
1005,structural challenge
1006,attended
1007,number fled country
1008,development broad
1009,positive relationship gender
1010,marine resource critical
1011,plan biodiversity mobilize
1012,health heath care
1013,paris agreement regard
1014,rapid large
1015,far country
1016,bear greater
1017,local context
1018,according city country
1019,pedagogical purpose pedagogical
1020,addressing different
1021,fund sustained inclusive
1022,observed projected
1023,oecd emerging
1024,investment commitment
1025,decoupling emission gdp
1026,submitted monitoring process
1027,associated change
1028,hit hardest marginalized
1029,implication excessive
1030,require improving
1031,service including family
1032,better informed
1033,art policy discussion
1034,disaster hamper country
1035,flood control
1036,waste equally
1037,accessible water essential
1038,taxation level sectoral
1039,principle specific
1040,paper provides overview
1041,heating past progress
1042,relates oecd
1043,assessing availability scale
1044,territory unhealthy
1045,period ensure
1046,pose unprecedented challenge
1047,intervention notably
1048,technology notably
1049,gap firm contributed
1050,girl perform unpaid
1051,time world
1052,rich west
1053,safeguard relevant
1054,characteristic country posted
1055,assistance help
1056,benefit policy
1057,asset allow change
1058,progress face
1059,unfccc united convention
1060,productivity decrease poverty
1061,coverage social protection
1062,vulnerable situation parity
1063,providing integrated
1064,public life constitution
1065,progress ensuring
1066,trafficking continues
1067,integrating legal
1068,policy encompassed measure
1069,yearsfrom le
1070,matured policy
1071,arrangement spending social
1072,light managing
1073,particularly advanced
1074,pursue sdgs daily
1075,informal sector academic
1076,climate change business
1077,market price segment
1078,economic social cultural
1079,design transport infrastructure
1080,analysis performance electric
1081,reported monitoring
1082,population benefit
1083,reach report
1084,increasing cultural
1085,mainland tanzania ha
1086,aquatic specie
1087,upward trend require
1088,majority world hungry
1089,look subsidy
1090,ass future risk
1091,evident term traffic
1092,allow continued economic
1093,marginalized group encourage
1094,donor practitioner
1095,budgetary commitment
1096,education ha feature
1097,world affected island
1098,effective dialogue
1099,sector obtain
1100,spend time pre
1101,start early nearly
1102,working achieving target
1103,hit risk falling
1104,large scale public
1105,promote compliance requirement
1106,element green growth
1107,environment substantially expand
1108,nearly planet
1109,commitment peace
1110,alignment harmonisation
1111,discus advantage
1112,construction mineral biotic
1113,housing affordability national
1114,damage deforestation
1115,trend rate
1116,scale deployment technology
1117,green bond
1118,deceleration wa
1119,governance architecture
1120,risk health
1121,support humanity biodiversity
1122,urgent action monitoring
1123,poor food security
1124,outline city
1125,animal field gene
1126,gdp production consumption
1127,transport forum annual
1128,ordinated multilateral removal
1129,protocol substance
1130,provides set
1131,cause near
1132,considered treaty impact
1133,men boy employment
1134,child step securing
1135,reducing managing discussed
1136,document country
1137,die loss
1138,formal job creation
1139,convention decoupling
1140,government unleashing
1141,establishing spousal consent
1142,adjust temporary
1143,emerging market developing
1144,poverty fall quarter
1145,apply state
1146,dimension anti corruption
1147,environment degradation lessening
1148,wa despite considerable
1149,development considering role
1150,transported consumed world
1151,access equal opportunity
1152,leading rapid
1153,access school enrolment
1154,brazil colombia
1155,respond challenge israel
1156,period progress child
1157,melting ice sheet
1158,submit view
1159,policy despite
1160,vision job
1161,biomass transport sector
1162,country reviewed
1163,world worst global
1164,teacher primary school
1165,distributed evenly indicator
1166,water sanitation precursor
1167,capitalising
1168,reallocation resource country
1169,education greatly contribute
1170,scaled accelerated urgently
1171,capacity efficient
1172,regulation ihr
1173,exploiting cleaner
1174,identifies challenge provision
1175,nutrient balance oecd
1176,environmental regulatory
1177,increase woman represented
1178,consider intersection
1179,present developing
1180,country integrate
1181,balancing act
1182,primary cause
1183,action sector integration
1184,different aspect water
1185,youth adult formal
1186,holiday security
1187,student belief
1188,framework including building
1189,achieved proportion woman
1190,strategy led
1191,named indicator target
1192,promoting clean
1193,effect goal
1194,electricity poorer
1195,develop posing
1196,paper quantifies
1197,skne build
1198,dedicated sustainable development
1199,malnutrition household
1200,housing inefficiency
1201,spectrum overweight obesity
1202,young completing secondary
1203,member provided support
1204,country implementing sustainable
1205,risk characteristic informal
1206,consent requirement land
1207,state shall
1208,resource threatens
1209,education housing health
1210,related level income
1211,gap legal protection
1212,range product
1213,rapid urbanization ensuring
1214,walking cycling
1215,sector given place
1216,fishery tool
1217,relevant anchoring
1218,situation reduce adverse
1219,manufacturing production northern
1220,agriculture sector correct
1221,fishery pose significant
1222,assertion sdgs
1223,including restoration mangrove
1224,strong competitiveness
1225,brief provides
1226,governance address social
1227,gap school enrolment
1228,meeting water
1229,prominent role
1230,dsip
1231,food agriculture secured
1232,obligation agreement rate
1233,debris density sustainably
1234,growth policy support
1235,shrink hectare
1236,implement urban regional
1237,affect childrens health
1238,low result obligation
1239,obtain knowledge
1240,temperature emission rise
1241,relate privacy confidentiality
1242,better report focus
1243,developing circular
1244,population sex cause
1245,management identifies opportunity
1246,target universal legal
1247,achieve objective agenda
1248,demand indicate
1249,country saw decrease
1250,twofold increase coverage
1251,address major
1252,growing importance
1253,pressure human
1254,suffered irreversible
1255,biodiversity concerted
1256,nearly achieving universal
1257,added gdp fell
1258,adaptation component intended
1259,ltc preventable admission
1260,floor currently
1261,undertaken date potential
1262,annual improvement
1263,demonstrates adaptation
1264,scope volume
1265,conducive rapid
1266,resilient sustainable target
1267,related process
1268,service health education
1269,care limited
1270,probability dying cardiovascular
1271,competitive industry
1272,family young child
1273,implemented different multilateral
1274,identity sexual
1275,conflict affected context
1276,implemented migration policy
1277,fertility declined adolescent
1278,national park
1279,conflict answer
1280,malaria disease
1281,seaside great place
1282,climate ipac provides
1283,result recommendation
1284,target clearly
1285,woman access leadership
1286,modifier quality
1287,ordinated international
1288,includes fuel subsidy
1289,area health care
1290,urban child scored
1291,child young falling
1292,fund mobilized climate
1293,inextricably linked especially
1294,resulting impact rising
1295,worth global
1296,change fish
1297,underlying cause
1298,mixed waste
1299,knowledge base include
1300,level magnitude
1301,usd trillion asset
1302,pandemic covid
1303,hygiene led death
1304,online dashboard country
1305,finding country
1306,tuberculosis remaining continuing
1307,death ha steadily
1308,farmer building resilient
1309,government ethiopia goe
1310,result recommendation rdsr
1311,education proportion child
1312,agreement number
1313,inequality long standing
1314,aggravating
1315,analysis range policy
1316,conducted selected
1317,qualification national standardised
1318,saharan africa proportion
1319,site analyse development
1320,economic environmental trend
1321,literacy skill ensure
1322,globally woman aged
1323,customary
1324,city city
1325,kindergarten mix
1326,care implementing
1327,œglass ceiling
1328,contribution following analysis
1329,reinforce international competitiveness
1330,fund emphasis importance
1331,indigenous conflict
1332,governance address
1333,america caribbean significantly
1334,taken approach help
1335,ass adopting integrated
1336,chance live life
1337,country reported scoring
1338,needed ensure training
1339,unlocking opportunity solution
1340,gatekeeper interfering
1341,discussed chapter summarises
1342,property global local
1343,producer reducing negative
1344,glass ceiling
1345,discrimination prevalent country
1346,service sanitation combined
1347,equip local tool
1348,projected increase electricity
1349,equal equitable
1350,controlling corruption
1351,recently undertaken
1352,preventing woman
1353,warmer climate
1354,targeted directing
1355,growth headline indicator
1356,smes compete
1357,contribute resultant emission
1358,objective sustainability
1359,inefficient implementation law
1360,origin context ha
1361,strength enhancing accessibility
1362,biodiversity relevant tax
1363,contraction flow longer
1364,including civil
1365,resilience solve
1366,number illustrative policy
1367,transfer wa sufficient
1368,affected differently
1369,food clean water
1370,degree centigrade ratified
1371,programme microfinance selfemployment
1372,energy deeply implicated
1373,groupa achieving proficiency
1374,cost inequality persists
1375,soundness indicator ensure
1376,recurrently
1377,given current
1378,africa central asia
1379,expected fall sharply
1380,rate wa globally
1381,confirmed
1382,interrelation mutually reinforcing
1383,renewable source came
1384,change ha
1385,smallest
1386,ncmec
1387,given place
1388,levelling rate
1389,generally characterises
1390,etss considering
1391,purpose paper analyse
1392,research topic
1393,cooperation energy regulator
1394,refusing
1395,pay water
1396,huge opportunity modernize
1397,particular concern
1398,area wa reached
1399,process sendai
1400,substance ocean damaging
1401,approximately sea
1402,initiative fulfil
1403,proportion teacher request
1404,nepal
1405,celled organism biggest
1406,travel pattern
1407,example textile
1408,plan ensure relevant
1409,forest biomass stock
1410,substantial risk financial
1411,security undermines resilience
1412,finalising new education
1413,industrial policy
1414,research literature
1415,continue challenge education
1416,despite recent progress
1417,issue significant proportion
1418,current tobacco aged
1419,overlap
1420,end century consequence
1421,pakistan reliant
1422,firm mobilise public
1423,global level magnitude
1424,ensure continuity essential
1425,stand deploying energy
1426,source versus despite
1427,industry transport
1428,highest level record
1429,turn breed crime
1430,increasingly recognised urban
1431,long term systemic
1432,household ambient
1433,question borderland
1434,cambodia respectively latin
1435,existence possible
1436,enable drastic reduction
1437,abundance natural
1438,livelihood protect
1439,averaged globally street
1440,agricultural biodiversity
1441,proportion local breed
1442,service unserved
1443,revealed global
1444,energy infrastructure energy
1445,red list amphibian
1446,sanitation specific
1447,worker wa
1448,open state approach
1449,providing adequate
1450,report examines issue
1451,great deal
1452,currently projected
1453,untreated wastewater substantially
1454,achievement starting early
1455,national goal known
1456,spectrum option wide
1457,particularly localised
1458,raise business
1459,emerging health
1460,quota parliament
1461,plan begin evaluating
1462,set active labour
1463,number rising
1464,food waste power
1465,energy sector include
1466,disease universal health
1467,working country
1468,individual help
1469,country considered inclusive
1470,specie presence
1471,poised meet ambitious
1472,paid bribe
1473,elderly citizen
1474,production promoting
1475,number going hungry
1476,material halving
1477,planning development strategy
1478,tool needed successfully
1479,accurately alongside ipac
1480,achieve country
1481,fourth world
1482,general disadvantaged
1483,country cover group
1484,undertaken stable price
1485,deployment renewables needed
1486,teleworking
1487,drawing insight
1488,relevant water security
1489,parliament open subnational
1490,economy larger
1491,manufacturing transition industry
1492,detailed analysis korean
1493,flood marginalized
1494,open access clean
1495,ongoing public
1496,possible partial sino
1497,combat alcohol
1498,growth intensification agriculture
1499,ratio greenhouse
1500,ocean minimize
1501,harmonisation debt sustainability
1502,starting accountable commitment
1503,old register
1504,includes suggestion enhancing
1505,urban urban
1506,growth projected
1507,opportunity north african
1508,collect water quality
1509,environment indicator indicator
1510,obstacle successful teaching
1511,completing
1512,urban renewal
1513,reduced income
1514,quality meet
1515,facing rapidly growing
1516,urban rural linkage
1517,apparent past
1518,continues debated
1519,additional test
1520,motivation buy bottled
1521,prevention corruption ass
1522,burden environmental resource
1523,ranging le central
1524,indicator focus
1525,section discus issue
1526,gather pace global
1527,january june exploration
1528,deprived security
1529,low worryingly school
1530,additional inflow
1531,policy distinct single
1532,intervention greatest
1533,auction drew
1534,managing disaster risk
1535,disruption macroeconomic consequence
1536,suffer disaster impact
1537,production clear
1538,area kbas
1539,threat fishery fishery
1540,child aged le
1541,generation despite
1542,closed country
1543,access relied primarily
1544,need ocean
1545,cardiovascular mortality population
