,"0.51*SDG9,0.49*SDG11",1.00*SDG7,1.00*SDG6,1.00*SDG3,1.00*SDG5,1.00*SDG4,1.00*SDG13,"0.75*SDG9,0.25*SDG10","0.79*SDG1,0.21*SDG10","0.62*SDG14,0.38*SDG15",1.00*SDG11,1.00*SDG12,"0.85*SDG16,0.15*SDG10",1.00*SDG2,1.00*SDG8
22,414.494:different,213.320:fossil fuel,231.469:resource management,240.132:rate,251.106:practice,181.733:basic,242.854:framework convention climate,207.145:mobile,178.968:living extreme poverty,223.872:stock,207.664:world,180.302:economic,222.173:national human right,173.688:producer,220.757:decent
23,398.313:oecd country,210.082:global energy,215.927:water related,238.365:child,249.936:married,166.612:trained,242.854:convention climate,205.091:research development,178.968:living extreme,222.022:pollution,204.390:planning,157.315:growth,212.689:principle,173.461:security,215.297:working
24,381.051:help,207.908:source,199.484:water supply sanitation,230.531:essential,248.550:child marriage,165.310:classroom,242.854:convention climate change,203.703:state,172.232:reduction,216.226:degradation,203.226:convenient access,154.967:decoupling,203.604:sexual violence,165.941:food price,210.324:country
25,374.939:infrastructure,207.034:modern,199.484:supply sanitation,228.901:neglected,242.821:empowerment,165.181:pre primary,238.011:resilience,201.188:technology,165.718:poor vulnerable,213.707:global,203.226:convenient,144.311:global,196.899:income country,161.970:market,209.610:developed
26,374.629:analysis,206.348:fuel technology,195.934:country,226.606:road traffic,238.771:country,162.256:teaching,227.728:mitigation,199.499:network,158.082:pension,212.822:fishing,202.175:open public space,140.836:development,193.987:conflict,160.263:land,208.740:annual
27,373.352:strategy,202.816:access electricity,187.762:freshwater,224.098:treatment,232.140:unpaid,161.511:level,224.482:global,196.651:country island,154.337:reduce,210.831:biodiversity area,202.175:open public,140.241:economic growth,193.017:public,156.878:plant,205.769:trade
28,372.466:country,196.885:improvement,184.356:transboundary,224.063:maternal death,226.867:partner,161.036:learning outcome,221.886:plan,192.817:country island developing,152.081:disability,207.619:human,200.223:air pollution,139.960:convention,191.636:aggression,155.569:seed,202.518:crisis
29,369.678:practice,184.258:transition,184.342:water quality,223.020:cardiovascular,197.569:intimate partner,159.707:child adolescent,221.664:greenhouse gas,190.265:global manufacturing,148.581:coverage,203.558:terrestrial,198.227:access,130.772:country,191.462:information,154.418:aid,198.356:region
30,359.539:social,180.702:gas,183.946:wastewater,220.711:tropical disease,197.569:intimate,159.372:reading mathematics,221.664:greenhouse,186.889:region,148.096:lived,202.038:world,194.996:pollution,127.762:national,190.233:available,149.302:undernourished,195.657:men
31,358.227:open,179.854:investment,177.107:related,220.711:neglected tropical,196.181:violence woman,157.630:boy,215.323:gas,179.450:sector,146.990:poverty reduction,201.042:sustainably,186.475:proportion,124.622:mineral,189.748:punishment,148.598:overweight,190.180:work
32,355.570:tool,178.749:reliable,170.743:defecation,220.711:neglected tropical disease,195.774:care,155.887:enrolment,214.345:united framework convention,179.309:product,140.179:lived extreme,194.939:management,183.870:sprawl,124.191:developing,189.265:psychological,137.003:farmer,179.212:aid trade
33,351.725:framework,165.725:meet,170.743:open defecation,220.240:life,182.763:position,150.504:secondary school,214.345:united framework,171.445:increase,140.179:lived extreme poverty,187.303:ocean sea,175.249:number,120.517:taking,181.809:freedom,136.381:country,175.810:wage
34,344.826:tax,165.620:consumption,166.370:integrated water resource,220.118:premature,181.013:political,150.412:pre,208.368:national adaptation plan,165.232:emission,138.112:service,186.033:eutrophication,174.777:dweller,120.501:sustainable development,181.626:physical punishment,133.707:increase,175.461:decent work
35,340.849:governance,165.327:renewable energy energy,166.370:integrated water,218.455:tropical,176.043:gender inequality,149.549:scholarship,208.368:adaptation plan,159.021:wa,132.713:pandemic,180.490:fish stock,174.578:city country,119.759:programme sustainable,181.626:psychological aggression,132.121:access,175.279:child labour
36,338.786:housing,159.367:coal,163.977:river,214.633:alcohol,175.712:law,147.868:outcome,208.160:strategy,158.798:northern america,132.413:global poverty,179.081:overfishing,173.321:urban sprawl,119.759:programme sustainable consumption,177.547:compliant,131.147:severe,173.090:annual growth
37,337.966:study,155.887:affordable reliable,162.282:water efficiency,211.322:number,174.323:empowerment woman,145.755:young,204.778:united,155.717:duty,131.190:economic,177.468:mountain,164.970:open,119.759:framework programme,173.547:access information,130.687:sustainable food,169.807:financial service
38,332.936:focus,152.447:affordable,161.059:sector,210.558:country,170.846:aged,143.484:school child,204.016:disaster risk reduction,155.345:europe,131.177:poverty ha,176.946:ocean acidification,163.610:solid,119.759:framework programme sustainable,172.460:detected,129.322:end,169.799:pay
39,332.161:potential,146.678:growth,159.863:lacked,210.008:maternal mortality,170.027:participation,142.973:saharan,199.577:risk reduction,155.193:europe northern,130.922:live,173.504:level,161.369:sustainable,118.219:framework,172.021:society,129.264:animal,164.194:developed country
40,327.446:process,141.196:demand,159.848:safely drinking water,207.735:service,169.476:national parliament,142.973:sub saharan,194.414:developed country,155.193:europe northern america,125.528:live extreme poverty,170.863:earth,152.553:eastern,117.502:metric metric,170.038:proportion,129.119:stunting,162.556:pay gap
41,326.448:growth,140.627:energy source,159.848:safely drinking,201.330:cause,168.683:gap,141.260:ensure,192.758:developed,155.185:industrial,125.528:live extreme,169.317:marine ecosystem,150.765:solid waste,116.788:resource efficiency,163.591:paris principle,128.983:affected,157.168:ha
42,319.700:inclusive,137.587:rate improvement,159.164:safely sanitation,201.330:road,163.992:physical sexual,136.945:educational,192.525:impact,154.465:dioxide,125.032:ha,167.335:livelihood,149.774:walking,115.105:national policy,161.168:violent,126.707:livestock,152.386:training
43,318.375:indicator,136.337:need,158.821:safe,196.845:population,159.687:time,134.716:sub,181.151:developing,154.465:carbon dioxide,124.485:rate,163.259:sea marine resource,148.152:access public transport,107.927:footprint developing,157.554:adopted,124.428:hunger malnutrition,151.826:global unemployment
44,315.781:better,131.925:supply,157.705:access water,196.551:injury,159.154:legal framework,131.301:africa,177.446:warming,151.779:developing region,122.883:majority,163.259:sea marine,148.152:access public,107.289:degradation,156.045:killed,122.936:nearly,151.826:global unemployment rate
45,315.633:provides,129.816:access energy,155.963:water sector,189.185:tuberculosis,154.844:harmful,131.160:facility,167.137:loss,149.942:innovation,121.615:job,163.259:ocean sea marine,148.152:convenient access public,106.488:extraction,155.498:ha,122.421:end hunger,148.338:inclusive
46,309.492:term,128.605:wind,154.022:drinking water service,187.676:global,149.822:harmful practice,130.471:literacy,165.776:risk reduction strategy,148.318:global manufacturing value,118.645:worker living,161.282:cover,147.758:street,105.746:decoupling economic growth,155.020:aggression physical,122.069:food producer,146.653:secure
47,303.814:economy,128.557:primary energy,149.290:lack access,187.169:diabetes,149.337:progress,130.001:early,165.437:temperature,147.043:researcher,117.054:reduce poverty,159.541:extinction,145.597:growth,105.746:decoupling economic,155.020:psychological aggression physical,121.779:including,145.612:gap
48,299.941:cost,127.570:goal,148.882:source,186.367:progress,147.282:norm,128.252:vocational,162.183:related,143.856:reached,116.487:contributory,153.021:change,140.266:urban area,102.260:lifestyle,155.020:subjected psychological aggression,118.105:diversity,144.689:access financial service
49,291.970:open government,127.357:access affordable reliable,148.589:sanitation hygiene,182.801:cardiovascular disease,147.033:girl woman,127.242:primary secondary school,161.790:local,138.885:flow,116.456:poverty world,151.009:protect,139.641:infrastructure,101.986:production consumption,155.020:aggression physical punishment,116.944:hungry,141.263:access financial
