,files
26,disaster risk reduction essential ending poverty fostering sustainable development disaster risk higher poorer country weaker institution middle income country experiencing rapid economic growth exposure asset natural hazard increasing faster pace risk reducing capacity strengthened leading disaster risk economic loss internationally reported disaster principally large scale disaster grown steadily reaching estimated annual reported damage housing school health care facility agricultural production statistically significant upward trend onwards despite fact global poverty rate halved intensified effort required boost income alleviate suffering build resilience individual living extreme poverty particular saharan africa
27,estimated lived international poverty figure reflects decrease global poverty rate significant progress seen eastern southeastern asia rate declined contrast saharan africa continued subsist condition extreme poverty world worker living family developed country nearly worker living poverty social protection fundamental preventing reducing poverty inequality stage life benefit child mother newborn disability older poor
28,retirement received pension global mask large regional difference oceania excluding australia zealand saharan africa respectively retirement received pension vulnerable group lack social protection severe disability collected disability benefit unemployed individual worldwide received unemployment benefit woman giving received maternity benefit building resilience poor strengthening disaster risk reduction core development strategy ending extreme poverty afflicted country economic loss disaster reaching
29,relation size economy island developing state borne impact extreme poverty eased considerably pocket worst poverty persist ending poverty requires universal social protection aimed safeguarding individual life cycle requires targeted measure reduce vulnerability disaster address specific underserved geographic area country rate extreme poverty fallen rapidly value latest global estimate suggests world population lived extreme poverty threshold proportion world worker living family declined significantly past decade falling
30,based estimate world population effectively covered social protection benefit economic loss attributed disaster estimated highest loss recent owing major hurricane affecting united state america country caribbean decline global extreme poverty continues slowed deceleration indicates world track achieve target world living extreme poverty continue live extreme poverty face deep entrenched deprivation exacerbated violent conflict vulnerability disaster strong social protection government spending service help left foot escape poverty service need brought scale
31,pace poverty reduction decelerating nowcast baseline projection suggest world population living extreme poverty missing target ending poverty despite having world worker family lived extreme poverty situation remains particularly alarming saharan africa working poor stood social protection help prevent reduce poverty provide safety vulnerable social protection reality large majority world population covered social protection benefit large variation region coverage saharan africa europe northern america
32,disaster lead downturn trajectory socioeconomic development exacerbate poverty direct economic loss disaster estimated trillion climate related disaster accounted rise compared period climate related geophysical disaster claimed estimated life death reported internationally disaster event middle income country economic loss disaster percentage gross domestic product higher country country reported progress development implementation national local disaster risk reduction strategy sendai framework disaster risk reduction march country reported progress alignment country reported respective local government developed local strategy consistent national strategy plan
33,pandemic pushing extreme poverty undoing progress pandemic highlighted need strengthen social protection emergency preparedness response measure insufficient safeguard poor vulnerable need decline pace reduction extreme poverty slowed nowcast rate pandemic reversing trend poverty reduction according recent estimate global extreme poverty rate projected close level consequently estimated pushed extreme poverty increase global poverty
34,respectively progress regard encouraging young worker world young worker lived extreme poverty compared adult worker pandemic pushing worker unemployment underemployment working poverty based world population benefit social protection critical help poorest vulnerable current crisis world population lacked coverage essential health service unemployed worker covered unemployment benefit hurricane flood earthquake wildfire extreme natural disaster exacerbate poverty
35,reported affected livelihood disrupted destroyed term direct economic loss reported country attributed agricultural sector slowdown progress poverty reduction covid pandemic global rate extreme poverty rising time triple threat covid conflict climate change global goal ending poverty unachievable immediate substantial policy action taken covid crisis demonstrated importance social protection protecting health employment income social protection measure introduced result worldwide social protection poor vulnerable
36,according nowcasts poor middle income country territory predicted living extreme poverty pandemic global extreme poverty fallen equivalent living rate decrease slowed percentage point annually period compared percentage point annually worker world living extreme poverty fell progress young worker encouraging pandemic severely affected informal economy vast majority working poor employed
37,young twice adult working poor global population covered effectively social protection benefit leaving unprotected february december government country territory announced short term social protection measure response covid crisis disaster fatality reported reporting country territory significant reduction figure disaster mortality reported country territory reached overall trend mortality declining basis latest report submitted monitoring process sendai framework disaster risk reduction direct economic loss
38,recorded agricultural sector country territory period spent government expenditure education recommended framework action implementation sustainable development goal grant basic social service development food intended poverty reduction represented gross national income donor development assistance committee eradicate extreme poverty currently measured living reduce proportion woman child living poverty dimension according national definition implement nationally appropriate social protection measure including floor achieve substantial coverage poor vulnerable ensure woman particular poor vulnerable equal right economic resource access basic service ownership control land property inheritance natural resource appropriate technology financial service including microfinance build resilience poor vulnerable situation reduce exposure vulnerability climate related extreme event economic social environmental shock disaster ensure significant mobilization resource variety source including enhanced development cooperation order provide adequate predictable mean developing country particular developed country implement programme policy poverty dimension create sound policy framework national regional international level based poor gender sensitive development strategy support accelerated investment poverty eradication action
39,goal zero hunger time rethink grow consume food right agriculture forestry fishery provide nutritious food generate decent income supporting centered rural development protecting environment right soil freshwater ocean forest biodiversity rapidly degraded climate change putting pressure resource depend increasing risk associated disaster drought flood rural woman longer meet land forcing migrate city search opportunity poor food security causing child stunted short severe malnutrition
40,investment agriculture crucial increasing capacity agricultural productivity sustainable food production necessary help alleviate peril hunger hunger estimated undernourished majority world hungry live developing country population undernourished saharan africa remains region highest prevalence hunger rate increasing saharan africa number undernourished poor nutrition cause nearly death child child child global populationwere chronically undernourished
41,agriculture single largest employer world providing livelihood today global population largest source income poor rural household farm worldwide rainfed provide food consumed large developing world investing smallholder woman important increase food security nutrition poorest food production local global market crop diversity lost farmer field better agricultural biodiversity contribute nutritious diet enhanced livelihood farming community resilient sustainable farming woman farmer access resource number hungry world reduced
42,energy poverty region fundamental barrier reducing hunger ensuring world produce food meet future demand hunger ensure access particular poor vulnerable situation including infant safe nutritious sufficient food round malnutrition including achieving internationally agreed target stunting wasting child address nutritional need adolescent girl pregnant lactating woman older double agricultural productivity income scale food producer particular woman indigenous family farmer pastoralists fisher including secure equal access land productive resource input knowledge financial service market opportunity value addition farm employment
43,maintain genetic diversity seed cultivated plant farmed domesticated animal related wild specie including soundly diversified seed plant bank national regional international level promote access fair equitable sharing benefit arising utilization genetic resource associated traditional knowledge internationally agreed increase investment including enhanced international cooperation rural infrastructure agricultural research extension service technology development plant livestock gene bank order enhance agricultural productive capacity developing country particular developed country correct prevent trade restriction distortion world agricultural market including parallel elimination agricultural export subsidy export measure equivalent effect accordance mandate doha development round
44,profound change global food agriculture needed nourish today hungry additional increase global population expected zero hunger matter whats goal hunger achieve food security improved nutrition promote sustainable agriculture extreme hunger malnutrition remains barrier sustainable development creates trap easily escape hunger malnutrition mean productive individual prone disease unable earn improve livelihood suffer hunger worldwide vast majority developing country hungry number going hungry estimated undernourished
45,reversal progress sends clear warning urgently sustainable development goal zero hunger achieved hungry climate induced shock civil insecurity declining food production contributed food scarcity food price investment agriculture sector critical reducing hunger poverty improving food security creating employment building resilience disaster shock care want family food safe nutritious world zero hunger positively impact economy health education equality social development piece building better future additionally hunger limiting human development able achieve sustainable development goal education health gender equality
46,need investment rural urban area social protection poor access food improve livelihood help change lifeat home work communityby supporting local farmer market making sustainable food choice supporting good nutrition fighting food waste power consumer voter demanding business government choice change zero hunger reality join conversation social platform local community hunger rise globally undernutrition continues affect child public investment agriculture globally declining smallscale food producer family farmer require greater support investment infrastructure technology sustainable agriculture urgently needed
47,represents worrying rise world hunger consecutive prolonged decline africa remains continent highest prevalence affecting fifth population consistent continued growth faced severe food insecurity stunting decreasing nearly region child stunted globally child affected wasting overweight strengthening resilience adaptive capacity scale family farmer productivity systematically food producer critical reversing trend rise hunger scale food producer term food producer country africa asia latin america range compared fewer europe
48,worldwide addition agriculture developing country fell nearly donor sector allocable representing decrease continuous downward trend observed export subsidy outlay reported world trade organization outlay fell close reduction export subsidy government leading distortion agricultural market prolonged decline world hunger appears rise conflict drought disaster linked climate change factor causing reversal progress proportion undernourished worldwide
49,translates worldwide child suffered stunting suffered wasting weight overweight agriculture developing country totalled falling donor sector allocable nearly progress reducing market distorting agricultural subsidy halved yearsfrom country experienced moderately level general food price negatively affected food security effort combat hunger malnutrition advanced significantly ending hunger food insecurity malnutrition require continued focused effort especially asia africa
50,proportion undernourished worldwide declined undernourished globally period estimated child stunted short result chronic malnutrition globally stunting rate fell southern asia saharan africa accounted quarter stunted child estimated child worldwide suffered wasting weight usually result acute significant food shortage disease global wasting rate highest rate southern asia
51,ending hunger demand sustainable food production resilient agricultural practice aspect effort maintaining genetic diversity plant animal crucial agriculture food production sample seed plant genetic material food agriculture preserved gene bank country regional international centre increase animal genetic material cryoconserved national breed population according information obtained country stored genetic material sufficient reconstitute national breed population extinct february local breed classified risk investment needed enhance capacity agricultural productivity
52,sector allocable allocated agriculture member country development assistance committee organization economic cooperation development oecd fell nearly late remained decline reflects shift away financing infrastructure production greater focus social sector country experienced moderately domestic price relative historic level staple cereal food commodity thirteen country saharan africa main cause price decline domestic output currency depreciation insecurity localized increase fuel price drove food price higher progress preventing distortion world agricultural market
53,december member world trade organization adopted ministerial decision eliminating export subsidy agricultural product restraining export measure similar effect goal hunger malnutrition commits universal access safe nutritious sufficient food time require sustainable food production resilient agricultural practice equal access land technology market international cooperation investment infrastructure technology boost agricultural productivity fight hunger progressed past globally prevalence hunger declined according figure according figure worldwide lack regular access adequate dietary energy
54,country failed reach target millennium development goal halving proportion suffer hunger faced natural human induced disaster political instability resulting protracted crisis vulnerability food insecurity affecting large population persistence hunger longer simply matter food availability better access food enable tracking progress guide intervention fight food insecurity malnutrition globally nearly child estimated child stunted growth stunting defined inadequate indicator cumulative effect undernutrition infection southern asia saharan africa accounted quarter child stunted growth
55,globally percentage child overweight grew ending hunger malnutrition relies heavily sustainable food production resilient agricultural practice genetic diversity livestock breed crucial agriculture food production allows raising farm animal wide range environment provides basis diverse product service globally local livestock breed meaning breed reported country risk extinction breed stable status remaining local breed unknown owing lack figure exclude livestock breed extinct increase productive capacity agriculture investment needed public private domestic foreign source
56,agriculture orientation defined agriculture government expenditure divided sector gross domestic product fell globally decline interrupted temporarily food price crisis government agricultural spending late percentage supporting agriculture developing country stable measured sector allocable member country development assistance committee organization economic cooperation development oecd decreased peak result donor beginning focus improving governance building social capital bolstering fragile state target goal correcting preventing distortion world agricultural market including elimination agricultural export subsidy
57,said progress member world trade organization adopting ministerial decision december eliminating export subsidy agricultural product restraining export measure equivalent effect hunger ensure access particular poor vulnerable situation including infant safe nutritious sufficient food round prevalence prevalence moderate severe food insecurity population based food insecurity experience scale fies malnutrition including achieving internationally agreed target stunting wasting child address nutritional need adolescent girl pregnant lactating woman older
58,prevalence malnutrition weight standard deviation median child growth standard child type wasting overweight double agricultural productivity income scale food producer particular woman indigenous family farmer pastoralists fisher including secure equal access land productive resource input knowledge financial service market opportunity value addition farm employment volume production labour unit class farming pastoral forestry enterprise size income scale food producer indigenous status ensure sustainable food production implement resilient agricultural practice increase productivity production help maintain ecosystem strengthen capacity adaptation climate change extreme weather drought flooding disaster progressively improve land soil quality
59,maintain genetic diversity seed cultivated plant farmed domesticated animal related wild specie including soundly diversified seed plant bank national regional international level promote access fair equitable sharing benefit arising utilization genetic resource associated traditional knowledge internationally agreed number plant animal genetic resource food agriculture secured long term conservation facility proportion local breed classified risk risk unknown level risk extinction increase investment including enhanced international cooperation rural infrastructure agricultural research extension service technology development plant livestock gene bank order enhance agricultural productive capacity developing country particular developed country
60,official flow official development assistance plus official flow agriculture sector correct prevent trade restriction distortion world agricultural market including parallel elimination agricultural export subsidy export measure equivalent effect accordance mandate doha development round producer support estimate agricultural export subsidy adopt measure ensure proper functioning food commodity market derivative facilitate timely access market information including food reserve order help limit extreme food price volatility indicator food price anomaly hunger achieve food security improved nutrition promote sustainable agriculture goal state hunger malnutrition accomplished doubling agricultural productivity income scale food producer especially woman indigenous ensuring sustainable food production progressively improving land soil quality
61,largest source income poor rural household woman agricultural labor force developing country asia africa woman land target deal maintaining genetic diversity seed increasing access land preventing trade restriction distortion world agricultural market limit extreme food price volatility eliminating waste help international food waste coalition ending malnutrition undernutrition child globally undernourished vast majority live developing country undernutrition cause wasting severe wasting child worldwide contributes nearly death child child
62,member country track meet target eliminate malnourishment percent progress nearly percent insufficient determine progress report international food policy research institute ifpri stated emphasis sdgs ending poverty eliminating hunger nutrition assertion based analysis experience china vietnam brazil thailand pathway achieve identified agriculture social protection nutrition intervention combination approach study published nature concluded unlikely malnutrition
63,planet provided tremendous resource unequal access inefficient handling leaf malnourished promote sustainable agriculture modern technology fair distribution sustain world population sure suffer hunger goal hunger malnutrition commits universal access safe nutritious sufficient food time require sustainable food production resilient agricultural practice equal access land technology market international cooperation investment infrastructure technology boost agricultural productivity fight hunger progressed past globally prevalence hunger declined according figure according figure
64,current trend continue zero hunger target largely missed country failed reach target millennium development goal halving proportion suffer hunger faced natural human induced disaster political instability resulting protracted crisis vulnerability food insecurity affecting large population persistence hunger longer simply matter food availability better access food enable tracking progress guide intervention fight food insecurity malnutrition globally nearly child estimated child stunted growth stunting defined inadequate indicator cumulative effect undernutrition infection
65,aspect child malnutrition growing child overweight problem affecting nearly region globally percentage child overweight grew ending hunger malnutrition relies heavily sustainable food production resilient agricultural practice genetic diversity livestock breed crucial agriculture food production allows raising farm animal wide range environment provides basis diverse product service globally local livestock breed meaning breed reported country risk extinction breed stable status remaining local breed unknown owing lack
66,increase productive capacity agriculture investment needed public private domestic foreign source recent trend government spending favourable agriculture orientation defined agriculture government expenditure divided sector gross domestic product fell globally decline interrupted temporarily food price crisis government agricultural spending late percentage supporting agriculture developing country stable measured sector allocable member country development assistance committee organization economic cooperation development oecd decreased peak result donor beginning focus improving governance building social capital bolstering fragile state
67,subsidy mask market signal reduce competitiveness lead environmental damage inequitable distribution benefit said progress member world trade organization adopting ministerial decision december eliminating export subsidy agricultural product restraining export measure equivalent effect effort combat hunger malnutrition advanced significantly ending hunger food insecurity malnutrition require continued focused effort especially asia africa investment agriculture including government spending needed increase capacity agricultural productivity proportion undernourished worldwide declined undernourished globally period
68,globally stunting rate fell southern asia saharan africa accounted quarter stunted child estimated child worldwide suffered wasting weight usually result acute significant food shortage disease global wasting rate highest rate southern asia spectrum overweight obesity affected child worldwide ending hunger demand sustainable food production resilient agricultural practice aspect effort maintaining genetic diversity plant animal crucial agriculture food production
69,sample seed plant genetic material food agriculture preserved gene bank country regional international centre increase animal genetic material cryoconserved national breed population according information obtained country stored genetic material sufficient reconstitute national breed population extinct february local breed classified risk investment needed enhance capacity agricultural productivity global agriculture orientation defined agriculture government expenditure divided sector gross domestic product fell sector allocable allocated agriculture member country development assistance committee organization economic cooperation development oecd fell nearly late remained
70,country experienced moderately domestic price relative historic level staple cereal food commodity thirteen country saharan africa main cause price decline domestic output currency depreciation insecurity localized increase fuel price drove food price higher progress preventing distortion world agricultural market global agricultural export subsidy reduced december member world trade organization adopted ministerial decision eliminating export subsidy agricultural product restraining export measure similar effect prolonged decline world hunger appears rise conflict drought disaster linked climate change factor causing reversal progress
71,translates worldwide child suffered stunting suffered wasting weight overweight agriculture developing country totalled falling donor sector allocable nearly progress reducing market distorting agricultural subsidy halved yearsa country experienced moderately level general food price negatively affected food security hunger rise globally undernutrition continues affect child
72,estimated approximately world undernourished represents worrying rise world hunger consecutive prolonged decline africa remains continent highest prevalence affecting fifth population consistent continued growth faced severe food insecurity stunting decreasing nearly region child stunted globally child affected wasting overweight strengthening resilience adaptive capacity scale family farmer productivity systematically food producer critical reversing trend rise hunger
73,government spending agriculture compared agriculture contribution economy declined ratio fell worldwide addition agriculture developing country fell nearly donor sector allocable representing decrease continuous downward trend observed export subsidy outlay reported world trade organization outlay fell close reduction export subsidy government leading distortion agricultural market number suffering severe food insecurity rise malnourished child
74,addition upsurge desert locust remains alarming east africa yemen experience acute food insecurity owing pandemic schoolchildren missing free school meal rely measure strengthen food production distribution taken immediately mitigate minimize impact pandemic estimated world population affected moderate severe food insecurity increase owing mainly increase food insecurity saharan africa latin america slightly world population experienced severe food insecurity implying reduction quantity food consumed extent possibly experienced hunger
75,globally child affected stunting quarter lived central southern asia saharan africa globally child affected acute undernutrition wasting weight condition generally caused limited nutrient intake infection wasted child lived central southern asia childhood overweight affected child worldwide wasting overweight coexist level considered called double burden malnutrition northern africa south eastern asia rate wasting
76,respectively rate overweight respectively government expenditure agricultural sector measured government expenditure agriculture divided sector fell worldwide respectively agriculture developing country fell nearly donor sector allocable sharp increase food price concentrated largely saharan africa driven production shock macroeconomic difficulty lingering impact prolonged conflict extreme weather condition area additional factor covid pandemic number experiencing hunger globally suffering food insecurity rising gradually
77,pushed chronic hunger addition country territory world continue struggle multiple malnutrition estimated world experienced hunger equivalent world population increase nearly updated estimate publication july provide recent picture effect pandemic hunger estimated world population affected moderate severe food insecurity fastest rise recorded latin america caribbean highest level registered saharan africa globally
78,figure rise result continued constraint access nutritious food essential nutrition service pandemic impact manifest wasting weight overweight affected child respectively wasting condition affected pandemic short term child estimated suffered wasting result decline household wealth disruption availability affordability nutritious food essential nutrition service childhood overweight weight rise country territory unhealthy food replaced fresh nutritious foodstuff restriction movement constrained opportunity physical activity long period
79,global prevalence anaemia woman reproductive pregnant woman pregnant woman prevalence higher central southern asia woman reproductive agricultural output labour scale food producer limited number country territory surveyed large scale producer earn time annual income smallscale producer country territory surveyed household headed male achieve higher labour productivity earn larger annual income compared female counterpart global holding plant genetic resource food agriculture reached accession conserved gene bank country territory regional international research centre
80,world target maintaining genetic diversity farmed domesticated animal field gene bank risk status local livestock breed remains unknown limited number surveyed deemed risk extinction sufficient material gene bank global local livestock breed reconstitute breed event extinction agricultural remained constant percent doubled volume disbursement amounting steady downward trend observed export subsidy outlay notified world trade organization notified annual outlay fell peak
