,"0.51*SDG9,0.49*SDG11",1.00*SDG7,1.00*SDG6,"0.81*SDG6,0.19*SDG3",1.00*SDG3,1.00*SDG5,1.00*SDG4,1.00*SDG13,"0.74*SDG9,0.26*SDG10","0.79*SDG1,0.21*SDG10","0.62*SDG14,0.38*SDG15",1.00*SDG11,1.00*SDG12,1.00*SDG16,1.00*SDG2,1.00*SDG8
28,0.272:social,0.087:improvement,0.092:related,0.127:improved,0.116:reproductive,0.106:partner,0.082:child adolescent,0.119:greenhouse,0.106:network,0.068:disability,0.091:human,0.099:safe,0.087:convention,0.096:psychological,0.083:aid,0.087:trade
29,0.272:strategy,0.082:transition,0.090:chapter,0.121:access basic sanitation,0.110:health care,0.092:intimate partner,0.081:rate,0.119:greenhouse gas,0.104:region,0.067:coverage,0.090:terrestrial,0.096:pollution,0.080:country,0.096:principle,0.080:seed,0.085:men
30,0.271:open,0.080:gas,0.087:river,0.116:lack access,0.110:coverage,0.092:intimate,0.081:access,0.118:plan,0.102:global manufacturing,0.067:lived,0.089:world,0.090:access,0.079:national,0.094:conflict,0.080:plant,0.085:country
31,0.266:infrastructure,0.080:investment,0.087:integrated,0.116:access basic,0.109:treatment,0.092:violence woman,0.078:reading mathematics,0.115:gas,0.099:product,0.064:poverty reduction,0.088:sustainably,0.089:sprawl,0.078:developing,0.093:physical punishment,0.080:land,0.081:work
32,0.264:tool,0.079:reliable,0.087:quality,0.112:population safely,0.107:mental,0.087:care,0.078:level,0.115:united framework convention,0.097:sector,0.062:rate,0.082:management,0.089:proportion,0.077:mineral,0.093:psychological aggression,0.074:stunting,0.076:aid trade
33,0.255:inclusive,0.074:renewable energy energy,0.085:financing,0.110:global population,0.107:hepatitis,0.085:position,0.077:secondary school,0.115:united framework,0.095:increase,0.062:lived extreme,0.081:ocean sea,0.087:number,0.075:sustainable development,0.093:available,0.073:farmer,0.076:child labour
34,0.253:tax,0.074:meet,0.082:water sanitation,0.107:disease,0.105:ha,0.084:political,0.076:pre primary,0.112:strategy,0.090:wa,0.062:lived extreme poverty,0.080:eutrophication,0.087:dweller,0.075:programme sustainable,0.090:detected,0.072:affected,0.075:wage
35,0.251:framework,0.073:consumption,0.075:water security,0.107:soap water,0.104:wa,0.084:aged,0.075:classroom,0.111:adaptation plan,0.088:emission,0.062:live,0.079:fish stock,0.087:city country,0.075:framework programme sustainable,0.087:information,0.072:severe,0.075:annual growth
36,0.248:housing,0.071:coal,0.073:pollution,0.107:soap,0.104:global,0.082:law,0.075:basic,0.111:national adaptation plan,0.087:duty,0.059:pandemic,0.078:overfishing,0.084:urban sprawl,0.075:framework programme,0.087:saharan,0.071:sustainable food,0.074:decent work
37,0.248:focus,0.069:affordable reliable,0.072:ecosystem,0.098:basic drinking water,0.104:infectious,0.082:gender inequality,0.073:learning outcome,0.110:united,0.087:northern america,0.058:global poverty,0.078:mountain,0.083:eastern,0.075:programme sustainable consumption,0.087:sub saharan,0.068:nearly,0.074:pay
38,0.245:growth,0.067:affordable,0.071:ha,0.098:basic drinking,0.102:infection,0.081:empowerment woman,0.072:teaching,0.110:disaster risk reduction,0.084:europe,0.057:ha,0.077:ocean acidification,0.079:solid,0.074:taking,0.086:sub saharan africa,0.068:globally,0.073:financial service
39,0.242:study,0.065:growth,0.070:wastewater,0.097:handwashing facility,0.102:number,0.079:national parliament,0.072:enrolment,0.108:risk reduction,0.084:developing region,0.057:poverty ha,0.075:earth,0.076:open,0.074:framework,0.086:saharan africa,0.068:increase,0.072:ha
40,0.242:process,0.063:demand,0.069:disbursement,0.097:handwashing,0.101:risk,0.078:gap,0.071:adolescent,0.104:developed country,0.084:europe northern america,0.057:service,0.074:level,0.075:sustainable,0.073:metric metric,0.085:sub,0.067:end,0.071:pay gap
41,0.239:potential,0.063:energy source,0.069:implementation,0.094:service lack,0.100:neonatal mortality,0.078:participation,0.070:young,0.103:impact,0.084:europe northern,0.056:economic,0.074:livelihood,0.074:access public transport,0.072:resource efficiency,0.085:public,0.066:animal,0.068:developed country
42,0.238:service,0.061:rate improvement,0.068:level,0.093:water source,0.100:infectious disease,0.077:physical sexual,0.070:boy,0.103:developed,0.084:industrial,0.055:live extreme,0.073:marine ecosystem,0.074:convenient access public,0.072:national policy,0.084:latin america,0.066:hunger malnutrition,0.067:global unemployment rate
43,0.237:better,0.060:need,0.068:irrigation,0.091:adequate,0.099:declined,0.074:legal framework,0.070:pre,0.097:developing,0.083:carbon dioxide,0.055:live extreme poverty,0.071:extinction,0.074:access public,0.067:footprint developing,0.083:freedom,0.066:food producer,0.067:global unemployment
44,0.235:indicator,0.058:supply,0.065:lake,0.091:safely sanitation service,0.098:new,0.074:time,0.069:scholarship,0.095:warming,0.083:dioxide,0.054:majority,0.071:cover,0.074:street,0.067:degradation,0.082:compliant,0.066:access,0.065:training
45,0.234:governance,0.058:access energy,0.065:challenge,0.089:lacked basic,0.097:worldwide,0.072:harmful,0.066:primary secondary school,0.090:loss,0.080:researcher,0.054:job,0.071:sea marine resource,0.073:walking,0.066:decoupling economic,0.081:latin,0.066:livestock,0.064:globally
46,0.227:term,0.058:wind,0.063:increase,0.088:progress,0.095:cause,0.071:norm,0.065:school child,0.089:risk reduction strategy,0.080:global manufacturing value,0.053:worker living,0.071:sea marine,0.073:south,0.066:decoupling economic growth,0.080:proportion,0.065:end hunger,0.063:gap
47,0.226:provides,0.057:primary energy,0.063:water related ecosystem,0.087:care,0.093:mental health,0.070:progress,0.065:outcome,0.089:temperature,0.080:innovation,0.051:reduce poverty,0.071:ocean sea marine,0.073:solid waste,0.065:extraction,0.080:access information,0.064:fell,0.062:secure
48,0.222:economy,0.056:access affordable reliable,0.063:related ecosystem,0.087:access water,0.092:neglected,0.070:harmful practice,0.062:girl,0.088:related,0.079:reached,0.051:poverty world,0.067:change,0.069:growth,0.063:production consumption,0.080:subjected psychological,0.063:hungry,0.062:access financial service
49,0.218:including,0.056:sustainable energy,0.058:aquifer,0.087:access safe,0.092:maternal mortality,0.069:girl woman,0.060:ensure,0.087:local,0.078:flow,0.051:contributory,0.065:desertification,0.068:urban area,0.063:lifestyle,0.080:aggression physical,0.063:sustainable food production,0.062:inclusive
