,1.00*SDG2,1.00*SDG5,1.00*SDG7,1.00*SDG6,"0.63*SDG3,0.37*SDG11",1.00*SDG3,1.00*SDG15,1.00*SDG13,"0.85*SDG1,0.15*SDG10",1.00*SDG4,1.00*SDG14,1.00*SDG11,1.00*SDG9,1.00*SDG10,1.00*SDG16,1.00*SDG12,1.00*SDG8
15,production,female genital mutilation,energy energy,water scarcity,application,care,forest area,convention,disaster,saharan,fish stock,living slum,carbon,inequality,national,domestic,informal
16,market,child marriage,modern,lack,intelligence,vaccine,desertification,national adaptation,child,quality education,marine resource,settlement,carbon dioxide,duty free,right institution,consumption production pattern,economic growth
17,genetic,practice,global,scarcity,machine,saharan,wildlife,reduction,population,africa,level,convenient access,dioxide,free,human right institution,production pattern,informal employment
18,undernourished,country,improvement,resource,neural network,adolescent,land degradation,national,living extreme poverty,primary secondary education,overfishing,convenient,developing,developed country island,national human,company,young
19,nutritious,partner,renewable energy energy,sector,neural,neonatal,biodiversity loss,framework,living extreme,saharan africa,conservation,open public,research development,assistance,national human right,natural resource,region
20,world,legal,consumption,freshwater,different,saharan africa,land area,disaster risk,poor vulnerable,skill,biologically,open public space,mobile,international,principle,pattern,working
21,food price,work,global energy,hygiene,analysis,reproductive,extinction,convention climate change,rate,access,biologically sustainable,pollution,northern america,including,sexual violence,convention,annual
22,overweight,parliament,affordable reliable,country,artificial intelligence,africa,hectare,convention climate,inequality,basic,biodiversity,world,europe,product,aggression,natural,decent
23,producer,right,clean energy,asia,prediction,globally,management,framework convention climate,lived,country,environment,urban resident,development,cost,punishment,development,annual growth
24,stunting,discrimination,reliable,water resource management,present,hepatitis,halt,global,pandemic,rate,coastal eutrophication,resident,europe northern america,tariff,psychological,policy,trade
25,nutrition,intimate partner,affordable,lacked,deep,risk,covered,greenhouse,reduce,child adolescent,protected area,safe,europe northern,particular,access,taking,income
26,sustainable food,intimate,rate improvement,defecation,conservation,global,deforestation,mitigation,economic,reading mathematics,area,access,sector,national,income,framework,developed
27,sector,empowerment,clean cooking,open defecation,image,coverage,resource,plan,family,secondary school,protected,open,america,flow,available,economic,child labour
28,hunger malnutrition,care,cooking fuel,safely drinking,field,treatment,terrestrial freshwater,national adaptation plan,lived extreme poverty,level,biologically sustainable level,solid waste,global manufacturing value,policy,physical punishment,metric metric,decent work
29,globally,unpaid,modern energy,safely drinking water,machine learning,neonatal mortality,genetic,adaptation plan,lived extreme,adolescent,sustainable level,solid,region,development assistance,psychological aggression,environmental,financial service
30,nearly,aged,access affordable reliable,safely sanitation,information,infectious,degraded,united framework convention,reduction,student,water,proportion,research,donor,income country,country,country
31,plant,equal,access clean cooking,integrated water,performance,infectious disease,genetic resource,united framework,country,trained,national jurisdiction,city country,network,country developing,public,hazardous,work
32,fell,violence woman,access affordable,integrated water resource,feature,maternal mortality,protecting,disaster risk reduction,live,primary secondary school,jurisdiction,dweller,northern,particular developed,society,national,crisis
33,investment,girl woman,wind,resource management,deep learning,number,cover,strategy,reduce poverty,scholarship,scale fishery,eastern,dioxide emission,particular developed country,africa,framework programme sustainable,woman
34,sustainable food production,national parliament,population access,wastewater,human,worldwide,sustainable,risk reduction,policy,young,ocean resource,sustainable,carbon dioxide emission,export,detected,framework programme,global unemployment rate
35,food producer,physical sexual,clean fuel,supply,problem,declined,loss forest,united,service,school child,world,number,reached,technology,conflict,programme sustainable consumption,global unemployment
36,food security,child,clean cooking fuel,sanitation facility,behavior,life,area covered,risk,live extreme poverty,learning outcome,impact,challenge,economic,free treatment,compliant,programme sustainable,secure
37,hungry,harmful,cooking fuel technology,population,tool,progress,sustainably,risk reduction strategy,live extreme,girl,percent,access public,technology,duty free treatment,freedom,sustainability,globally
38,agricultural productivity,girl aged,need,drinking water service,social,infection,poaching trafficking,impact,poverty reduction,enrolment,scale,convenient access public,transport,access,killed,national policy,access financial service
39,farmer,political,progress,integrated,clinical,neglected,poaching,local,need,equitable quality,management,access public transport,researcher,country particular,information,impact,inclusive
40,africa,harmful practice,primary energy,water sector,classification,maternal death,area protected,reduction strategy,worker living,electricity,carbon dioxide,population living,growth,treatment,subjected psychological,practice,access financial
41,severe,domestic,solar,water efficiency,potential,estimated,term,greenhouse emission,poverty world,training,dioxide,sprawl,manufacturing industry,money,psychological aggression physical,global,annual growth rate
42,productivity,position,infrastructure,fresh water,work,traffic,earth,resilience,ending poverty,ensure,global,rapid urbanization,value added manufacturing,increase,subjected psychological aggression,developing,developed country
43,worldwide,empowerment woman,energy global,water supply,technology,road traffic,target,warming,global poverty,primary school teacher,carbon,urban population living,added manufacturing,migration,aggression physical punishment,footprint developing,youth employment
44,rise,reproductive,increase,fresh,applied,died,mountain area,related,pension,school teacher,marine ecosystem,population living slum,service,developed country developing,aggression physical,lifestyle,sustainable economic
45,affected,progress,rate,river,fuzzy,tropical disease,restore,temperature,health,asia,marine pollution,grow,industrial,migrant,latin america,chemical,sustained inclusive
46,allocable,sexual violence,goal,handwashing facility,detection,neglected tropical,effort,secretariat,dimension,worldwide,stock biologically sustainable,south,manufacturing production,financial,access information,sustainable development,promote
47,sector allocable,world,energy energy consumption,handwashing,review,neglected tropical disease,green,developed,majority,literacy,stock biologically,human settlement,developing country,market,paris principle,country taking,pandemic
48,government,experienced,investment,open,multiple,tobacco,natural,carbon,working poor,achieved,ocean marine,land,compared,transfer,crime,reduce,developed region
49,access,globally woman,hydropower,global population,vehicle,health care,habitat,record,living poverty,outcome,ocean marine resource,slum dweller,covered,ldcs,subjected,growth,engaged
