,"0.51*SDG9,0.49*SDG11",1.00*SDG7,1.00*SDG6,"0.84*SDG6,0.16*SDG3",1.00*SDG3,1.00*SDG5,1.00*SDG4,1.00*SDG13,1.00*SDG9,"0.81*SDG1,0.19*SDG10",1.00*SDG15,1.00*SDG11,1.00*SDG12,1.00*SDG16,1.00*SDG2,1.00*SDG8,1.00*SDG14,1.00*SDG10
17,0.370:market,0.106:sector,0.114:integrated water resource,0.162:lacked,0.136:death live,0.133:genital,0.111:primary secondary education,0.168:convention,0.133:developing,0.098:vulnerable,0.113:forest area,0.112:land,0.146:production pattern,0.121:right institution,0.101:subsidy,0.115:financial,0.116:eutrophication,0.129:free
18,0.369:need,0.101:clean energy,0.109:efficiency,0.158:population,0.133:mortality,0.133:genital mutilation,0.107:training,0.144:disaster risk,0.127:mobile,0.090:le,0.113:freshwater,0.107:urban resident,0.145:metric,0.121:human right institution,0.100:price,0.112:young,0.111:ocean acidification,0.128:inequality
19,0.366:sector,0.101:energy energy,0.105:water sector,0.156:safely drinking,0.131:southern asia,0.133:mutilation,0.105:skill,0.144:national,0.126:carbon dioxide,0.087:country,0.110:wildlife,0.106:living slum,0.133:domestic,0.121:national human right,0.098:export subsidy,0.112:gdp,0.109:overfishing,0.118:assistance
20,0.362:transport,0.101:energy sector,0.104:fresh water,0.156:safely drinking water,0.129:southern,0.130:parliament,0.084:country,0.142:framework convention climate,0.126:dioxide,0.086:family,0.107:land area,0.104:safe,0.132:natural,0.121:national human,0.094:security,0.111:informal employment,0.105:fish stock,0.112:including
21,0.353:economic,0.098:access clean,0.102:country,0.154:safely sanitation,0.125:region,0.127:equal,0.080:trained,0.142:convention climate change,0.124:research development,0.084:poverty rate,0.107:conservation,0.103:convenient,0.117:company,0.120:access,0.094:producer,0.104:decent,0.102:ocean sea marine,0.108:flow
22,0.344:different,0.097:fossil fuel,0.102:fresh,0.145:sanitation facility,0.116:mortality rate,0.122:married,0.080:access,0.142:convention climate,0.118:carbon,0.082:living extreme poverty,0.102:hectare,0.103:convenient access,0.116:economic,0.119:sexual violence,0.094:genetic,0.103:working,0.102:sea marine,0.106:international
23,0.335:oecd country,0.096:global energy,0.099:water policy,0.144:safe,0.114:live,0.122:practice,0.079:pre primary,0.141:framework,0.118:northern america,0.082:living extreme,0.088:degraded,0.103:pollution,0.103:growth,0.111:principle,0.092:world,0.098:annual,0.102:sea marine resource,0.104:product
24,0.328:help,0.094:source,0.097:water supply sanitation,0.144:sanitation hygiene,0.112:highest,0.121:child marriage,0.079:classroom,0.141:resilience,0.114:research,0.077:reduction,0.086:halt,0.103:planning,0.099:decoupling,0.111:aggression,0.089:food price,0.097:crisis,0.098:marine ecosystem,0.104:tariff
25,0.325:country,0.094:fuel technology,0.097:supply sanitation,0.144:drinking water service,0.111:uninfected,0.118:empowerment,0.078:level,0.141:national adaptation,0.114:europe,0.075:poor vulnerable,0.083:natural,0.102:world,0.095:global,0.110:punishment,0.083:undernourished,0.095:region,0.097:human,0.102:particular
26,0.319:open,0.093:modern,0.096:cost,0.139:basic sanitation,0.107:woman,0.116:country,0.077:teaching,0.139:global,0.113:europe northern america,0.071:pension,0.082:deforestation,0.102:open public space,0.090:economic growth,0.109:psychological,0.083:overweight,0.094:income,0.091:global,0.100:particular developed
27,0.318:analysis,0.092:access electricity,0.096:related,0.134:improved,0.103:wa,0.113:unpaid,0.077:learning outcome,0.133:greenhouse gas,0.113:europe northern,0.068:coverage,0.080:covered,0.102:open public,0.090:convention,0.109:conflict,0.080:aid,0.093:men,0.090:biodiversity,0.100:particular developed country
28,0.316:practice,0.090:improvement,0.094:freshwater,0.128:access basic sanitation,0.102:infectious,0.110:partner,0.076:child adolescent,0.133:greenhouse,0.108:sector,0.068:lived,0.079:genetic resource,0.101:air pollution,0.087:development,0.105:physical punishment,0.079:market,0.092:trade,0.090:level,0.099:national
29,0.313:strategy,0.084:transition,0.092:chapter,0.123:lack access,0.098:infectious disease,0.096:intimate partner,0.076:reading mathematics,0.131:mitigation,0.107:global manufacturing value,0.066:disability,0.078:terrestrial freshwater,0.095:area,0.079:mineral,0.105:psychological aggression,0.076:seed,0.091:work,0.089:ocean resource,0.094:export
30,0.310:infrastructure,0.081:gas,0.091:quality,0.123:access basic,0.093:declined,0.096:intimate,0.075:boy,0.129:gas,0.104:america,0.066:reduce,0.077:resource,0.093:access,0.078:national,0.104:income country,0.075:farmer,0.087:developed,0.087:coastal eutrophication,0.094:donor
31,0.305:tool,0.081:investment,0.090:river,0.121:population safely,0.093:neonatal,0.095:violence woman,0.075:basic,0.125:united framework,0.100:reached,0.066:poverty reduction,0.076:genetic,0.093:sprawl,0.077:programme sustainable,0.102:information,0.073:stunting,0.083:decent work,0.082:world,0.093:development assistance
32,0.302:social,0.081:reliable,0.088:integrated,0.115:soap,0.091:new hiv,0.095:care,0.072:secondary school,0.125:united framework convention,0.096:northern,0.064:lived extreme,0.074:cover,0.091:proportion,0.077:programme sustainable consumption,0.101:income,0.071:severe,0.083:child labour,0.082:protected area,0.092:country particular
33,0.297:tax,0.076:meet,0.088:financing,0.115:soap water,0.091:hiv infection,0.089:position,0.072:pre,0.122:strategy,0.095:region,0.064:lived extreme poverty,0.072:sustainable,0.089:number,0.077:framework programme sustainable,0.101:available,0.070:sustainable food,0.082:aid trade,0.079:biologically,0.091:access
34,0.295:framework,0.075:renewable energy energy,0.085:water sanitation,0.114:global population,0.085:fell,0.089:political,0.071:enrolment,0.120:united,0.094:value added gdp,0.064:pandemic,0.071:earth,0.088:dweller,0.077:framework programme,0.101:public,0.070:end,0.082:annual growth,0.079:protected,0.089:treatment
35,0.288:housing,0.075:consumption,0.077:water security,0.106:basic drinking,0.084:eastern,0.086:gender inequality,0.071:sub saharan,0.119:plan,0.094:added gdp,0.061:service,0.070:management,0.088:city country,0.075:framework,0.099:detected,0.068:hunger malnutrition,0.081:pay,0.079:biologically sustainable,0.087:duty free treatment
36,0.284:focus,0.073:coal,0.076:pollution,0.106:basic drinking water,0.081:reproductive,0.085:law,0.071:saharan,0.118:disaster risk reduction,0.093:development,0.060:global poverty,0.069:effort,0.087:urban sprawl,0.075:taking,0.098:freedom,0.067:food producer,0.080:financial service,0.079:conservation,0.087:free treatment
37,0.283:growth,0.070:affordable reliable,0.073:ecosystem,0.105:handwashing,0.079:estimated,0.085:empowerment woman,0.071:young,0.115:risk reduction,0.093:carbon dioxide emission,0.060:live,0.065:sustainably,0.083:solid,0.075:metric metric,0.097:compliant,0.067:end hunger,0.080:country,0.078:dioxide,0.084:increase
38,0.282:inclusive,0.068:affordable,0.072:wastewater,0.105:handwashing facility,0.077:ha,0.083:national parliament,0.071:outcome,0.115:impact,0.093:dioxide emission,0.060:poverty ha,0.064:animal,0.081:sustainable,0.075:resource efficiency,0.097:society,0.065:hungry,0.078:pay gap,0.078:carbon dioxide,0.083:country developing
39,0.281:study,0.066:growth,0.071:ha,0.100:health,0.077:central,0.082:participation,0.069:school child,0.113:adaptation plan,0.092:researcher,0.059:economic,0.064:plant,0.078:open,0.075:sustainable development,0.093:access information,0.064:nearly,0.076:wage,0.077:impact,0.083:developing country particular
40,0.279:potential,0.065:demand,0.071:irrigation,0.100:service lack,0.076:malaria,0.082:aged,0.068:sub,0.113:national adaptation plan,0.086:developing country,0.058:ha,0.062:loss forest,0.076:solid waste,0.073:national policy,0.092:violent,0.064:affected,0.074:ha,0.076:sustainably,0.081:financial
41,0.278:process,0.064:energy source,0.071:disbursement,0.099:water source,0.075:worldwide,0.082:gap,0.067:scholarship,0.104:warming,0.083:global gdp,0.057:job,0.062:protecting,0.076:walking,0.071:country,0.090:subjected psychological,0.064:chain,0.073:global unemployment,0.075:national jurisdiction,0.080:money
42,0.272:better,0.062:rate improvement,0.070:implementation,0.098:safely sanitation service,0.074:new hiv infection,0.080:physical sexual,0.066:africa,0.099:loss,0.082:manufacturing production,0.057:live extreme,0.061:area covered,0.075:eastern,0.069:footprint developing,0.090:aggression physical,0.063:livestock,0.073:global unemployment rate,0.075:jurisdiction,0.079:technology
43,0.271:indicator,0.060:need,0.070:level,0.097:adequate,0.073:adolescent rate,0.078:legal framework,0.064:educational,0.098:temperature,0.081:technology,0.057:live extreme poverty,0.060:poaching,0.075:convenient access public,0.069:developing,0.090:subjected psychological aggression,0.062:plant,0.071:training,0.075:area,0.078:accordance
44,0.267:governance,0.060:supply,0.067:lake,0.096:lacked basic,0.072:central southern asia,0.077:time,0.064:ensure,0.095:hazard,0.081:compared,0.057:rate,0.060:term,0.075:access public transport,0.068:degradation,0.090:aggression physical punishment,0.062:food waste,0.069:gap,0.074:scale fishery,0.077:migration
45,0.264:provides,0.059:access energy,0.066:challenge,0.092:access water,0.071:central southern,0.075:harmful,0.061:early,0.095:risk reduction strategy,0.080:researcher inhabitant,0.056:majority,0.060:poaching trafficking,0.075:access public,0.068:decoupling economic,0.090:psychological aggression physical,0.062:sustainable food production,0.069:inclusive,0.074:sustainable ocean,0.076:bank
46,0.258:service,0.059:primary energy,0.064:related ecosystem,0.092:equitable,0.070:period,0.073:harmful practice,0.061:literacy,0.093:greenhouse gas emission,0.079:covered,0.054:worker living,0.059:invasive,0.074:street,0.068:decoupling economic growth,0.089:paris principle,0.061:zero hunger,0.069:secure,0.074:percent,0.074:cost
47,0.257:term,0.059:wind,0.064:water related ecosystem,0.090:access safe,0.069:neonatal mortality,0.072:norm,0.061:primary secondary school,0.093:gas emission,0.078:inhabitant,0.053:poverty world,0.059:world,0.073:growth,0.068:extraction,0.088:subjected,0.061:prevalence,0.068:access financial service,0.072:change,0.074:migrant
48,0.254:economy,0.057:sustainable energy,0.063:increase,0.090:disease,0.068:aged,0.072:progress,0.060:equitable quality,0.093:related,0.078:wa,0.053:reduce poverty,0.058:sharing,0.071:urban area,0.065:production consumption,0.088:proportion,0.061:farm,0.067:labour market,0.072:reef,0.074:country accordance
49,0.253:open government,0.057:required,0.060:aquifer,0.090:progress,0.067:northern,0.072:girl woman,0.060:compulsory,0.092:level,0.078:transport,0.053:contributory,0.058:soil,0.068:population living slum,0.064:metallic,0.088:killed,0.060:resilient,0.066:access financial,0.071:marine pollution,0.074:developed country developing
