,"0.51*SDG9,0.49*SDG11",1.00*SDG7,1.00*SDG6,1.00*SDG3,1.00*SDG5,1.00*SDG4,1.00*SDG13,"0.75*SDG9,0.25*SDG10","0.79*SDG1,0.21*SDG10","0.62*SDG14,0.38*SDG15",1.00*SDG11,1.00*SDG12,"0.85*SDG16,0.15*SDG10",1.00*SDG2,1.00*SDG8
17,1212.424:sector,609.855:sector,666.032:facility,660.696:risk,682.052:genital mutilation,566.000:training,707.375:convention,553.881:island,526.782:child,646.055:conservation,565.175:area,446.933:production pattern,531.205:access,405.223:nutritious,525.553:informal
18,1148.723:need,584.927:clean energy,658.973:water scarcity,657.660:traffic,682.052:female genital,563.278:primary secondary education,666.641:national,544.053:developing state,513.861:vulnerable,595.560:fish,540.802:resident,442.786:metric,514.198:income,403.135:food production,518.844:income
19,1141.352:market,576.403:energy energy,628.285:water resource management,657.099:tobacco,682.052:female genital mutilation,538.854:skill,638.740:national adaptation,544.053:island developing,467.711:le,590.959:acidification,508.117:urban resident,410.769:natural,498.310:human right institution,395.715:export subsidy,510.744:gdp
20,1125.034:economic,573.622:energy sector,613.755:lack,651.252:hepatitis,667.181:parliament,508.140:country,607.248:disaster risk,544.053:island developing state,449.719:family,566.348:marine resource,505.746:safe,407.411:domestic,498.310:right institution,390.615:price,507.801:informal employment
21,1103.215:transport,567.336:access clean,608.395:hygiene,641.479:mortality rate,651.720:equal,459.664:access,598.167:framework,516.740:employment,436.279:poverty rate,557.617:environment,504.577:living slum,362.864:company,498.310:national human,372.371:world,507.343:young
22,1096.475:different,557.920:fossil fuel,602.045:resource management,629.117:rate,627.332:practice,441.180:basic,597.401:framework convention climate,479.138:mobile,424.451:living extreme poverty,551.169:stock,497.624:world,352.469:economic,498.310:national human right,366.933:producer,482.501:decent
23,1053.677:oecd country,549.452:global energy,561.620:water related,624.498:child,624.409:married,404.473:trained,597.401:convention climate,474.385:research development,424.451:living extreme,546.618:pollution,489.782:planning,307.532:growth,477.035:principle,366.449:security,470.565:working
24,1007.994:help,543.764:source,518.852:water supply sanitation,603.973:essential,620.948:child marriage,401.315:classroom,597.401:convention climate change,471.178:state,408.478:reduction,532.373:degradation,486.990:convenient access,302.948:decoupling,456.663:sexual violence,350.566:food price,459.679:country
25,991.806:infrastructure,541.477:modern,518.852:supply sanitation,599.698:neglected,606.633:empowerment,401.000:pre primary,585.489:resilience,465.354:technology,393.029:poor vulnerable,526.154:global,486.990:convenient,282.115:global,441.612:income country,342.174:market,458.126:developed
26,991.012:analysis,539.684:fuel technology,509.612:country,593.687:road traffic,596.511:country,393.901:teaching,560.192:mitigation,461.449:network,374.922:pension,523.964:fishing,484.472:open public space,275.313:development,435.095:conflict,338.522:land,456.226:annual
27,987.611:strategy,530.447:access electricity,488.360:freshwater,587.113:treatment,579.949:unpaid,392.096:level,552.200:global,454.864:country island,366.036:reduce,519.077:biodiversity area,484.472:open public,274.155:economic growth,432.915:public,331.404:plant,449.737:trade
28,985.150:country,514.936:improvement,479.503:transboundary,587.022:maternal death,566.778:partner,390.938:learning outcome,545.823:plan,445.997:country island developing,360.686:disability,511.160:human,479.790:air pollution,273.608:convention,429.822:aggression,328.650:seed,442.628:crisis
29,977.905:practice,481.909:transition,479.468:water quality,584.294:cardiovascular,493.584:intimate partner,387.712:child adolescent,545.275:greenhouse gas,440.091:global manufacturing,352.385:coverage,501.181:terrestrial,475.006:access,255.652:country,429.428:information,326.222:aid,433.534:region
30,951.015:social,472.606:gas,478.437:wastewater,578.241:tropical disease,493.584:intimate,386.897:reading mathematics,545.275:greenhouse,432.291:region,351.234:lived,497.425:world,467.271:pollution,249.763:national,426.663:available,315.420:undernourished,427.634:men
31,947.626:open,470.389:investment,460.648:related,578.241:neglected tropical,490.114:violence woman,382.668:boy,529.676:gas,415.081:sector,348.613:poverty reduction,494.973:sustainably,446.845:proportion,243.626:mineral,425.587:punishment,313.930:overweight,415.669:work
32,940.595:tool,467.502:reliable,444.097:defecation,578.241:neglected tropical disease,489.096:care,378.438:enrolment,527.271:united framework convention,414.760:product,332.456:lived extreme,479.949:management,440.607:sprawl,242.782:developing,424.502:psychological,289.431:farmer,391.696:aid trade
33,930.409:framework,433.439:meet,444.097:open defecation,577.006:life,456.594:position,365.371:secondary school,527.271:united framework,396.566:increase,332.456:lived extreme poverty,461.137:ocean sea,419.949:number,235.600:taking,407.779:freedom,288.112:country,384.245:wage
34,912.181:tax,433.164:consumption,432.722:integrated water resource,576.688:premature,452.219:political,365.148:pre,512.569:national adaptation plan,382.183:emission,327.554:service,458.009:eutrophication,418.818:dweller,235.562:sustainable development,407.369:physical punishment,282.457:increase,383.500:decent work
35,901.645:governance,432.399:renewable energy energy,432.722:integrated water,572.331:tropical,439.803:gender inequality,363.051:scholarship,512.569:adaptation plan,367.832:wa,314.754:pandemic,444.365:fish stock,418.341:city country,234.119:programme sustainable,407.369:psychological aggression,279.118:access,383.106:child labour
36,896.170:housing,416.812:coal,426.498:river,562.321:alcohol,438.978:law,358.972:outcome,512.058:strategy,367.306:northern america,314.040:global poverty,440.893:overfishing,415.328:urban sprawl,234.119:programme sustainable consumption,398.219:compliant,277.060:severe,378.314:annual growth
37,894.029:study,407.710:affordable reliable,422.089:water efficiency,553.642:number,435.506:empowerment woman,353.842:young,503.739:united,360.193:duty,311.142:economic,436.945:mountain,395.318:open,234.119:framework programme,389.246:access information,276.090:sustainable food,371.138:financial service
38,880.718:focus,398.709:affordable,418.911:sector,551.634:country,426.818:aged,348.328:school child,501.863:disaster risk reduction,359.319:europe,311.107:poverty ha,435.636:ocean acidification,392.053:solid,234.119:framework programme sustainable,386.812:detected,273.205:end,371.121:pay
39,878.672:potential,383.624:growth,415.796:lacked,550.198:maternal mortality,424.772:participation,347.092:saharan,490.942:risk reduction,358.967:europe northern,310.502:live,427.168:level,386.702:sustainable,231.107:framework,385.828:society,273.071:animal,358.863:developed country
40,866.197:process,369.286:demand,415.758:safely drinking water,544.243:service,423.399:national parliament,347.092:sub saharan,478.239:developed country,358.967:europe northern america,297.710:live extreme poverty,420.673:earth,365.564:eastern,229.709:metric metric,381.375:proportion,272.780:stunting,355.293:pay gap
41,863.516:growth,367.798:energy source,415.758:safely drinking,527.466:cause,421.419:gap,342.930:ensure,474.167:developed,358.953:industrial,297.710:live extreme,416.855:marine ecosystem,361.275:solid waste,228.308:resource efficiency,366.917:paris principle,272.481:affected,343.506:ha
42,845.680:inclusive,359.848:rate improvement,413.980:safely sanitation,527.466:road,409.697:physical sexual,332.454:educational,473.595:impact,357.282:dioxide,296.540:ha,411.985:livelihood,358.905:walking,225.021:national policy,361.483:violent,267.677:livestock,333.066:training
43,842.202:indicator,356.573:need,413.086:safe,515.721:population,398.940:time,327.048:sub,445.615:developing,357.282:carbon dioxide,295.240:rate,401.939:sea marine resource,355.017:access public transport,210.991:footprint developing,353.376:adopted,262.866:hunger malnutrition,331.840:global unemployment
44,835.324:better,345.037:supply,410.187:access water,514.946:injury,397.612:legal framework,318.757:africa,436.504:warming,351.077:developing region,291.436:majority,401.939:sea marine,355.017:access public,209.739:degradation,349.993:killed,259.712:nearly,331.840:global unemployment rate
45,834.955:provides,339.523:access energy,405.655:water sector,495.633:tuberculosis,386.842:harmful,318.407:facility,411.135:loss,346.819:innovation,288.433:job,401.939:ocean sea marine,355.017:convenient access public,208.177:extraction,348.769:ha,258.627:end hunger,324.219:inclusive
46,818.692:term,336.354:wind,400.605:drinking water service,491.694:global,374.296:harmful practice,316.738:literacy,407.797:risk reduction strategy,343.064:global manufacturing value,281.387:worker living,397.084:cover,354.073:street,206.726:decoupling economic growth,347.695:aggression physical,257.885:food producer,320.536:secure
47,803.683:economy,336.229:primary energy,388.297:lack access,490.367:diabetes,373.083:progress,315.596:early,406.959:temperature,340.119:researcher,277.614:reduce poverty,392.809:extinction,348.904:growth,206.726:decoupling economic,347.695:psychological aggression physical,257.266:including,318.250:gap
48,793.419:cost,333.645:goal,387.236:source,488.265:progress,367.951:norm,311.350:vocational,398.958:related,332.746:reached,276.271:contributory,376.735:change,336.119:urban area,199.910:lifestyle,347.695:subjected psychological aggression,249.501:diversity,316.240:access financial service
49,772.370:open government,333.091:access affordable reliable,386.474:sanitation hygiene,478.924:cardiovascular disease,367.329:girl woman,308.898:primary secondary school,397.991:local,321.250:flow,276.194:poverty world,371.787:protect,334.616:infrastructure,199.374:production consumption,347.695:aggression physical punishment,247.057:hungry,308.752:access financial
