Authors,Title,Year,Link,Abstract,Document Type,Source,EID
"Morgan M.G.","Use (and abuse) of expert elicitation in support of decision making for public policy",2014,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84900993131&doi=10.1073%2fpnas.1319946111&partnerID=40&md5=1c2c1173243ff161db99eb41b20fe024","The elicitation of scientific and technical judgments from experts, in the form of subjective probability distributions, can be a valuable addition to other forms of evidence in support of public policy decision making. This paper explores when it is sensible to perform such elicitation and how that can best be done. A number of key issues are discussed, including topics on which there are, and are not, experts who have knowledge that provides a basis for making informed predictive judgments; the inadequacy of only using qualitative uncertainty language; the role of cognitive heuristics and of overconfidence; the choice of experts; the development, refinement, and iterative testing of elicitation protocols that are designed to help experts to consider systematically all relevant knowledge when they make their judgments; the treatment of uncertainty about model functional form; diversity of expert opinion; and when it does or does not make sense to combine judgments from different experts. Although it may be tempting to view expert elicitation as a low-cost, low-effort alternative to conducting serious research and analysis, it is neither. Rather, expert elicitation should build on and use the best available research and analysis and be undertaken only when, given those, the state of knowledge will remain insufficient to support timely informed assessment and decision making.",Review,Scopus,2-s2.0-84900993131
"Perry W.L.","Predictive policing: The role of crime forecasting in law enforcement operations",2013,,[No abstract available],,Scopus,2-s2.0-84897465208
"Raissi M., Perdikaris P., Karniadakis G.E.","Physics informed deep learning (part I): data-driven solutions of nonlinear partial differential equations",2017,,[No abstract available],,Scopus,2-s2.0-85046637276
"Russell S., Dewey D., Tegmark M.","Research priorities for robust and beneficial artificial intelligence",2015,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85016237062&doi=10.1609%2faimag.v36i4.2577&partnerID=40&md5=49a1678533f2221fd797408018debcd6","Success in the quest for artificial intelligence has the potential to bring unprecedented benefits to humanity, and it is therefore worthwhile to investigate how to maximize these benefits while avoiding potential pitfalls. This article gives numerous examples (which should by no means be construed as an exhaustive list) of such worthwhile research aimed at ensuring that AI remains robust and beneficial. © Copyright 2015, Association for the Advancement of Artificial Intelligence. All rights reserved.",Article,Scopus,2-s2.0-85016237062
"Lipton Z.C.","The mythos of model interpretability",2018,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85054551793&doi=10.1145%2f3233231&partnerID=40&md5=5535867e408d965cbdeb3316971a149d",[No abstract available],Article,Scopus,2-s2.0-85054551793
"Jones N.","How to stop data centres from gobbling up the world's electricity",2018,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85060138788&doi=10.1038%2fd41586-018-06610-y&partnerID=40&md5=474cfa294be67a5f66ca6a625b849177",[No abstract available],Note,Scopus,2-s2.0-85060138788
"IEEE","Ethically aligned design: a vision for prioritizing human well-being with autonomous and intelligent systems (A/IS)",2017,,[No abstract available],,Scopus,2-s2.0-85051224671
"Acemoglu D., Restrepo P.","Artificial intelligence, automation and work",2018,,[No abstract available],,Scopus,2-s2.0-85047267699
"Seo Y., Kim S., Kisi O., Singh V.P.","Daily water level forecasting using wavelet decomposition and artificial intelligence techniques",2015,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84916205087&doi=10.1016%2fj.jhydrol.2014.11.050&partnerID=40&md5=8920018a9d6c6dc9f2a151dd35870455","Reliable water level forecasting for reservoir inflow is essential for reservoir operation. The objective of this paper is to develop and apply two hybrid models for daily water level forecasting and investigate their accuracy. These two hybrid models are wavelet-based artificial neural network (WANN) and wavelet-based adaptive neuro-fuzzy inference system (WANFIS).Wavelet decomposition is employed to decompose an input time series into approximation and detail components. The decomposed time series are used as inputs to artificial neural networks (ANN) and adaptive neuro-fuzzy inference system (ANFIS) for WANN and WANFIS models, respectively. Based on statistical performance indexes, the WANN and WANFIS models are found to produce better efficiency than the ANN and ANFIS models. WANFIS7-sym10 yields the best performance among all other models. It is found that wavelet decomposition improves the accuracy of ANN and ANFIS.This study evaluates the accuracy of the WANN and WANFIS models for different mother wavelets, including Daubechies, Symmlet and Coiflet wavelets. It is found that the model performance is dependent on input sets and mother wavelets, and the wavelet decomposition using mother wavelet, db10, can further improve the efficiency of ANN and ANFIS models. Results obtained from this study indicate that the conjunction of wavelet decomposition and artificial intelligence models can be a useful tool for accurate forecasting daily water level and can yield better efficiency than the conventional forecasting models. © 2014 Elsevier B.V.",Article,Scopus,2-s2.0-84916205087
"Adeli H., Jiang X.","Intelligent Infrastructure-Neural Networks, Wavelets, and Chaos Theory for Intelligent Transportation Systems and Smart Structures",2009,,[No abstract available],,Scopus,2-s2.0-67649211488
"Ramirez E., Brill J., Ohlhausen M.K., Wright J.D., McSweeny T.","Data brokers: A call for transparency and accountability",2014,,[No abstract available],,Scopus,2-s2.0-84906046016
"West J., Bhattacharya M.","Intelligent financial fraud detection: A comprehensive review",2016,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84948844457&doi=10.1016%2fj.cose.2015.09.005&partnerID=40&md5=be7bc171c77b869038716bf22ffd97c3","Financial fraud is an issue with far reaching consequences in the finance industry, government, corporate sectors, and for ordinary consumers. Increasing dependence on new technologies such as cloud and mobile computing in recent years has compounded the problem. Traditional methods involving manual detection are not only time consuming, expensive and inaccurate, but in the age of big data they are also impractical. Not surprisingly, financial institutions have turned to automated processes using statistical and computational methods. This paper presents a comprehensive review of financial fraud detection research using such data mining methods, with a particular focus on computational intelligence (CI)-based techniques. Over fifty scientific literature, primarily spanning the period 2004-2014, were analysed in this study; literature that reported empirical studies focussing specifically on CI-based financial fraud detection were considered in particular. Research gap was identified as none of the existing review articles addresses the association among fraud types, CI-based detection algorithms and their performance, as reported in the literature. We have presented a comprehensive classification as well as analysis of existing fraud detection literature based on key aspects such as detection algorithm used, fraud type investigated, and performance of the detection methods for specific financial fraud types. Some of the key issues and challenges associated with the current practices and potential future direction of research have also been identified. © 2015 Elsevier Ltd.",Review,Scopus,2-s2.0-84948844457
"Cockburn I.M., Henderson R., Stern S.","The impact of artificial intelligence on innovation",2018,,[No abstract available],,Scopus,2-s2.0-85055974505
"IEA","Digitalization & Energy",2017,,[No abstract available],,Scopus,2-s2.0-85052310727
"Nunes I., Jannach D.","A systematic review and taxonomy of explanations in decision support and recommender systems",2017,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85030671275&doi=10.1007%2fs11257-017-9195-0&partnerID=40&md5=405b5ed6d347a5388fe1e8bdec93fb4f","With the recent advances in the field of artificial intelligence, an increasing number of decision-making tasks are delegated to software systems. A key requirement for the success and adoption of such systems is that users must trust system choices or even fully automated decisions. To achieve this, explanation facilities have been widely investigated as a means of establishing trust in these systems since the early years of expert systems. With today’s increasingly sophisticated machine learning algorithms, new challenges in the context of explanations, accountability, and trust towards such systems constantly arise. In this work, we systematically review the literature on explanations in advice-giving systems. This is a family of systems that includes recommender systems, which is one of the most successful classes of advice-giving software in practice. We investigate the purposes of explanations as well as how they are generated, presented to users, and evaluated. As a result, we derive a novel comprehensive taxonomy of aspects to be considered when designing explanation facilities for current and future decision support systems. The taxonomy includes a variety of different facets, such as explanation objective, responsiveness, content and presentation. Moreover, we identified several challenges that remain unaddressed so far, for example related to fine-grained issues associated with the presentation of explanations and how explanation facilities are evaluated. © 2017, Springer Science+Business Media B.V.",Article,Scopus,2-s2.0-85030671275
"Fuso Nerini F., Sovacool B., Hughes N., Cozzi L., Cosgrave E., Howells M., Tavoni M., Tomei J., Zerriffi H., Milligan B.","Connecting climate action with other Sustainable Development Goals",2019,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85069458140&doi=10.1038%2fs41893-019-0334-y&partnerID=40&md5=c38be01ac7e0e03084eb5db283f4d79d","The international community has committed to combat climate change and achieve 17 Sustainable Development Goals (SDGs). Here we explore (dis)connections in evidence and governance between these commitments. Our structured evidence review suggests that climate change can undermine 16 SDGs, while combatting climate change can reinforce all 17 SDGs but undermine efforts to achieve 12. Understanding these relationships requires wider and deeper interdisciplinary collaboration. Climate change and sustainable development governance should be better connected to maximize the effectiveness of action in both domains. The emergence around the world of new coordinating institutions and sustainable development planning represents promising progress. © 2019, Springer Nature Limited.",Review,Scopus,2-s2.0-85069458140
"Keramitsoglou I., Cartalis C., Kiranoudis C.T.","Automatic identification of oil spills on satellite images",2006,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-33645538624&doi=10.1016%2fj.envsoft.2004.11.010&partnerID=40&md5=05614002800d6e2b07ce75df6f25912d","A fully automated system for the identification of possible oil spills present on Synthetic Aperture Radar (SAR) satellite images based on artificial intelligence fuzzy logic has been developed. Oil spills are recognized by experts as dark patterns of characteristic shape, in particular context. The system analyzes the satellite images and assigns the probability of a dark image shape to be an oil spill. The output consists of several images and tables providing the user with all relevant information for decision-making. The case study area was the Aegean Sea in Greece. The system responded very satisfactorily for all 35 images processed. The complete algorithmic procedure was coded in MS Visual C++ 6.0 in a stand-alone dynamic link library (dll) to be linked with any sort of application under any variant of MS Windows operating system. © 2004 Elsevier Ltd. All rights reserved.",Article,Scopus,2-s2.0-33645538624
"Truby J.","Decarbonizing Bitcoin: Law and policy choices for reducing the energy consumption of Blockchain technologies and digital currencies",2018,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85056408369&doi=10.1016%2fj.erss.2018.06.009&partnerID=40&md5=45f59fac460dff797e887c89fd320412","The vast transactional, trust and security advantages of Bitcoin are dwarfed by the intentionally resource-intensive design in its transaction verification process which now threatens the climate we depend upon for survival. Indeed Bitcoin mining and transactions are an application of Blockchain technology employing an inefficient use of scarce energy resources for a financial activity at a point in human development where world governments are scrambling to reduce energy consumption through their Paris Agreement climate change commitments and beyond to mitigate future climate change implications. Without encouraging more sustainable development of the potential applications of Blockchain technologies which can have significant social and economic benefits, their resource-intensive design combined now pose a serious threat to the global commitment to mitigate greenhouse gas emissions. The article examines government intervention choices to desocialise negative environmental externalities caused by high-energy consuming Blockchain technology designs. The research question explores how to promote the environmentally sustainable development of applications of Blockchain without damaging this valuable sector. It studies existing regulatory and fiscal policy approaches towards digital currencies in order to provide a basis for further legal and policy tools targeted at mitigating energy consumption of Blockchain technologies. The article concludes by identifying appropriate fiscal policy options for this purpose, as well as further considerations on the potential for Blockchain technology in climate change mitigation. © 2018 Elsevier Ltd",Review,Scopus,2-s2.0-85056408369
"Whittaker M., Crawford K., Dobbe R., Fried G., Kaziunas E., Mathur V., West S.M., Richardson R., Schultz J., Schwartz O.",[No title available],2018,,[No abstract available],,Scopus,2-s2.0-85064225422
[No author name available],"Annual Report 2018",0000,,[No abstract available],,Scopus,2-s2.0-85056629409
"Hajek P., Henriques R.","Mining corporate annual reports for intelligent detection of financial statement fraud – A comparative study of machine learning methods",2017,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85019927886&doi=10.1016%2fj.knosys.2017.05.001&partnerID=40&md5=276f839896446440d37eb5111cc68099","Financial statement fraud has been serious concern for investors, audit firms, government regulators, and other capital market stakeholders. Intelligent financial statement fraud detection systems have therefore been developed to support decision-making of the stakeholders. Fraudulent misrepresentation of financial statements in managerial comments has been noticed in recent studies. As such, the purpose of this study was to examine whether an improved financial fraud detection system could be developed by combining specific features derived from financial information and managerial comments in corporate annual reports. To develop this system, we employed both intelligent feature selection and classification using a wide range of machine learning methods. We found that ensemble methods outperformed the remaining methods in terms of true positive rate (fraudulent firms correctly classified as fraudulent). In contrast, Bayesian belief networks (BBN) performed best on non-fraudulent firms (true negative rate). This finding is important because interpretable ``green flag” values (for which fraud is likely absent) could be derived, providing potential decision support to auditors during client selection or audit planning. We also observe that both financial statements and text in annual reports can be utilised to detect non-fraudulent firms. However, non-annual report data (analysts’ forecasts of revenues and earnings) are necessary to detect fraudulent firms. This finding has important implications for selecting variables when developing early warning systems of financial statement fraud. © 2017 Elsevier B.V.",Article,Scopus,2-s2.0-85019927886
"Panch T., Mattie H., Celi L.A.","The “inconvenient truth” about AI in healthcare",2019,,[No abstract available],,Scopus,2-s2.0-85089606231
[No author name available],"Corrigendum: Dermatologist-level classification of skin cancer with deep neural networks (Nature (2017) 542 (115-118) DOI: 10.1038/nature21056)",2017,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85021680288&doi=10.1038%2fnature22985&partnerID=40&md5=13cfa0cc5b8c62ac56afe33b160792e8","In the Acknowledgements section of this Letter, the sentence: ""This study was supported by the Baxter Foundation, California Institute for Regenerative Medicine (CIRM) grants TT3-05501 and RB5-07469 and US National Institutes of Health (NIH) grants AG044815, AG009521, NS089533, AR063963 and AG020961 (H.M.B.)"" should have read: ""This study was supported by funding from the Baxter Foundation to H.M.B."" Furthermore, the last line of the Acknowledgements section should have read: ""In addition, this work was supported by a National Institutes of Health (NIH) National Center for Advancing Translational Science Clinical and Translational Science Award (UL1 TR001085). The content is solely the responsibility of the authors and does not necessarily represent the official views of the NIH."" The original Letter has been corrected online. © 2017 Macmillan Publishers Limited, part of Springer Nature. All rights reserved.",Erratum,Scopus,2-s2.0-85021680288
"Courtland R.","Bias detectives: The researchers striving to make algorithms fair news-feature",2018,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85048984656&doi=10.1038%2fd41586-018-05469-3&partnerID=40&md5=481c1a1932eaf45c4d2ea2d1cac81f56",[No abstract available],Article,Scopus,2-s2.0-85048984656
"Beyer H.L., Dujardin Y., Watts M.E., Possingham H.P.","Solving conservation planning problems with integer linear programming",2016,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84959450029&doi=10.1016%2fj.ecolmodel.2016.02.005&partnerID=40&md5=990ee672ed1af32bf360ee833bc6a8c8","Deciding where to implement conservation actions in order to meet conservation targets efficiently is an important component of systematic conservation planning. Mathematical optimisation is a quantitative and transparent framework for solving these problems. Despite several advantages of exact methods such as integer linear programming (ILP), most conservation planning problems to date have been solved using heuristic approaches such as simulated annealing (SA). We explain how to implement common conservation planning problems (e.g. Marxan and Marxan With Zones) in an ILP framework and how these formulations can be extended to account for spatial dependencies among planning units, such as those arising from environmental flows (e.g. rivers). Using simulated datasets, we demonstrate that ILP outperforms SA with respect to both solution quality (how close it is to optimality) and processing time over a range of problem sizes. For modestly sized quadratic problems (100,000 spatial units and 10 species), for example, a processing time of approximately 14 h was required for SA to achieve a solution within 19% of optimality, while ILP achieved solutions within 0.5% of optimality within 30 s. For the largest quadratic problems we evaluated processing time exceeding one day was required for SA to achieve a solution within 49% of optimality, while ILP achieved solutions within 0.5% of optimality in approximately one hour. Heuristics are conceptually simple and can be applied to large and non-linear objective functions but unlike ILP, produce solutions of unknown quality. We also discuss how ILP approaches also facilitate quantification of trade-off curves and sensitivity analysis. When solving linear or quadratic conservation planning problems we recommend using ILP over heuristic approaches whenever possible. © 2016 Elsevier B.V..",Article,Scopus,2-s2.0-84959450029
"Solaiman S.M.","Legal personality of robots, corporations, idols and chimpanzees: a quest for legitimacy",2017,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84995422277&doi=10.1007%2fs10506-016-9192-3&partnerID=40&md5=9efbbc458a10a9d50e1a6f2ab8a776c4","Robots are now associated with various aspects of our lives. These sophisticated machines have been increasingly used in different manufacturing industries and services sectors for decades. During this time, they have been a factor in causing significant harm to humans, prompting questions of liability. Industrial robots are presently regarded as products for liability purposes. In contrast, some commentators have proposed that robots be granted legal personality, with an overarching aim of exonerating the respective creators and users of these artefacts from liability. This article is concerned mainly with industrial robots that exercise some degree of self-control as programmed, though the creation of fully autonomous robots is still a long way off. The proponents of the robot’s personality compare these machines generally with corporations, and sporadically with, inter alia, animals, and idols, in substantiating their arguments. This article discusses the attributes of legal personhood and the justifications for the separate personality of corporations and idols. It then demonstrates the reasons for refusal of an animal’s personality. It concludes that robots are ineligible to be persons, based on the requirements of personhood. © 2016, Springer Science+Business Media Dordrecht.",Article,Scopus,2-s2.0-84995422277
"Saam N.J., Harrer A.","Simulating norms, social inequality, and functional change in artificial societies",1999,,[No abstract available],,Scopus,2-s2.0-84937177813
"Helbing D., Pournaras E.","Society: Build digital democracy",2015,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-84946224710&doi=10.1038%2f527033a&partnerID=40&md5=ed3cab0367a171b7aecda113658491fc",[No abstract available],Note,Scopus,2-s2.0-84946224710
"Montes G.A., Goertzel B.","Distributed, decentralized, and democratized artificial intelligence",2019,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85057553208&doi=10.1016%2fj.techfore.2018.11.010&partnerID=40&md5=0f3a69b4a19cd2c53d1860fa97c60e56","The accelerating investment in artificial intelligence has vast implications for economic and cognitive development globally. However, AI is currently dominated by an oligopoly of centralized mega-corporations, who focus on the interests of their stakeholders. There is a now universal need for AI services by businesses who lack access to capital to develop their own AI services, and independent AI developers lack visibility and a source of revenue. This uneven playing field has a high potential to lead to inequitable circumstances with negative implications for humanity. Furthermore, the potential of AI is hindered by the lack of interoperability standards. The authors herein propose an alternative path for the development of AI: a distributed, decentralized, and democratized market for AIs run on distributed ledger technology. We describe the features and ethical advantages of such a system using SingularityNET, a watershed project being developed by Ben Goertzel and colleagues, as a case study. We argue that decentralizing AI opens the doors for a more equitable development of AI and AGI. It will also create the infrastructure for coordinated action between AIs that will significantly facilitate the evolution of AI into true AGI that is both highly capable and beneficial for humanity and beyond. © 2018",Short Survey,Scopus,2-s2.0-85057553208
"Scholz R.W., Bartelsman E.J., Diefenbach S., Franke L., Grunwald A., Helbing D., Hill R., Hilty L., Höjer M., Klauser S., Montag C., Parycek P., Prote J.P., Renn O., Reichel A., Schuh G., Steiner G., Pereira G.V.","Unintended side effects of the digital transition: European scientists' messages from a proposition-based expert round table",2018,"https://www.scopus.com/inward/record.uri?eid=2-s2.0-85048560543&doi=10.3390%2fsu10062001&partnerID=40&md5=aa6a401f4a39f68747149a296d4a1bdf","We present the main messages of a European Expert Round Table (ERT) on the unintended side effects (unseens) of the digital transition. Seventeen experts provided 42 propositions from ten different perspectives as input for the ERT. A full-day ERT deliberated communalities and relationships among these unseens and provided suggestions on (i) what the major unseens are; (ii) how rebound effects of digital transitioning may become the subject of overarching research; and (iii) what unseens should become subjects of transdisciplinary theory and practice processes for developing socially robust orientations. With respect to the latter, the experts suggested that the ""ownership, economic value, use and access of data"" and, related to this, algorithmic decision-making call for transdisciplinary processes that may provide guidelines for key stakeholder groups on how the responsible use of digital data can be developed. A cluster-based content analysis of the propositions, the discussion and inputs of the ERT, and a theoretical analysis of major changes to levels of human systems and the human-environment relationship resulted in the following greater picture: The digital transition calls for redefining economy, labor, democracy, and humanity. Artificial Intelligence (AI)-based machines may take over major domains of human labor, reorganize supply chains, induce platform economics, and reshape the participation of economic actors in the value chain. (Digital) Knowledge and data supplement capital, labor, and natural resources as major economic variables. Digital data and technologies lead to a post-fuel industry (post-) capitalism. Traditional democratic processes can be (intentionally or unintentionally) altered by digital technologies. The unseens in this field call for special attention, research and management. Related to the conditions of ontogenetic and phylogenetic development (humanity), the ubiquitous, global, increasingly AI-shaped interlinkage of almost every human personal, social, and economic activity and the exposure to indirect, digital, artificial, fragmented, electronically mediated data affect behavioral, cognitive, psycho-neuro-endocrinological processes on the level of the individual and thus social relations (of groups and families) and culture, and thereby, the essential quality and character of the human being (i.e., humanity). The findings suggest a need for a new field of research, i.e., focusing on sustainable digital societies and environments, in which the identification, analysis, and management of vulnerabilities and unseens emerging in the sociotechnical digital transition play an important role. © 2018 by the authors.",Article,Scopus,2-s2.0-85048560543
"Dobbs R., Madgavkar A., Manyika J., Woetzel J., Bughin J., Labaye E., Kashyap P.","Poorer Than Their Parents? Flat or Falling Incomes in Advanced Countries",2016,,[No abstract available],,Scopus,2-s2.0-85025676065
"Helbing D.","The Automation of Society is Next: How to Survive the Digital Revolution",2015,,[No abstract available],,Scopus,2-s2.0-84983373309
"Nushi B., Kamar E., Horvitz E.","Towards accountable ai: Hybrid human-machine analyses for characterizing system failure",2018,,[No abstract available],,Scopus,2-s2.0-85080798103
