,"0.78*SDG7,0.22*SDG13","0.67*SDG2,0.33*SDG10",1.00*SDG13,"0.54*SDG5,0.46*SDG4",1.00*SDG8,"0.33*SDG12,0.32*SDG7,0.19*SDG14,0.17*SDG2",1.00*SDG6,1.00*SDG3,"0.51*SDG2,0.49*SDG14","0.51*SDG11,0.49*SDG12","0.36*SDG10,0.34*SDG16,0.30*SDG9",1.00*SDG9,1.00*SDG16,1.00*SDG15,"0.72*SDG1,0.28*SDG10",1.00*SDG14,"0.53*SDG13,0.47*SDG10"
12,0.009:increase,0.008:developed_country,0.010:sustainable,0.007:woman_girl,0.009:productivity,0.008:subsidy,0.007:population,0.008:globally,0.006:crisis,0.007:consumption,0.011:national,0.009:employment,0.009:institution,0.007:conservation,0.010:living,0.009:world,0.006:approach
13,0.007:energy_efficiency,0.008:export,0.009:developing,0.007:men,0.008:trade,0.007:efficiency,0.007:facility,0.007:africa,0.006:production,0.006:development,0.011:promote,0.009:infrastructure,0.009:human_right,0.007:sustainable,0.009:poor,0.009:fishing,0.006:report
14,0.007:population,0.008:developed_region,0.009:developed,0.007:secondary,0.008:country_territory,0.007:impact,0.007:safely,0.007:sub,0.006:open_government,0.006:growth,0.011:public,0.009:sector,0.009:region,0.007:mountain,0.008:economic,0.008:marine_environment,0.006:help
15,0.006:need,0.008:development,0.008:framework,0.007:teacher,0.008:territory,0.007:fuel,0.007:supply,0.007:saharan,0.006:plant,0.006:business,0.010:financial,0.008:wa,0.008:justice,0.007:extinction,0.006:rate,0.008:global,0.006:support
16,0.006:goal,0.008:wa,0.008:convention,0.006:work,0.007:financial,0.007:growth,0.007:sector,0.007:hiv,0.006:loan,0.006:slum,0.009:developed,0.008:manufacturing_value,0.008:sub,0.007:global,0.006:growth,0.008:environment,0.006:market
17,0.006:rate,0.008:product,0.008:agreement,0.005:marriage,0.007:working,0.006:fossil,0.006:lack,0.007:maternal,0.006:particular,0.005:environmental,0.009:international,0.007:le,0.008:sub_saharan,0.006:natural,0.006:vulnerable,0.008:human,0.006:need
18,0.006:level,0.007:increase,0.008:resilience,0.005:discrimination,0.007:youth,0.006:sector,0.005:level,0.007:sub_saharan,0.006:developing,0.005:challenge,0.008:technology,0.007:world,0.008:saharan,0.006:management,0.006:family,0.008:resource,0.006:indicator
19,0.006:progress,0.007:globally,0.008:developed_country,0.005:practice,0.007:woman,0.006:carbon_dioxide,0.005:transboundary,0.007:progress,0.006:contribute,0.005:area,0.008:substantially,0.007:research,0.007:globally,0.006:desertification,0.006:service,0.007:acidification,0.005:oecd_country
20,0.005:country,0.007:asia,0.008:global,0.005:student,0.007:globally,0.006:dioxide,0.005:global,0.006:new,0.005:order,0.005:service,0.008:number,0.007:growth,0.007:america,0.005:world,0.005:le,0.007:overfishing,0.005:different
21,0.005:cooking,0.007:aid,0.007:local,0.005:africa,0.007:economic_growth,0.006:fossil_fuel,0.004:scarcity,0.006:worldwide,0.005:unregulated_fishing,0.005:infrastructure,0.007:reduce,0.006:developing_country,0.007:national,0.005:benefit,0.005:cost,0.007:biodiversity,0.005:inequality
22,0.005:power,0.006:market,0.007:disaster_risk,0.005:progress,0.006:young,0.006:breed,0.004:related,0.006:communicable,0.005:supply,0.005:digital,0.007:strengthen,0.006:mobile,0.006:sexual,0.005:freshwater,0.005:extreme_poverty,0.007:impact,0.005:cost
23,0.005:reduce,0.006:sector,0.006:contribution,0.005:rate,0.006:crisis,0.005:change,0.004:source,0.006:woman,0.005:animal,0.004:resource,0.007:innovation,0.006:research_development,0.006:wa,0.005:protected_area,0.005:world_population,0.006:marine_resource,0.005:level
24,0.005:gas,0.006:price,0.006:plan,0.005:violence,0.006:labour_productivity,0.005:transition,0.004:hygiene,0.006:life,0.005:end,0.004:world,0.006:accordance,0.005:emission,0.006:population,0.005:land_degradation,0.005:household,0.006:scale,0.005:focus
25,0.005:improvement,0.006:assistance,0.006:strategy,0.005:female,0.006:informal,0.005:emission,0.004:integrated,0.006:estimated,0.005:service,0.004:economic,0.006:provide,0.005:region,0.006:trafficking,0.005:effort,0.005:disaster,0.006:based,0.005:measure
26,0.005:consumption,0.006:malnutrition,0.006:goal,0.005:sub_saharan,0.006:men,0.005:pattern,0.004:water_scarcity,0.006:population,0.005:illegal,0.004:urban_population,0.006:sustainable_development,0.005:transport,0.005:access_justice,0.005:target,0.005:pension,0.006:protected,0.004:environmental
27,0.004:energy_consumption,0.006:africa,0.006:sustainable_development,0.005:saharan,0.006:annual,0.005:practice,0.004:safe,0.006:coverage,0.004:food,0.004:footprint,0.006:service,0.005:increase,0.005:proportion,0.005:increase,0.004:target,0.006:eutrophication,0.004:financing
28,0.004:sustainable,0.006:international,0.006:state,0.004:sub,0.006:gdp,0.005:natural,0.004:freshwater,0.006:number,0.004:fishing,0.004:global,0.006:achieve,0.005:service,0.005:world,0.005:biodiversity_loss,0.004:worker,0.006:water,0.004:strategy
29,0.004:climate,0.005:period,0.006:united,0.004:access,0.006:decent,0.005:product,0.004:world,0.005:communicable_disease,0.004:state,0.004:level,0.006:right,0.005:america,0.005:progress,0.005:genetic,0.004:reduce,0.005:ocean_acidification,0.004:provides
