,"0.44*SDG11,0.39*SDG7,0.18*SDG12","0.70*SDG10,0.30*SDG13","0.63*SDG12,0.37*SDG16","0.54*SDG5,0.46*SDG4",1.00*SDG8,"0.60*SDG7,0.24*SDG14,0.17*SDG13",1.00*SDG6,1.00*SDG3,"0.38*SDG2,0.37*SDG14,0.26*SDG16","0.61*SDG12,0.39*SDG11","0.41*SDG10,0.35*SDG16,0.24*SDG1",1.00*SDG9,1.00*SDG16,1.00*SDG15,"0.60*SDG1,0.22*SDG10,0.19*SDG3","0.85*SDG14,0.15*SDG2",1.00*SDG13,1.00*SDG2
20,0.006:transport,0.007:particular,0.005:developing_country,0.005:access,0.007:trade,0.006:demand,0.004:global,0.007:new,0.005:unregulated,0.005:sector,0.006:reduce,0.006:increase,0.007:america,0.005:increase,0.006:household,0.006:scale,0.005:development,0.006:globally
21,0.005:developing,0.007:local,0.005:loan,0.005:marriage,0.006:labour_productivity,0.006:climate,0.004:source,0.007:worldwide,0.005:animal,0.005:infrastructure,0.006:provide,0.006:technology,0.006:latin,0.005:benefit,0.006:woman,0.006:protected,0.005:wa,0.006:severe
22,0.005:area,0.006:economic,0.005:pattern,0.005:student,0.006:economic_growth,0.006:economic,0.004:related,0.006:life,0.005:development,0.005:market,0.006:level,0.006:service,0.006:trafficking,0.005:effort,0.005:extreme_poverty,0.006:eutrophication,0.005:financing,0.006:producer
23,0.005:reduce,0.006:strategy,0.005:technology,0.005:rate,0.006:working,0.006:fossil_fuel,0.004:scarcity,0.006:estimated,0.005:order,0.005:approach,0.006:population,0.006:world,0.006:sexual,0.005:freshwater,0.005:economic,0.005:ocean_acidification,0.005:report,0.006:woman
24,0.005:living,0.006:risk,0.005:environment,0.005:africa,0.006:crisis,0.006:change,0.004:hygiene,0.006:woman,0.005:oecd,0.005:production,0.006:resource,0.006:innovation,0.006:income,0.005:protected_area,0.005:service,0.005:assessment,0.005:emission,0.006:overweight
25,0.005:renewable,0.006:reported,0.005:covid,0.005:discrimination,0.006:annual,0.006:increase,0.004:freshwater,0.006:communicable_disease,0.005:measure,0.005:innovation,0.005:sex,0.006:research_development,0.006:wa,0.005:land_degradation,0.005:pension,0.005:management,0.005:policy,0.006:sustainable
26,0.005:clean,0.006:number,0.005:consumption_production,0.005:practice,0.006:access,0.005:renewable_energy,0.004:safe,0.006:malaria,0.005:level,0.004:practice,0.005:equal,0.005:developing_country,0.006:information,0.005:natural,0.005:worker,0.005:biologically,0.004:mitigation,0.006:end
27,0.005:urban_population,0.006:aid,0.005:policy,0.004:development,0.006:proportion,0.005:sector,0.004:pollution,0.006:tuberculosis,0.004:tool,0.004:business,0.005:achieve,0.005:transport,0.006:progress,0.005:biodiversity_loss,0.005:men,0.005:development,0.004:related,0.006:global
28,0.005:cooking,0.005:domestic,0.005:lifestyle,0.004:sub_saharan,0.006:period,0.005:clean,0.004:water_scarcity,0.006:number,0.004:initiative,0.004:report,0.005:technology,0.005:mobile,0.005:population,0.004:target,0.004:traffic,0.005:water,0.004:national_adaptation,0.005:productivity
29,0.005:proportion,0.005:organization,0.004:education,0.004:saharan,0.006:service,0.005:dioxide,0.004:water_resource,0.006:cancer,0.004:risk,0.004:management,0.005:developing,0.005:northern,0.005:level,0.004:genetic,0.004:growth,0.005:global,0.004:paris_agreement,0.005:nutritious
