,1.00*SDG6,"0.56*SDG14,0.44*SDG7","0.85*SDG15,0.15*SDG2",1.00*SDG3,"0.48*SDG12,0.33*SDG8,0.19*SDG10","0.40*SDG14,0.26*SDG10,0.18*SDG6,0.17*SDG1","0.60*SDG13,0.20*SDG6,0.19*SDG3","0.80*SDG11,0.20*SDG3","0.82*SDG4,0.18*SDG1","0.52*SDG1,0.28*SDG8,0.20*SDG3","0.39*SDG16,0.25*SDG10,0.18*SDG8,0.17*SDG3","0.66*SDG5,0.22*SDG3,0.13*SDG16","0.57*SDG9,0.43*SDG2","0.79*SDG13,0.21*SDG1","0.78*SDG16,0.22*SDG8","0.52*SDG10,0.34*SDG3,0.15*SDG1"
10,0.012:basic,0.008:electricity,0.007:including,0.014:globally,0.008:resource,0.009:developing,0.007:compared,0.009:living,0.008:saharan_africa,0.014:living,0.009:ensure,0.009:marriage,0.008:hunger,0.012:agreement,0.008:child,0.009:duty
11,0.012:facility,0.008:renewable_energy,0.007:protected,0.013:saharan_africa,0.008:developed,0.009:unregulated,0.007:continued,0.007:pollution,0.008:access,0.013:world,0.009:promote,0.009:progress,0.008:developed_country,0.012:framework,0.007:victim,0.009:traffic
12,0.011:safely,0.008:clean,0.007:genetic,0.013:risk,0.008:production,0.009:unregulated_fishing,0.007:previous,0.007:urban_population,0.007:primary_school,0.013:inequality,0.009:developing_country,0.009:gender_equality,0.007:added,0.012:convention,0.007:developed,0.009:state
13,0.010:lack,0.008:technology,0.007:country,0.013:worldwide,0.007:employment,0.009:unreported,0.007:sanitation_facility,0.007:proportion,0.007:primary_secondary,0.012:labour,0.009:particular,0.008:care,0.007:industry,0.011:disaster_risk,0.007:africa,0.008:term
14,0.009:population,0.007:area,0.006:development,0.012:tuberculosis,0.007:growth,0.009:illegal_unreported,0.007:warmest,0.007:progress,0.007:quality,0.012:global,0.008:agreement,0.008:aged,0.007:agriculture,0.011:contribution,0.007:pandemic,0.008:increase
15,0.008:target,0.007:country,0.006:terrestrial,0.012:estimated,0.007:sustainable_development,0.009:subsidy,0.007:decade,0.006:waste,0.007:young,0.012:live,0.008:level,0.008:globally,0.007:agricultural,0.010:developed,0.006:america,0.008:road
16,0.008:percent,0.006:pollution,0.006:effort,0.012:communicable_disease,0.007:access,0.009:central,0.007:greenhouse,0.006:global,0.007:rate,0.012:population,0.008:child,0.008:practice,0.007:increase,0.010:strategy,0.006:number,0.007:road_traffic
17,0.008:including,0.006:fuel,0.006:degradation,0.012:malaria,0.006:policy,0.009:northern,0.006:country,0.006:space,0.006:proficiency,0.011:unemployment,0.008:population,0.008:female,0.007:economic,0.010:local,0.006:financial,0.007:duty_free
18,0.007:transboundary,0.006:water,0.006:mountain,0.011:vaccine,0.006:inclusive,0.008:island,0.006:improved,0.006:number,0.006:primary_education,0.010:poor,0.007:financial,0.007:work,0.007:employment,0.010:united,0.006:progress,0.007:income
19,0.006:level,0.006:increase,0.006:extinction,0.010:incidence,0.006:programme,0.008:central_southern,0.006:widespread,0.006:transport,0.006:worldwide,0.010:benefit,0.007:labour,0.006:health,0.007:globally,0.009:developed_country,0.006:violence,0.007:free
20,0.006:hygiene,0.006:national,0.005:world,0.009:treatment,0.006:ensure,0.008:western,0.006:continues,0.006:eastern,0.006:population,0.010:extreme_poverty,0.007:effective,0.006:married,0.006:infrastructure,0.009:paris,0.006:world,0.007:official_development
21,0.006:ensure,0.006:ecosystem,0.005:wildlife,0.009:adolescent,0.006:developed_country,0.007:increase,0.006:public,0.006:service,0.006:reading,0.009:developed,0.007:access,0.006:right,0.006:investment,0.009:plan,0.006:justice,0.007:treatment
22,0.006:national,0.005:goal,0.005:risk,0.009:infectious,0.005:domestic,0.007:management,0.006:environment,0.005:housing,0.006:teacher,0.009:economic,0.007:global,0.006:legal,0.005:growth,0.009:nationally,0.005:remained,0.006:flow
23,0.006:freshwater,0.005:energy_efficiency,0.005:international,0.008:infectious_disease,0.005:promote,0.007:based,0.006:african,0.005:asia,0.006:basic,0.009:coverage,0.007:strengthen,0.006:world,0.005:research,0.009:nationally_contribution,0.005:national,0.006:population
24,0.006:integrated,0.005:cooking,0.005:increase,0.008:number,0.005:national,0.007:developed,0.005:population_improved,0.005:africa,0.005:percentage,0.008:woman,0.006:reduce,0.005:rate,0.005:service,0.008:reported,0.005:information,0.006:reduce
25,0.005:water_scarcity,0.005:stock,0.005:global,0.008:infection,0.005:economic_growth,0.007:island_developing,0.005:faecal,0.005:south,0.005:development,0.008:reduce,0.006:trade,0.005:time,0.005:developing_country,0.008:developing,0.005:available,0.006:social
26,0.005:resource_management,0.005:consumption,0.005:plant,0.008:cause,0.005:decent,0.007:level,0.005:previous_month,0.005:urbanization,0.005:household,0.008:child,0.006:number,0.005:reproductive,0.005:manufacturing_value,0.008:emission,0.005:trade,0.006:island_developing
27,0.005:scarcity,0.005:developing,0.005:benefit,0.008:declined,0.005:increase,0.007:developed_country,0.005:practise,0.005:solid,0.005:mathematics,0.008:life,0.006:equal,0.005:child_marriage,0.005:population,0.008:resilience,0.005:domestic_material,0.006:injury
28,0.005:sector,0.005:efficiency,0.005:animal,0.008:care,0.005:footprint,0.007:western_asia,0.005:waste,0.005:life,0.005:progress,0.007:labour_productivity,0.006:human,0.005:region,0.005:emission,0.007:state,0.005:globally,0.006:development_assistance
29,0.005:achieve,0.004:energy_consumption,0.005:management,0.007:burden,0.005:framework,0.007:decline,0.005:persist,0.005:saharan,0.005:pandemic,0.007:vulnerable,0.005:service,0.005:life,0.004:production,0.007:mitigation,0.005:level,0.006:export
