,"0.84*SDG7,0.16*SDG13","0.36*SDG10,0.36*SDG9,0.28*SDG13","0.82*SDG16,0.18*SDG12","0.75*SDG5,0.25*SDG8","0.77*SDG8,0.23*SDG3","0.57*SDG7,0.29*SDG2,0.14*SDG12",1.00*SDG6,1.00*SDG3,"0.34*SDG14,0.27*SDG8,0.20*SDG16,0.19*SDG2","0.50*SDG11,0.50*SDG12","0.59*SDG16,0.41*SDG10","0.75*SDG9,0.25*SDG8","0.58*SDG4,0.42*SDG16",1.00*SDG15,"0.74*SDG1,0.26*SDG10","0.73*SDG2,0.27*SDG14","0.73*SDG13,0.27*SDG10","0.77*SDG2,0.23*SDG1","0.87*SDG3,0.13*SDG2","0.76*SDG14,0.24*SDG13"
16,0.007:rate,0.008:particular,0.007:available,0.007:gap,0.006:aid,0.007:transition,0.006:population,0.008:sub,0.007:seed,0.006:infrastructure,0.007:institution,0.008:sector,0.008:saharan,0.006:desertification,0.007:economic,0.006:nearly,0.005:development,0.006:end,0.009:country,0.007:environment
17,0.006:progress,0.008:number,0.006:experienced,0.006:female,0.006:proportion,0.007:fossil,0.005:level,0.007:africa,0.006:term,0.006:slum,0.006:framework,0.008:industry,0.007:wa,0.006:benefit,0.007:rate,0.006:education,0.005:need,0.006:poor,0.009:asia,0.007:human
18,0.006:climate,0.008:island_developing,0.006:violent,0.006:progress,0.006:account,0.006:resource,0.005:lack,0.007:life,0.006:measure,0.005:world,0.006:need,0.007:productivity,0.007:institution,0.006:genetic,0.006:worker,0.005:market,0.005:report,0.006:medical_doctor,0.008:target,0.006:economic
19,0.006:goal,0.007:international,0.006:developing,0.006:aged,0.006:inclusive,0.006:gas,0.005:transboundary,0.007:malaria,0.006:chain,0.005:area,0.006:technology,0.007:manufacturing_value,0.006:quality,0.005:management,0.006:world_population,0.005:stunting,0.005:challenge,0.006:doctor,0.008:southern,0.006:emission
20,0.006:energy_consumption,0.007:disaster_risk,0.006:woman,0.006:rate,0.006:compared,0.006:price,0.004:related,0.007:population,0.006:sector,0.005:air,0.006:financial,0.007:developed_region,0.006:rate,0.005:world,0.006:family,0.005:declined,0.005:united,0.006:livelihood,0.008:global,0.006:sustainable_development
21,0.006:access_electricity,0.007:strategy,0.006:impact,0.006:unemployment,0.006:received,0.006:breed,0.004:global,0.007:saharan,0.006:state,0.005:challenge,0.006:approach,0.007:world,0.006:national,0.005:effort,0.005:job,0.005:child,0.005:role,0.006:pandemic,0.008:meet,0.005:biodiversity
22,0.006:sustainable,0.007:local,0.006:national,0.006:discrimination,0.006:aid_trade,0.006:fossil_fuel,0.004:safe,0.007:communicable_disease,0.006:support,0.005:living,0.006:proportion,0.006:le,0.006:primary_secondary,0.005:increase,0.005:disability,0.005:undernourished,0.005:measure,0.005:country_territory,0.008:declined,0.005:area
23,0.006:modern,0.007:infrastructure,0.005:psychological,0.006:legal,0.005:economic,0.006:global,0.004:scarcity,0.007:sub_saharan,0.006:management,0.004:economic,0.006:governance,0.006:increase,0.006:worldwide,0.005:protected_area,0.005:le,0.005:food_insecurity,0.005:indicator,0.005:territory,0.007:estimated,0.005:national
24,0.006:country,0.006:risk,0.005:community,0.006:practice,0.005:commitment,0.006:growth,0.004:source,0.007:vaccine,0.006:long,0.004:level,0.006:paper,0.006:infrastructure,0.005:primary_school,0.005:freshwater,0.005:cost,0.005:decline,0.005:level,0.005:access,0.007:maternal_death,0.005:marine_environment
25,0.005:affordable,0.006:world,0.005:sexual_violence,0.006:including,0.005:period,0.006:energy_efficiency,0.004:hygiene,0.006:incidence,0.006:job,0.004:generation,0.006:capacity,0.006:developing_region,0.005:asia,0.005:country,0.005:extreme_poverty,0.004:member,0.005:effort,0.005:weight,0.007:leading_cause,0.005:economy
26,0.005:improvement,0.006:capacity,0.005:aggression,0.006:time,0.005:institution,0.005:market,0.004:africa,0.006:service,0.005:recovery,0.004:development,0.006:level,0.005:service,0.005:proficiency,0.005:land_degradation,0.005:global,0.004:food_price,0.004:nationally,0.005:nursing,0.007:fell,0.005:water
27,0.005:power,0.006:financial,0.005:punishment,0.006:sexual,0.005:worldwide,0.005:ha,0.004:water_scarcity,0.006:woman,0.005:production,0.004:global,0.005:effective,0.005:labour_productivity,0.005:region,0.005:risk,0.005:service,0.004:fish_stock,0.004:plan,0.005:end_hunger,0.006:men,0.005:fishery
28,0.005:risk,0.006:economic,0.005:bribery,0.006:level,0.005:developed,0.005:scale,0.004:freshwater,0.006:worldwide,0.005:supply,0.004:access,0.005:particular,0.005:labour,0.005:world,0.005:covered,0.005:transfer,0.004:progress,0.004:chapter,0.005:ghg,0.006:care,0.005:fish
29,0.005:reduce,0.006:research,0.005:public,0.005:young,0.005:economic_growth,0.005:agricultural,0.004:water_supply,0.006:coverage,0.005:covid_pandemic,0.004:urban_population,0.005:population,0.005:mobile,0.005:population,0.005:natural,0.004:reduction,0.004:fell,0.004:nationally_contribution,0.005:medical,0.006:maternal_mortality,0.005:goal
