,1.00*SDG6,"0.56*SDG14,0.44*SDG7","0.84*SDG15,0.16*SDG2",1.00*SDG3,"0.40*SDG12,0.36*SDG8,0.24*SDG10","0.47*SDG14,0.34*SDG10,0.20*SDG1","0.49*SDG13,0.18*SDG3,0.18*SDG6,0.16*SDG12","0.80*SDG11,0.20*SDG3","0.82*SDG4,0.18*SDG1","0.56*SDG1,0.27*SDG8,0.16*SDG3","0.39*SDG16,0.26*SDG10,0.20*SDG3,0.16*SDG8","0.61*SDG5,0.26*SDG3,0.13*SDG16","0.58*SDG9,0.42*SDG2","0.79*SDG13,0.21*SDG1","0.53*SDG16,0.16*SDG12,0.16*SDG10,0.15*SDG8","0.43*SDG10,0.41*SDG3,0.17*SDG1"
16,0.007:including,0.007:pollution,0.006:effort,0.012:malaria,0.007:income,0.009:illegal_unreported,0.006:decade,0.006:number,0.006:young,0.011:extreme_poverty,0.008:effective,0.008:gender_equality,0.007:economic,0.010:strategy,0.006:national,0.006:road_traffic
17,0.007:sector,0.006:fuel,0.006:increase,0.011:vaccine,0.007:policy,0.009:subsidy,0.006:continues,0.006:waste,0.006:rate,0.010:poor,0.008:child,0.008:care,0.007:agricultural,0.010:developed_country,0.006:financial,0.006:duty
18,0.007:transboundary,0.006:increase,0.006:mountain,0.010:child,0.006:sustainable_development,0.008:increase,0.006:improved,0.006:space,0.006:population,0.010:population,0.007:level,0.007:practice,0.007:agriculture,0.009:local,0.006:number,0.006:free
19,0.006:level,0.006:ecosystem,0.005:extinction,0.010:incidence,0.006:inclusive,0.007:paper,0.006:african,0.006:transport,0.006:proficiency,0.010:developed,0.007:financial,0.007:health,0.006:globally,0.009:nationally,0.005:domestic_material,0.006:reduce
20,0.006:percent,0.006:national,0.005:degradation,0.009:treatment,0.006:ensure,0.007:redistribution,0.005:population_improved,0.005:africa,0.006:country_territory,0.009:coverage,0.007:access,0.007:female,0.006:employment,0.009:paris,0.005:available,0.006:treatment
21,0.006:asia,0.006:water,0.005:wildlife,0.009:infectious,0.006:developed_country,0.007:management,0.005:waste,0.005:housing,0.006:territory,0.009:live,0.007:reduce,0.007:reproductive,0.005:investment,0.009:plan,0.005:information,0.006:injury
22,0.006:ensure,0.005:proportion,0.005:world,0.009:infectious_disease,0.006:economic_growth,0.007:decline,0.005:need,0.005:service,0.006:primary_education,0.009:economic,0.007:labour,0.007:live,0.005:growth,0.009:nationally_contribution,0.005:trade,0.006:development_assistance
23,0.006:hygiene,0.005:energy_efficiency,0.005:risk,0.009:infection,0.005:inequality,0.007:sustainable,0.005:persist,0.005:urbanization,0.006:worldwide,0.008:reduce,0.006:strengthen,0.007:rate,0.005:developing_country,0.009:united,0.005:africa,0.006:developed_country
24,0.006:national,0.005:stock,0.005:international,0.008:declined,0.005:decent,0.007:past_decade,0.005:fuel,0.005:disaster,0.006:reading,0.007:vulnerable,0.006:global,0.006:work,0.005:research,0.009:developing,0.005:service,0.006:official_development
25,0.006:freshwater,0.005:goal,0.005:plant,0.008:number,0.005:promote,0.006:resource,0.005:widespread,0.005:increase,0.006:teacher,0.007:inequality,0.006:trade,0.006:right,0.005:manufacturing_value,0.008:emission,0.005:progress,0.006:committee
26,0.006:integrated,0.005:cooking,0.005:global,0.008:fell,0.005:reduce,0.006:based,0.005:public,0.005:asia,0.006:pandemic,0.007:labour_productivity,0.006:number,0.006:life,0.005:emission,0.008:reported,0.005:homicide,0.005:state
27,0.005:resource_management,0.005:consumption,0.005:benefit,0.008:burden,0.005:programme,0.006:decade,0.005:rise,0.005:eastern,0.005:basic,0.007:service,0.006:trafficking,0.006:region,0.005:region,0.008:resilience,0.005:world,0.005:population
28,0.005:water_scarcity,0.005:resource,0.005:animal,0.007:tobacco,0.005:increase,0.006:development,0.005:greenhouse_emission,0.005:saharan,0.005:development,0.007:child,0.006:woman,0.006:southern,0.004:service,0.007:related,0.005:society,0.005:health
29,0.005:related,0.005:efficiency,0.004:management,0.007:care,0.005:youth,0.006:level,0.005:continued,0.005:solid,0.005:progress,0.007:developed_region,0.006:human,0.006:world,0.004:population,0.007:national_adaptation,0.005:level,0.005:reform
