,"0.51*SDG11,0.30*SDG13,0.20*SDG7",1.00*SDG13,"0.39*SDG9,0.34*SDG8,0.28*SDG13","0.57*SDG4,0.43*SDG5",1.00*SDG8,"0.52*SDG7,0.48*SDG2","0.73*SDG6,0.27*SDG14",1.00*SDG3,1.00*SDG14,"0.70*SDG12,0.30*SDG11","0.84*SDG10,0.16*SDG1",1.00*SDG9,"0.73*SDG16,0.27*SDG5","0.85*SDG15,0.15*SDG14",1.00*SDG1
18,0.006:living,0.008:disaster_risk,0.007:housing,0.006:access,0.007:work,0.007:country,0.006:world,0.007:hiv,0.006:policy,0.005:country,0.007:cost,0.007:increase,0.007:public,0.005:desertification,0.006:low
19,0.005:increase,0.008:developed_country,0.007:firm,0.005:rate,0.007:job,0.006:production,0.005:ecosystem,0.006:maternal,0.006:environment,0.005:management,0.007:reduce,0.007:sector,0.007:level,0.005:global,0.006:extreme_poverty
20,0.005:gas,0.008:contribution,0.007:technological,0.005:quality,0.007:inclusive,0.006:price,0.005:global,0.006:risk,0.006:level,0.005:report,0.007:flow,0.007:employment,0.006:region,0.005:management,0.006:le
21,0.005:urban_population,0.008:plan,0.007:provide,0.005:skill,0.006:youth,0.006:carbon,0.005:safely,0.006:progress,0.006:scheme,0.005:indicator,0.006:financial,0.006:carbon_dioxide,0.005:progress,0.005:animal,0.005:world_population
22,0.005:carbon,0.007:paris,0.007:sustainable_development,0.005:practice,0.006:trade,0.006:power,0.005:population,0.006:estimated,0.006:support,0.005:infrastructure,0.006:ensure,0.006:dioxide,0.005:available,0.005:effort,0.005:rate
23,0.005:loss,0.007:united,0.006:public,0.005:development,0.006:gdp,0.006:progress,0.005:facility,0.006:communicable,0.006:including,0.004:paper,0.006:particular,0.006:manufacturing_value,0.005:trafficking,0.005:natural,0.005:growth
24,0.005:pollution,0.007:support,0.006:substantially,0.005:sub_saharan,0.006:informal,0.005:sustainable,0.005:supply,0.006:new,0.006:based,0.004:business,0.005:target,0.006:service,0.005:world,0.005:increase,0.005:health
25,0.005:impact,0.006:nationally,0.006:wage,0.005:saharan,0.006:labour_productivity,0.005:source,0.005:lack,0.006:woman,0.006:area,0.004:practice,0.005:increase,0.006:le,0.005:area,0.005:risk,0.005:worker
26,0.005:number,0.006:implement,0.005:market,0.005:sub,0.006:young,0.005:subsidy,0.005:sector,0.006:population,0.005:assessment,0.004:approach,0.005:duty,0.006:growth,0.005:information,0.005:land_degradation,0.005:household
27,0.004:reduce,0.006:state,0.005:information,0.005:work,0.006:men,0.005:investment,0.004:sea,0.006:number,0.005:benefit,0.004:public,0.005:free,0.005:emission,0.005:africa,0.005:livelihood,0.004:education
28,0.004:housing,0.006:nationally_contribution,0.005:effective,0.005:including,0.006:decent,0.005:goal,0.004:transboundary,0.005:communicable_disease,0.005:sustainable,0.004:way,0.005:available,0.005:transport,0.005:experienced,0.005:protected_area,0.004:pension
29,0.004:challenge,0.006:global,0.005:strengthen,0.005:female,0.006:working,0.005:market,0.004:source,0.005:tuberculosis,0.004:contribute,0.004:present,0.005:economic,0.005:estimated,0.004:globally,0.005:freshwater,0.004:disaster
