,"0.35*SDG14,0.25*SDG15,0.22*SDG12,0.18*SDG6",1.00*SDG15,"0.82*SDG6,0.18*SDG3","0.76*SDG10,0.24*SDG4",1.00*SDG11,1.00*SDG3,1.00*SDG1,"0.25*SDG16,0.22*SDG2,0.20*SDG12,0.17*SDG3,0.16*SDG1",1.00*SDG2,"0.81*SDG13,0.19*SDG3",1.00*SDG5,"0.68*SDG14,0.32*SDG12",1.00*SDG8,1.00*SDG7,"0.50*SDG16,0.50*SDG4","0.79*SDG9,0.21*SDG3"
11,0.006:climate,0.008:extinction,0.009:facility,0.008:ensure,0.007:living,0.008:saharan,0.011:world,0.005:family,0.007:breed,0.010:developed_country,0.007:marriage,0.007:increase,0.007:developing,0.009:energy_consumption,0.009:development,0.010:research
12,0.006:local,0.008:mountain,0.009:access,0.008:proportion,0.007:space,0.008:live,0.009:need,0.005:justice,0.007:subsidy,0.009:agreement,0.006:practice,0.007:coastal,0.007:globally,0.009:efficiency,0.008:violence,0.009:employment
13,0.006:pollution,0.007:increase,0.009:sector,0.007:state,0.007:development,0.008:maternal,0.009:vulnerable,0.005:target,0.007:investment,0.009:emission,0.006:proportion,0.007:fishing,0.007:pandemic,0.009:solar,0.008:human,0.009:manufacturing_value
14,0.006:national,0.007:conservation,0.008:asia,0.007:national,0.007:area,0.007:saharan_africa,0.008:benefit,0.005:local,0.006:wasting,0.009:contribution,0.006:globally,0.007:footprint,0.006:worker,0.008:cooking,0.008:secondary,0.008:innovation
15,0.006:marine,0.007:degradation,0.006:lack,0.007:island,0.006:public_transport,0.007:communicable,0.008:extreme_poverty,0.004:community,0.006:price,0.009:framework,0.006:work,0.007:national,0.006:financial,0.008:sustainable,0.007:victim,0.008:developing_country
16,0.005:change,0.007:ecosystem,0.006:source,0.007:sustainable,0.006:level,0.007:worldwide,0.008:child,0.004:sustainable,0.006:insecurity,0.008:plan,0.006:country_territory,0.007:production,0.006:developing_region,0.008:progress,0.007:learning,0.008:sector
17,0.005:provide,0.007:resource,0.006:transboundary,0.006:product,0.006:sustainable,0.007:progress,0.007:programme,0.004:project,0.006:development,0.008:developing_country,0.006:territory,0.006:material_footprint,0.006:higher,0.008:energy_efficiency,0.006:worldwide,0.007:region
18,0.005:achieve,0.006:global,0.006:integrated,0.006:financial,0.006:building,0.007:risk,0.006:policy,0.004:village,0.006:government,0.008:risk,0.006:child,0.006:environment,0.006:adult,0.007:access_electricity,0.006:population,0.007:policy
19,0.005:implement,0.006:value,0.006:africa,0.006:increase,0.006:urbanization,0.007:estimated,0.006:global,0.004:rise,0.006:globally,0.007:nationally,0.005:female,0.006:framework,0.006:productivity,0.007:rate,0.006:justice,0.007:technology
20,0.005:level,0.006:benefit,0.005:level,0.005:free,0.005:housing,0.006:woman,0.006:worker,0.004:government,0.006:producer,0.007:strategy,0.005:time,0.006:protected,0.006:youth,0.007:modern,0.006:national,0.007:emission
21,0.005:sustainably,0.006:desertification,0.005:implementation,0.005:cost,0.005:pollution,0.006:tuberculosis,0.006:growth,0.004:policy,0.006:productivity,0.007:paris,0.005:legal,0.006:biodiversity,0.006:asia,0.007:population,0.006:region,0.006:research_development
22,0.005:production,0.006:freshwater,0.005:freshwater,0.005:policy,0.005:number,0.006:population,0.006:reduce,0.004:promote,0.006:genetic,0.007:level,0.005:including,0.006:management,0.006:trade,0.007:improvement,0.005:primary_school,0.006:sustainable
23,0.005:strengthen,0.005:genetic,0.005:wastewater,0.005:skill,0.005:open,0.006:mental_health,0.006:disability,0.004:skill,0.006:sector,0.007:convention,0.005:married,0.006:economic,0.005:compared,0.006:access_clean,0.005:goal,0.006:growth
24,0.005:access,0.005:risk,0.005:scarcity,0.005:organization,0.005:proportion,0.006:communicable_disease,0.006:service,0.004:subjected_psychological,0.006:food_production,0.007:development,0.004:domestic,0.005:world,0.005:access,0.006:developing,0.005:teacher,0.006:mobile
25,0.005:management,0.005:target,0.005:resource_management,0.005:disability,0.005:state,0.006:malaria,0.006:rate,0.004:aggression_physical,0.005:overweight,0.007:state,0.004:area,0.005:domestic_material,0.005:young,0.006:goal,0.005:public,0.006:investment
26,0.005:climate_change,0.005:land_degradation,0.005:hygiene,0.005:duty,0.005:management,0.006:vaccine,0.005:support,0.004:strengthening,0.005:undernourished,0.006:nationally_contribution,0.004:health,0.005:stock,0.005:work,0.005:power,0.005:primary_secondary,0.006:transport
27,0.005:capacity,0.005:effort,0.005:global,0.005:island_developing,0.005:solid_waste,0.006:life,0.005:poor_vulnerable,0.003:food_producer,0.005:fell,0.006:local,0.004:aged,0.005:acidification,0.005:africa,0.005:growth,0.005:progress,0.005:carbon
28,0.005:ocean,0.005:covered,0.005:fatigue,0.005:reduce,0.005:settlement,0.005:service,0.005:live,0.003:level,0.005:stunting,0.006:national_adaptation,0.004:world,0.005:international,0.005:labour_productivity,0.005:target,0.005:reading,0.005:service
29,0.004:promote,0.005:trafficking,0.005:integrated_water,0.005:world,0.005:challenge,0.005:treatment,0.005:world_population,0.003:home,0.005:including,0.005:united,0.004:national,0.005:fish,0.005:developed_country,0.005:sector,0.005:proficiency,0.005:efficient
