,"0.33*SDG12,0.29*SDG13,0.20*SDG15,0.18*SDG10","0.43*SDG8,0.40*SDG10,0.17*SDG9","0.63*SDG3,0.37*SDG6","0.72*SDG11,0.28*SDG3","0.64*SDG15,0.36*SDG14","0.75*SDG5,0.25*SDG8",1.00*SDG2,"0.48*SDG1,0.19*SDG10,0.19*SDG8,0.13*SDG9","0.76*SDG13,0.24*SDG15","0.78*SDG4,0.22*SDG15","0.60*SDG14,0.40*SDG12","0.41*SDG16,0.31*SDG4,0.28*SDG5","0.44*SDG7,0.20*SDG9,0.18*SDG8,0.18*SDG12","0.30*SDG11,0.30*SDG9,0.21*SDG7,0.19*SDG12",1.00*SDG7,"0.65*SDG16,0.35*SDG9","0.39*SDG13,0.26*SDG16,0.19*SDG12,0.17*SDG14"
10,0.006:reduce,0.009:region,0.009:africa,0.008:access,0.009:management,0.008:sexual,0.007:insecurity,0.010:world,0.009:framework,0.008:quality,0.007:world,0.008:society,0.006:migrant,0.008:government,0.012:clean,0.009:global,0.009:rise
11,0.005:loss,0.009:global,0.009:service,0.008:country,0.008:term,0.007:gender_equality,0.007:sustainable,0.010:living,0.009:risk,0.007:primary_secondary,0.007:development,0.008:public,0.006:challenge,0.007:innovation,0.012:renewable_energy,0.009:added,0.007:global_warming
12,0.005:recycling,0.008:including,0.008:sub,0.007:living,0.008:international,0.007:right,0.007:affected,0.009:ha,0.008:contribution,0.007:level,0.007:pollution,0.008:economic,0.006:need,0.007:public,0.011:energy_efficiency,0.009:human,0.007:detected
13,0.005:economy,0.008:island,0.008:global,0.007:urban_population,0.007:conservation,0.007:proportion,0.007:subsidy,0.008:job,0.008:paris,0.007:primary_school,0.007:coastal,0.008:role,0.005:job,0.007:open,0.008:power,0.009:justice,0.006:victim
14,0.005:including,0.008:trade,0.007:mortality,0.007:traffic,0.007:fishing,0.007:work,0.006:export,0.008:poor,0.007:local,0.007:africa,0.007:level,0.008:oecd,0.005:taxation,0.007:technology,0.008:ha,0.008:access,0.006:increase
15,0.005:provide,0.008:gdp,0.007:saharan,0.007:world,0.007:terrestrial,0.006:world,0.006:including,0.008:growth,0.007:plan,0.007:proficiency,0.006:water,0.008:need,0.005:storage,0.006:sustainable,0.007:increase,0.008:human_right,0.006:sea
16,0.005:disaster,0.008:state,0.007:sub_saharan,0.007:road,0.007:mountain,0.006:rate,0.006:globally,0.008:worker,0.007:convention,0.007:sub,0.006:sustainable_development,0.008:action,0.005:tool,0.006:challenge,0.007:fossil,0.008:developed,0.006:net
17,0.005:land,0.007:access,0.007:asia,0.007:pollution,0.007:world,0.006:legal,0.006:wasting,0.007:economic,0.007:nationally,0.006:sub_saharan,0.005:human,0.007:paper,0.005:capture,0.006:business,0.007:source,0.008:official,0.006:decade
18,0.005:soil,0.007:increase,0.007:globally,0.006:waste,0.006:level,0.006:marriage,0.006:food_security,0.007:global,0.007:nationally_contribution,0.006:saharan,0.005:national,0.007:strategy,0.005:subsidy,0.006:industry,0.007:fossil_fuel,0.008:gdp,0.006:net_zero
19,0.004:effort,0.007:labour,0.006:progress,0.006:safe,0.006:protected_area,0.006:equal,0.006:safe,0.007:service,0.006:developed,0.006:ha,0.005:change,0.007:inclusive,0.005:present,0.006:oecd,0.007:cooking,0.008:ha,0.006:zero
20,0.004:level,0.007:particular,0.006:drinking,0.006:settlement,0.006:policy,0.005:female,0.006:price,0.007:employment,0.006:wildlife,0.006:reading,0.005:life,0.007:approach,0.005:encourage,0.006:support,0.007:world,0.007:law,0.005:material
21,0.004:international,0.007:international,0.006:population,0.005:housing,0.006:increase,0.005:aged,0.006:end,0.006:rate,0.006:strategy,0.006:genetic,0.005:natural,0.006:tool,0.004:tourism,0.005:financing,0.006:improvement,0.007:national,0.005:gas
22,0.004:hazard,0.007:sector,0.006:wa,0.005:low,0.006:including,0.005:discrimination,0.005:food_production,0.006:world_population,0.006:support,0.006:primary_education,0.005:food,0.006:sdgs,0.004:environmental,0.005:investment,0.006:investment,0.007:africa,0.005:greenhouse
23,0.004:related,0.007:employment,0.006:live,0.005:land,0.005:freshwater,0.005:progress,0.005:progress,0.006:le,0.006:united,0.006:equitable,0.005:country,0.006:help,0.004:resource,0.005:framework,0.006:consumption,0.007:developing,0.005:greenhouse_gas
24,0.004:drought,0.006:income,0.006:worldwide,0.005:level,0.005:degradation,0.005:time,0.005:aid,0.006:wage,0.006:developed_country,0.006:skill,0.005:environment,0.006:practice,0.004:survey,0.005:economy,0.006:sustainable,0.007:pandemic,0.005:growth
25,0.004:need,0.006:wa,0.005:care,0.005:area,0.005:covered,0.005:gap,0.005:security,0.006:vulnerable,0.005:mitigation,0.006:training,0.005:ha,0.006:sdg,0.004:trade,0.005:report,0.006:population,0.006:manufacturing_value,0.005:significant
26,0.004:flood,0.006:world,0.005:management,0.005:death,0.005:ha,0.005:globally,0.005:country,0.005:extreme_poverty,0.005:developing,0.005:development,0.005:natural_resource,0.006:promote,0.004:dsip,0.005:analysis,0.006:energy_consumption,0.006:violence,0.005:global_temperature
27,0.004:circular,0.006:product,0.005:estimated,0.005:transport,0.005:illegal,0.005:social,0.005:productivity,0.005:pandemic,0.005:impact,0.005:diversity,0.004:sea,0.006:corruption,0.004:trade_related,0.005:city,0.005:demand,0.006:number,0.005:constant
28,0.004:degraded,0.006:national,0.005:basic,0.005:air_pollution,0.005:resource,0.005:level,0.005:rise,0.004:crisis,0.005:effort,0.005:benefit,0.004:economic,0.005:process,0.004:initiative,0.005:indicator,0.005:access_electricity,0.006:saharan,0.005:require
29,0.004:generation,0.006:target,0.004:hiv,0.005:sustainable,0.005:global,0.005:labour,0.005:inclusive,0.004:family,0.005:national_adaptation,0.005:mathematics,0.004:climate,0.005:level,0.004:creates,0.005:paper,0.005:rate,0.006:sub_saharan,0.004:report
